A,C,B
1,68,18
0,52,63
0,73,79
1,58,3
1,58,35
1,49,34
0,51,74
0,73,83
1,80,24
1,81,15
1,34,19
1,39,21
1,3,10
0,77,76
1,23,42
1,64,25
1,6,15
1,91,39
1,71,18
1,95,42
1,57,34
0,82,71
0,96,78
1,9,18
1,69,16
0,99,82
0,77,65
0,68,65
0,90,82
0,91,75
0,99,72
0,52,88
1,78,12
0,90,81
1,16,14
1,48,31
0,82,76
0,83,79
0,76,82
0,96,79
1,31,14
1,6,22
0,88,86
0,68,77
1,66,29
1,59,33
1,4,11
0,47,58
0,84,74
1,67,30
0,70,70
1,74,41
1,49,25
1,63,31
0,64,73
0,96,78
1,85,38
1,82,47
0,63,79
0,86,72
1,59,32
0,67,67
1,69,37
0,82,95
0,67,82
0,84,80
1,38,7
0,69,71
0,65,74
1,81,41
1,56,11
1,93,35
1,31,2
0,88,67
1,54,31
1,56,12
1,53,16
1,65,43
1,21,29
1,65,32
0,73,77
0,67,77
1,22,25
0,71,70
0,49,82
1,51,14
1,55,19
1,81,22
1,28,14
1,54,22
0,99,74
1,98,39
1,23,31
1,26,25
1,96,36
1,59,17
1,85,33
1,88,36
1,59,26
1,28,38
0,56,78
0,92,84
1,54,21
1,74,24
1,53,33
0,96,83
1,29,18
1,39,42
1,28,30
0,86,80
1,78,33
1,77,35
0,94,76
1,63,33
1,6,23
1,41,33
1,75,34
1,90,34
1,43,19
0,55,92
1,62,18
1,38,17
1,57,25
1,37,22
0,95,84
1,74,22
1,69,30
0,84,72
0,57,76
1,43,25
1,86,17
1,43,19
0,72,70
1,32,31
0,84,83
0,87,78
1,97,25
1,4,21
1,68,23
1,77,22
0,95,79
0,78,83
0,65,71
0,82,89
1,46,27
1,36,13
1,73,33
1,34,36
1,74,27
1,59,26
0,59,68
1,8,23
1,29,29
0,74,65
1,57,30
1,35,33
1,37,21
1,51,25
1,48,20
1,33,28
1,13,21
1,65,23
1,94,19
1,64,37
0,91,65
1,60,41
1,22,14
1,43,9
1,13,23
1,61,40
0,88,70
1,30,28
1,15,31
0,80,65
0,55,89
0,70,78
0,90,82
0,37,84
1,59,39
1,22,31
1,77,53
0,62,78
1,69,28
0,74,73
1,64,19
0,54,79
0,80,70
1,37,28
1,75,32
0,82,84
0,76,80
1,38,31
1,53,28
0,83,86
0,57,72
0,75,80
0,87,94
1,48,23
1,45,28
0,78,84
0,80,76
1,2,18
0,93,69
1,31,14
1,81,26
1,75,41
1,32,16
0,51,69
1,54,27
0,83,91
1,40,28
0,95,76
0,95,82
1,54,20
0,80,93
0,52,72
0,73,81
0,77,77
1,9,25
1,52,47
1,8,11
0,71,82
1,54,30
1,34,32
1,14,22
1,59,45
1,65,17
1,50,42
0,61,67
1,41,30
0,74,70
1,76,20
1,64,37
0,74,78
1,67,29
0,97,76
0,67,69
0,85,77
1,16,28
0,76,75
1,66,41
0,68,79
1,6,19
1,2,4
1,83,23
1,20,20
0,96,85
0,64,69
1,55,31
0,76,63
1,46,39
0,82,81
1,60,30
1,90,30
1,0,18
0,83,87
1,54,27
0,87,68
1,31,35
1,53,20
0,48,78
0,92,78
0,63,78
1,81,11
1,30,20
0,66,72
1,53,24
1,55,29
0,73,73
1,74,27
1,80,44
1,45,12
1,16,19
0,89,90
1,78,24
1,51,40
1,57,43
1,79,24
0,84,76
0,58,75
1,37,19
0,89,84
1,89,40
0,88,76
1,46,33
0,91,88
0,72,83
0,84,70
0,74,78
0,72,81
0,99,86
1,40,34
0,74,69
1,55,27
0,85,73
1,34,14
1,75,36
1,9,0
0,71,77
1,32,24
0,59,74
0,95,81
1,32,33
1,96,27
0,99,68
1,33,24
1,19,24
0,71,77
0,84,74
1,50,5
0,66,74
0,72,72
0,72,86
1,89,34
0,88,81
1,83,20
0,52,87
0,96,69
0,68,74
0,64,78
0,70,82
1,2,17
1,55,37
0,68,78
0,90,77
1,48,28
1,79,34
1,22,22
1,0,21
1,97,3
1,33,23
1,1,13
1,64,28
0,84,70
0,50,71
1,56,21
0,80,74
1,55,55
0,58,86
0,48,66
1,25,29
0,73,79
0,51,79
0,77,80
1,6,17
1,8,24
1,61,30
0,77,73
1,19,28
1,44,27
1,44,27
1,3,17
1,19,25
1,33,21
0,80,80
1,23,31
