,A,B,C
0,1,1,1
1,1,0,0
2,1,1,0
3,0,3,2
4,1,0,0
5,0,3,3
6,0,2,1
7,1,0,0
8,0,3,2
9,0,3,2
10,0,3,2
11,1,1,1
12,1,0,3
13,1,0,0
14,1,1,3
15,1,0,0
16,1,1,1
17,0,3,2
18,0,2,3
19,1,1,0
20,0,3,3
21,1,0,0
22,1,1,1
23,1,1,1
24,1,1,2
25,1,0,3
26,1,0,0
27,0,3,2
28,0,3,3
29,1,0,1
30,1,0,3
31,1,1,0
32,0,2,2
33,1,1,2
34,0,3,2
35,0,3,2
36,1,1,2
37,1,1,1
38,0,3,2
39,1,1,1
40,1,0,0
41,1,1,3
42,0,3,3
43,1,1,1
44,0,2,1
45,1,0,0
46,0,3,2
47,1,0,0
48,0,3,3
49,1,0,0
50,1,0,0
51,0,2,2
52,1,0,3
53,1,0,2
54,0,3,2
55,1,1,1
56,1,0,0
57,1,0,0
58,1,0,0
59,1,1,3
60,0,2,3
61,0,3,2
62,1,0,1
63,1,1,3
64,1,0,1
65,1,1,3
66,1,1,0
67,1,0,3
68,0,2,2
69,1,1,1
70,1,1,2
71,1,0,3
72,0,3,2
73,1,0,0
74,1,1,1
75,1,0,2
76,0,3,3
77,1,0,2
78,0,2,3
79,1,0,0
80,1,0,3
81,0,2,3
82,1,0,0
83,0,2,1
84,1,1,2
85,1,0,1
86,1,1,1
87,1,0,1
88,0,3,2
89,1,0,2
90,1,1,2
91,1,0,0
92,1,0,0
93,1,1,3
94,1,1,0
95,0,2,2
96,1,0,1
97,1,0,2
98,0,2,3
99,0,2,2
100,0,3,3
101,1,0,1
102,1,1,0
103,1,1,1
104,0,2,3
105,0,3,2
106,1,0,0
107,0,3,2
108,0,3,2
109,1,0,2
110,1,0,3
111,1,1,2
112,1,1,2
113,0,3,3
114,1,0,1
115,1,0,0
116,0,3,3
117,0,3,2
118,0,3,2
119,1,0,1
120,0,3,3
121,0,2,3
122,0,3,2
123,1,0,0
124,1,0,3
125,0,3,2
126,1,0,0
127,1,0,2
128,1,1,2
129,1,0,0
130,0,2,2
131,0,2,0
132,1,1,2
133,1,1,2
134,1,1,0
135,1,1,1
136,1,0,2
137,0,2,3
138,0,3,3
139,0,3,2
140,1,0,3
141,1,1,2
142,1,1,1
143,1,1,2
144,1,1,3
145,0,3,2
146,1,1,0
147,0,3,2
148,1,0,1
149,1,1,1
150,0,3,3
151,1,1,2
152,1,0,0
153,0,3,3
154,1,1,2
155,1,1,1
156,0,3,3
157,0,2,1
158,0,3,3
159,0,3,2
160,0,2,1
161,0,3,3
162,1,1,1
163,1,1,3
164,1,1,2
165,1,1,3
166,1,1,1
167,0,3,2
168,1,0,0
169,1,0,1
170,0,3,3
171,1,1,3
172,1,1,3
173,1,0,3
174,1,1,0
175,1,0,3
176,0,3,2
177,0,0,3
178,0,2,3
179,0,2,1
180,1,0,0
181,0,3,3
182,0,2,2
183,1,0,0
184,1,0,0
185,1,1,1
186,1,0,1
187,0,2,2
188,0,3,2
189,1,0,0
190,0,2,3
191,0,2,3
192,1,0,0
193,0,2,0
194,0,2,2
195,1,1,3
196,0,3,3
197,0,2,1
198,0,3,2
199,1,1,2
200,1,0,3
201,1,0,0
202,1,1,0
203,1,0,3
204,0,2,3
205,1,1,2
206,0,3,3
207,1,0,3
208,0,3,2
209,1,1,3
210,0,3,3
211,1,0,2
212,1,0,0
213,0,3,3
214,1,0,0
215,1,0,0
216,1,1,1
217,0,3,0
218,0,3,2
219,1,1,0
220,1,1,2
221,0,3,3
222,1,1,2
223,1,1,1
224,1,1,1
225,0,3,3
226,1,0,2
227,1,0,0
228,0,2,1
229,1,1,1
230,1,0,0
231,1,0,2
232,0,3,2
233,1,1,1
234,1,1,2
235,1,1,1
236,1,0,0
237,1,0,3
238,1,0,1
239,1,1,0
240,0,3,0
241,1,0,1
242,1,1,0
243,0,3,3
244,1,0,3
245,1,0,1
246,1,1,1
247,1,1,2
248,1,1,0
249,0,0,0
250,1,1,0
251,0,3,2
252,1,1,2
253,1,0,2
254,0,2,3
255,1,0,0
256,1,1,1
257,1,1,1
258,1,0,2
259,0,3,2
260,1,1,1
261,1,1,0
262,1,0,3
263,1,0,2
264,0,3,3
265,0,2,2
266,0,3,3
267,1,1,2
268,1,1,2
269,1,0,0
270,0,2,2
271,1,1,2
272,1,0,0
273,1,1,1
274,1,0,2
275,1,0,2
