Variable,A,A,B,B,B,B,C,C,C,C
Value,0,1,0,1,2,3,0,1,2,3
0,0.5,0.5,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
1,0.0,1.0,1.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25
2,0.5,0.5,1.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25
3,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
4,1.0,0.0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
5,0.5,0.5,0.0,1.0,0.0,0.0,0.25,0.25,0.25,0.25
6,0.5,0.5,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
7,0.5,0.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
8,0.5,0.5,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
9,0.5,0.5,0.0,0.0,0.0,1.0,0.25,0.25,0.25,0.25
10,0.5,0.5,0.25,0.25,0.25,0.25,1.0,0.0,0.0,0.0
11,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
12,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
13,1.0,0.0,0.0,0.0,0.0,1.0,0.25,0.25,0.25,0.25
14,0.0,1.0,0.25,0.25,0.25,0.25,1.0,0.0,0.0,0.0
15,1.0,0.0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
16,0.5,0.5,1.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25
17,0.0,1.0,0.0,1.0,0.0,0.0,0.25,0.25,0.25,0.25
18,0.5,0.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
19,0.5,0.5,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
20,0.0,1.0,0.25,0.25,0.25,0.25,0.0,0.0,1.0,0.0
21,0.5,0.5,0.0,0.0,0.0,1.0,0.25,0.25,0.25,0.25
22,1.0,0.0,0.25,0.25,0.25,0.25,0.0,1.0,0.0,0.0
23,1.0,0.0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
24,0.5,0.5,0.0,1.0,0.0,0.0,0.25,0.25,0.25,0.25
25,0.5,0.5,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
26,0.5,0.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
27,1.0,0.0,0.0,0.0,0.0,1.0,0.25,0.25,0.25,0.25
28,1.0,0.0,0.25,0.25,0.25,0.25,0.0,0.0,1.0,0.0
29,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
30,0.0,1.0,1.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25
31,0.5,0.5,0.0,0.0,0.0,1.0,0.25,0.25,0.25,0.25
32,0.5,0.5,0.25,0.25,0.25,0.25,0.0,0.0,1.0,0.0
33,0.5,0.5,0.25,0.25,0.25,0.25,0.0,0.0,1.0,0.0
34,0.5,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
35,1.0,0.0,0.25,0.25,0.25,0.25,0.0,1.0,0.0,0.0
36,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
37,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
38,1.0,0.0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
39,1.0,0.0,0.0,0.0,0.0,1.0,0.25,0.25,0.25,0.25
40,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
41,0.0,1.0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
42,0.5,0.5,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
43,0.5,0.5,0.25,0.25,0.25,0.25,1.0,0.0,0.0,0.0
44,0.5,0.5,1.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25
45,0.5,0.5,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
46,0.5,0.5,0.0,1.0,0.0,0.0,0.25,0.25,0.25,0.25
47,1.0,0.0,0.0,0.0,1.0,0.0,0.25,0.25,0.25,0.25
48,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
49,0.5,0.5,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
50,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
51,0.5,0.5,0.25,0.25,0.25,0.25,0.0,0.0,0.0,1.0
52,1.0,0.0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
53,0.5,0.5,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
54,1.0,0.0,0.0,0.0,0.0,1.0,0.25,0.25,0.25,0.25
55,0.5,0.5,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
56,0.5,0.5,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
57,0.5,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
58,0.5,0.5,0.25,0.25,0.25,0.25,0.0,0.0,1.0,0.0
59,0.5,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
60,0.5,0.5,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
61,0.5,0.5,0.25,0.25,0.25,0.25,0.0,0.0,1.0,0.0
62,0.5,0.5,0.0,0.0,0.0,1.0,0.25,0.25,0.25,0.25
63,0.5,0.5,0.25,0.25,0.25,0.25,1.0,0.0,0.0,0.0
64,1.0,0.0,0.0,0.0,1.0,0.0,0.25,0.25,0.25,0.25
65,0.0,1.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0,1.0
66,0.0,1.0,0.25,0.25,0.25,0.25,0.0,0.0,1.0,0.0
67,0.5,0.5,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
68,0.5,0.5,1.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25
69,0.5,0.5,0.0,0.0,0.0,1.0,0.25,0.25,0.25,0.25
70,0.0,1.0,0.0,1.0,0.0,0.0,0.25,0.25,0.25,0.25
71,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
72,0.5,0.5,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
73,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
74,0.0,1.0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
75,0.5,0.5,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
76,0.5,0.5,0.0,0.0,1.0,0.0,0.25,0.25,0.25,0.25
77,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
78,0.0,1.0,0.25,0.25,0.25,0.25,0.0,1.0,0.0,0.0
79,0.5,0.5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
80,0.5,0.5,0.25,0.25,0.25,0.25,0.0,1.0,0.0,0.0
81,1.0,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0,1.0
82,0.5,0.5,0.25,0.25,0.25,0.25,0.0,0.0,0.0,1.0
83,0.5,0.5,0.0,1.0,0.0,0.0,0.25,0.25,0.25,0.25
84,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
85,0.5,0.5,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
86,0.5,0.5,1.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25
87,0.5,0.5,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
88,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
89,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
90,0.5,0.5,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
