,A,B,C
0,1,0,0
1,1,1,0
2,1,0,0
3,0,2,2
4,0,3,2
5,1,1,1
6,0,3,3
7,0,2,1
8,0,2,3
9,1,1,2
10,0,3,3
11,1,0,1
12,1,1,1
13,0,2,3
14,1,1,1
15,0,3,3
16,1,1,2
17,0,2,3
18,1,1,2
19,0,3,2
20,1,1,2
21,1,0,1
22,0,2,3
23,1,0,1
24,0,3,2
25,1,1,3
26,1,1,2
27,0,3,3
28,1,0,3
29,1,1,1
30,1,0,0
31,0,2,3
32,1,0,3
33,1,0,3
34,1,0,1
35,0,3,3
36,0,3,2
37,0,3,3
38,1,0,3
39,0,3,2
40,0,2,2
41,1,0,1
42,0,3,2
43,1,0,0
44,0,2,2
45,0,2,2
46,1,0,2
47,1,1,0
48,1,0,0
49,0,2,3
50,0,2,2
51,0,2,2
52,1,0,1
53,0,2,3
54,0,3,2
55,1,0,0
56,1,1,1
57,1,0,3
58,1,0,0
59,0,2,3
60,1,0,2
61,1,1,2
62,1,0,1
63,0,3,2
64,1,1,1
65,0,2,1
66,1,1,0
67,1,1,2
68,1,1,1
69,0,3,3
70,1,0,1
71,1,1,0
72,1,0,0
73,1,0,1
74,0,3,3
75,1,1,1
76,1,0,3
77,1,1,1
78,0,3,3
79,1,1,0
80,1,1,2
81,1,0,1
82,1,0,3
83,1,1,2
84,1,1,3
85,1,1,1
86,1,0,3
87,1,0,0
88,1,1,1
89,0,3,3
90,0,3,3
91,1,1,2
92,1,0,3
93,1,0,1
94,0,3,3
95,0,3,3
96,0,3,2
97,0,2,2
98,1,1,2
99,0,3,2
100,1,1,2
101,1,1,0
102,1,1,0
103,1,0,2
104,0,2,3
105,1,1,3
106,1,0,0
107,1,0,0
108,0,2,1
109,1,1,2
110,1,0,0
111,0,2,2
112,1,0,0
113,0,3,3
114,0,3,3
115,1,1,2
116,0,2,1
117,1,1,0
118,0,2,3
119,0,2,2
120,1,1,0
121,0,3,3
122,1,0,0
123,0,3,2
124,1,0,1
125,1,1,1
126,1,1,2
127,1,1,1
128,1,0,0
129,0,3,3
130,0,3,3
131,0,3,2
132,1,1,1
133,0,3,2
134,0,3,3
135,1,0,0
136,1,1,1
137,0,2,3
138,0,3,2
139,1,0,0
140,1,1,2
141,1,1,0
142,1,1,3
143,1,0,0
144,0,2,2
145,1,1,2
146,1,0,3
147,0,3,2
148,0,3,2
149,0,3,2
150,0,3,2
151,1,1,3
152,1,0,3
153,0,3,3
154,1,0,1
155,0,2,1
156,1,1,1
157,1,1,3
