,A,B,C
0,1,0,0
1,0,3,3
2,0,2,3
3,0,3,3
4,1,0,1
5,0,2,3
6,0,3,3
7,0,2,3
8,1,0,2
9,1,1,2
10,0,2,1
11,0,3,3
12,1,1,1
13,0,3,2
14,1,0,0
15,1,1,1
16,0,2,1
17,1,0,2
18,0,3,2
19,1,0,1
20,1,1,1
21,1,0,0
22,0,2,3
23,0,3,2
24,0,3,3
25,1,1,0
26,0,3,3
27,0,2,3
28,1,1,1
29,1,1,2
30,1,1,1
31,1,1,0
32,1,0,1
33,1,0,0
34,0,3,2
35,1,0,0
36,0,3,2
37,1,1,2
38,1,0,2
39,0,2,2
40,0,3,3
41,1,1,1
42,0,3,3
43,0,2,3
44,0,2,2
45,0,3,2
46,0,2,2
47,1,0,0
48,1,0,0
49,0,2,2
50,1,0,0
51,1,0,1
52,0,2,3
53,1,1,2
54,1,0,3
55,1,0,3
56,1,1,1
57,1,1,1
58,1,0,1
59,0,2,2
60,1,1,1
61,1,1,1
62,0,3,3
63,1,1,0
64,0,3,3
65,0,3,2
66,0,2,3
67,1,0,3
68,1,0,0
69,0,3,2
70,0,3,2
71,0,3,2
72,1,1,0
73,0,3,2
74,1,1,3
75,1,0,2
76,1,1,3
77,1,1,0
78,1,0,1
79,1,1,1
80,0,2,3
81,0,3,3
82,0,3,3
83,0,3,2
84,0,3,3
85,1,1,1
86,0,2,2
87,1,1,3
88,0,3,2
89,1,0,1
90,0,2,2
91,0,3,3
92,1,0,0
93,1,0,1
94,0,3,2
95,1,0,0
96,1,1,3
97,1,1,1
98,0,3,3
99,0,3,2
100,0,3,3
101,1,0,0
102,0,3,2
103,0,3,3
104,1,0,2
105,1,0,3
106,0,3,3
107,1,0,0
108,1,1,3
109,0,3,2
110,1,1,1
111,1,0,1
112,0,3,2
113,1,0,0
114,0,3,2
115,1,2,3
116,1,0,0
117,1,1,2
118,1,1,3
119,0,2,2
120,1,1,1
121,1,1,0
122,0,3,2
123,1,1,1
124,1,0,1
125,1,1,1
126,0,3,3
127,0,2,2
128,0,2,2
129,0,2,3
130,0,3,2
131,1,0,1
132,1,1,2
133,0,3,2
134,0,3,3
135,1,0,0
136,0,3,2
137,1,0,2
138,1,0,0
139,1,1,2
140,1,1,3
141,0,3,2
142,1,1,0
143,0,3,2
144,1,1,1
145,0,3,1
146,1,1,1
147,0,3,2
148,1,1,1
149,1,1,2
150,0,2,3
151,1,0,2
152,1,1,1
153,1,0,3
154,0,2,3
155,1,0,0
156,1,0,2
157,1,1,1
158,1,1,2
159,0,2,1
160,1,1,2
161,1,1,2
162,1,0,0
163,1,1,3
164,1,1,2
165,1,1,3
166,1,1,0
167,0,3,2
168,1,1,1
169,0,3,3
170,1,0,1
171,0,2,2
172,1,1,2
173,1,0,3
174,1,1,2
175,1,1,1
176,0,3,3
177,0,2,2
178,1,1,1
179,1,1,2
180,0,2,2
181,1,0,0
182,1,2,3
183,0,2,3
184,1,1,0
185,1,1,2
186,1,0,3
187,1,1,2
188,1,1,2
189,1,1,1
190,0,2,2
191,0,3,3
192,0,3,3
193,0,2,3
194,1,0,1
195,0,2,2
196,1,1,2
197,1,0,2
198,1,1,0
199,0,3,2
200,1,0,2
201,1,0,0
202,1,1,0
203,1,1,0
204,0,3,3
205,1,1,2
206,0,2,3
207,0,2,1
208,1,1,2
209,1,1,1
210,0,3,3
211,1,1,3
212,1,1,3
213,0,2,1
214,1,0,0
215,0,2,2
216,1,0,1
217,0,2,1
218,1,0,1
219,1,0,1
220,1,0,2
221,1,1,2
222,1,1,1
223,1,0,2
224,1,1,3
225,1,1,0
226,0,3,3
227,1,1,1
228,1,1,1
229,1,0,0
230,0,3,3
231,1,0,2
232,1,0,0
233,0,3,3
234,1,0,1
235,0,3,2
236,0,3,2
237,0,3,2
238,1,1,1
239,1,1,2
240,0,2,1
241,1,1,2
242,1,0,2
243,1,0,0
244,0,2,2
245,0,3,1
246,0,3,3
247,1,1,0
248,0,3,3
249,1,1,3
250,0,2,1
251,1,1,1
252,1,1,2
253,1,1,2
254,0,2,1
255,1,1,3
256,1,0,3
257,1,1,2
258,1,1,0
259,1,0,2
260,1,1,3
261,0,3,2
262,1,0,1
263,0,2,2
264,0,3,3
265,0,3,2
266,1,0,3
267,0,3,2
268,1,1,2
269,1,0,3
270,1,0,3
271,1,0,0
272,1,1,1
273,0,2,3
274,1,0,0
275,1,0,1
276,1,0,2
277,0,2,1
278,1,0,3
279,1,0,0
280,0,2,2
281,1,1,1
282,1,1,3
283,0,3,2
284,1,0,1
285,0,2,3
286,1,1,0
287,0,3,3
288,1,1,2
289,1,0,0
290,0,3,3
291,1,0,3
292,0,2,1
293,1,0,2
294,1,0,0
295,1,1,1
296,0,2,2
297,0,3,2
298,1,0,0
299,1,0,0
300,1,1,2
301,0,2,2
302,0,3,2
303,1,0,3
304,1,1,2
305,1,1,0
306,1,1,0
307,1,2,1
308,1,1,2
309,1,1,3
310,1,0,0
311,1,1,3
312,1,0,1
313,1,0,1
314,0,3,3
315,1,0,0
316,0,3,3
317,1,1,0
318,1,0,2
319,1,1,0
320,1,0,3
321,0,2,2
322,1,0,1
323,1,0,0
324,0,3,3
325,1,0,0
326,0,2,3
327,1,0,0
328,1,0,2
329,1,0,0
330,0,3,3
331,1,2,3
332,1,1,3
333,1,1,0
334,0,3,3
335,1,0,1
336,0,3,3
337,1,1,3
338,0,3,3
339,1,0,1
340,1,0,2
341,1,1,2
342,1,1,2
343,1,0,0
344,1,0,0
345,0,3,3
346,1,0,1
347,0,3,2
348,1,1,2
349,0,2,2
350,1,0,1
351,1,0,1
352,0,2,2
353,1,0,1
354,0,2,2
355,1,1,3
356,0,2,1
357,1,1,1
358,0,3,3
359,0,3,2
360,1,1,3
361,1,1,1
362,0,3,2
363,0,3,2
364,1,0,2
365,0,3,2
366,1,1,2
367,1,1,0
