Variable,A,A,B,B,B,B,C,C,C,C
Value,0,1,0,1,2,3,0,1,2,3
0,0.28516391474799635,0.7148360852520037,0.5191966389938211,0.0,0.3211861467825489,0.15961721422362987,0.7134077507558783,0.1590306763268923,0.12756157291722944,0.0
1,1.0,0.0,0.0,0.20495827003135134,0.0,0.7950417299686486,0.418922600548867,0.18471143959469782,0.0,0.3963659598564351
2,1.0,0.0,0.3365913791856188,0.32985559598798714,0.33355302482639404,0.0,0.0,0.0,0.08542500074410403,0.9145749992558959
3,0.9184497507828506,0.08155024921714937,0.21443111340209273,0.07082249833865199,0.09860655763753808,0.6161398306217172,0.0,0.0,0.0,1.0
4,0.3173171576541085,0.6826828423458915,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5,0.6107129738375059,0.38928702616249405,0.03152918863402484,0.7749302393806549,0.19354057198532015,0.0,0.08740628937307261,0.0,0.27586268118329166,0.6367310294436358
6,0.9884743436382908,0.011525656361709262,0.2892971207738919,0.23072161043352782,0.0,0.47998126879258035,0.0,0.21611415846645532,0.0739459401270951,0.7099399014064496
7,1.0,0.0,0.007828173564145322,0.17096375688269153,0.46392628583873025,0.3572817837144328,0.0,0.2959817468813634,0.0,0.7040182531186366
8,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
10,0.5711745140081063,0.4288254859918938,0.0,0.32777980497723774,0.6722201950227623,0.0,0.0,1.0,0.0,0.0
11,0.8240226007134124,0.17597739928658762,0.23394926512480907,0.38302536743759547,0.0,0.38302536743759547,0.3059300343776942,0.0,0.0,0.6940699656223057
12,0.2096186737184773,0.7903813262815227,0.0,1.0,0.0,0.0,0.0,0.6345957636927781,0.36540423630722196,0.0
13,0.8172318453941196,0.18276815460588028,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
14,0.17715760182323004,0.8228423981767699,0.21507718219187547,0.04208878116247821,0.26592858677385134,0.4769054498717951,0.8394788837145084,0.0,0.11871217968461578,0.04180893660087566
15,0.0,1.0,0.07034808720138026,0.46964643300081005,0.4600054797978096,0.0,0.3826829314231615,0.5405632575685222,0.07675381100831627,0.0
16,0.7925692554667184,0.20743074453328164,0.2670959165166299,0.3861077985237679,0.293095314631036,0.053700970328566085,0.0,0.3540641139845889,0.2976317319871628,0.3483041540282483
17,0.0,1.0,1.0,0.0,0.0,0.0,0.18077062524707832,0.0,0.8192293747529217,0.0
18,1.0,0.0,0.04122087138942148,0.0,0.0,0.9587791286105785,0.0,0.0,0.735478097051172,0.26452190294882805
19,0.15172274199497812,0.848277258005022,0.6065247959953598,0.34820745671036024,0.04526774729427985,0.0,0.0,0.6216445509996101,0.21802215396579086,0.160333295034599
