Variable,A,A,B,B,B,B,C,C,C,C
Value,0,1,0,1,2,3,0,1,2,3
0,0.3262718062764127,0.6737281937235873,0.0,0.9233080334971503,0.0,0.07669196650284975,0.03241682051882335,0.0,0.29502252872992046,0.6725606507512562
1,0.0,1.0,0.9245939661314123,0.0,0.07540603386858764,0.0,0.0,0.20019485031805015,0.44590913805233207,0.3538960116296178
2,0.7644937658886736,0.23550623411132643,0.031113106966280477,0.0,0.07097418097442378,0.8979127120592958,0.0,0.038544662097007375,0.0,0.9614553379029925
3,0.0,1.0,0.0834047042907026,0.802751486327315,0.0,0.1138438093819825,0.0,0.05188020222751445,0.0,0.9481197977724857
4,0.14527317697380243,0.8547268230261976,0.6949656676096986,0.0,0.0,0.30503433239030137,0.08617068201169603,0.7274737921518311,0.0,0.186355525836473
5,0.08000203602964186,0.9199979639703582,0.0025275631887322963,0.6414900401415657,0.0,0.35598239666970194,0.0,0.821739036875703,0.17826096312429693,0.0
6,0.31566922874213393,0.684330771257866,0.38143747157894714,0.5482230609471732,0.0,0.07033946747387976,0.031183475380570237,0.43561319095063333,0.05482424882447196,0.4783790848443245
7,0.8083804465675507,0.1916195534324493,0.0,0.0,0.0,1.0,0.08462454452226373,0.0,0.0,0.9153754554777364
8,0.7719634510817853,0.22803654891821462,0.33731686228048435,0.20121660440362915,0.0,0.46146653331588655,0.0,0.0,0.9095751170626327,0.09042488293736735
9,1.0,0.0,0.0,0.22286304331841383,0.0,0.7771369566815861,0.0,0.0,0.07568690429350496,0.924313095706495
10,1.0,0.0,0.0,0.029842431252512718,0.6394782298273682,0.33067933892011914,0.15008212517303143,0.0018368426838402958,0.725864048882706,0.1222169832604223
11,0.9720829323500748,0.0279170676499252,0.011263574955488975,0.0,0.2716130399801959,0.7171233850643152,0.05473659604215417,0.0,0.015170204505396643,0.9300931994524492
12,1.0,0.0,0.014731608389054997,0.0,0.0,0.9852683916109449,0.12516585673429267,0.1749826399301543,0.5170099708336453,0.1828415325019078
13,1.0,0.0,0.0,0.13636327894971237,0.8636367210502875,0.0,0.29198751920493654,0.010657724591849495,0.6973547562032139,0.0
14,0.016593629937988547,0.9834063700620114,0.5183076029692677,0.16458266592920479,0.0902618889865156,0.22684784211501188,0.6420598379392226,0.0,0.0,0.35794016206077733
15,0.3540377311839963,0.6459622688160037,0.6700733849812123,0.0,0.0,0.32992661501878784,0.22040268889817,0.15332017893971597,0.10531131540508341,0.5209658167570307
16,0.05270017729143826,0.9472998227085617,0.011504091938571015,0.988495908061429,0.0,0.0,0.280133154167961,0.7198668458320391,0.0,0.0
17,1.0,0.0,0.0,0.20588650848941273,0.0,0.7941134915105872,0.0,0.9435202429668121,0.0,0.05647975703318782
18,0.6548201980076566,0.3451798019923433,0.16665332381999004,0.0,0.7515800134283719,0.08176666275163799,0.0,0.0,0.0,1.0
19,0.0,1.0,0.0,0.7967536622919218,0.0,0.2032463377080782,0.0,0.06877559814703121,0.15243256429101112,0.7787918375619577
20,0.12013974723919675,0.8798602527608033,0.051283746966677125,0.7344473302492125,0.21426892278411042,0.0,0.1029301540521216,0.7825449451294135,0.0,0.11452490081846489
21,0.6485124630230964,0.35148753697690355,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
22,0.6679847120643383,0.3320152879356616,0.0,0.28669624880789424,0.7133037511921058,0.0,0.13899114219008343,0.0,0.8610088578099167,0.0
23,0.05973177069106452,0.9402682293089354,0.0,1.0,0.0,0.0,0.22539926877133626,0.5747868171401306,0.19981391408853316,0.0
24,0.0,1.0,0.2833056425217392,0.628743824021456,0.0,0.0879505334568048,0.0,0.22501830420102592,0.0,0.7749816957989741
25,0.0,1.0,0.8904709789274777,0.0,0.0,0.10952902107252215,1.0,0.0,0.0,0.0
26,0.0313560837568405,0.9686439162431596,0.0,0.6959298995785618,0.021759921919312742,0.28231017850212536,0.0,0.0,0.04751869654316198,0.9524813034568381
27,0.13532069956588821,0.8646793004341118,0.7948256977168953,0.014533483085862801,0.190640819197242,0.0,0.9134770927371492,0.08652290726285077,0.0,0.0
28,0.19796565989012843,0.8020343401098716,0.8711108802825076,0.05921674473526282,0.0,0.06967237498222964,0.9475825266472154,0.052417473352784655,0.0,0.0
29,0.0,1.0,0.0,0.9006993008339124,0.09930069916608772,0.0,0.040118193243957385,0.8536551451707661,0.0,0.10622666158527648
30,0.16943649463224372,0.8305635053677562,0.0,0.8441675636899805,0.007668849651121069,0.14816358665889828,0.0,0.18017060980524296,0.6125790543142071,0.20725033588054992
31,1.0,0.0,0.0,0.0,0.22443448780834407,0.775565512191656,0.35650672894630253,0.0,0.0,0.6434932710536975
32,0.721160602142751,0.278839397857249,0.24049314013274814,0.20534554887837486,0.554161310988877,0.0,0.0,0.0,1.0,0.0
33,0.0,1.0,0.9770057018990728,0.0,0.022994298100927207,0.0,0.11344993162923493,0.09099394795013473,0.5807930402555135,0.21476308016511683
34,0.14092689874413522,0.8590731012558648,0.0,1.0,0.0,0.0,0.038698558494926136,0.0,0.9613014415050739,0.0
35,0.0,1.0,0.0,0.9904727921571571,0.009527207842842864,0.0,0.16858342638896268,0.0,0.7490134088697186,0.08240316474131873
36,0.7724310215859695,0.22756897841403048,0.0,0.0,0.10330700206929268,0.8966929979307073,0.0,0.0,1.0,0.0
37,0.17436408610525167,0.8256359138947483,0.0,0.11919539255147371,0.8808046074485262,0.0,0.0,1.0,0.0,0.0
38,0.016155944785432627,0.9838440552145674,0.0,0.7341309449091216,0.0,0.2658690550908785,0.0,0.0,0.0,1.0
39,1.0,0.0,0.0,0.21578126676835924,0.14813453492962728,0.6360841983020136,0.0,0.0,1.0,0.0
40,0.0,1.0,1.0,0.0,0.0,0.0,0.21936953713070517,0.0,0.7806304628692949,0.0
41,1.0,0.0,0.007129561880763655,0.0,0.0,0.9928704381192364,0.0,0.0,0.8791375678816605,0.12086243211833937
42,0.03870086990464354,0.9612991300953564,1.0,0.0,0.0,0.0,0.697337312422664,0.0,0.3026626875773361,0.0
43,0.20131784755921128,0.7986821524407888,0.002078443686219801,0.6212858806864806,0.37663567562729955,0.0,0.17479525077150637,0.8252047492284936,0.0,0.0
44,0.7289546552883376,0.2710453447116624,0.0,0.0,1.0,0.0,0.0,0.0,0.983517933830387,0.01648206616961295
45,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.00021561905326724642,0.924414227952616,0.07537015299411681
46,0.0,1.0,0.0,0.6573602283097753,0.2137300641374296,0.12890970755279518,0.0,0.7570934611076474,0.0,0.2429065388923525
47,0.15702783548312899,0.842972164516871,0.5947163696667132,0.0,0.22319509941692822,0.18208853091635877,0.5572994760295533,0.35969428950526305,0.03664485192175091,0.0463613825434328
48,1.0,0.0,0.0,0.0,0.869775800029983,0.13022419997001702,0.23524131226362785,0.034398456147257124,0.730360231589115,0.0
49,0.0,1.0,0.0,0.7837779476325027,0.08924834187628866,0.12697371049120865,0.0,0.9590534242823847,0.0409465757176153,0.0
50,0.8637860407127136,0.13621395928728636,0.05785864382509066,0.07601834258086423,0.1286617832593493,0.7374612303346958,0.0,0.0,0.0,1.0
51,0.0,1.0,0.0,0.777256441051408,0.0,0.22274355894859205,0.0,0.0,0.9057414991413382,0.09425850085866194
52,0.7511861250535079,0.24881387494649201,0.04886958503017133,0.0,0.9511304149698286,0.0,0.0,0.22674771022220497,0.009477743782297402,0.7637745459954978
53,0.08148411130718868,0.9185158886928113,0.11292139982041502,0.8669003893759338,0.02017821080365108,0.0,0.0,0.0,0.8087598511448434,0.1912401488551565
54,0.20572531970983685,0.7942746802901631,0.524730170856608,0.0,0.3052674807670987,0.17000234837629322,0.0,0.25050953241384416,0.0,0.7494904675861559
55,0.05731432281527915,0.942685677184721,0.0,1.0,0.0,0.0,0.06907176987799575,0.0,0.0,0.9309282301220042
56,0.0,1.0,0.7360639229493635,0.03517946428503469,0.16601452514408832,0.06274208762151363,0.862835651954747,0.0,0.13716434804525302,0.0
57,0.18023671097277139,0.8197632890272287,0.18614059017794854,0.7213928067311035,0.09246660309094783,0.0,0.0,0.6624677840603318,0.14887772698388668,0.18865448895578146
58,0.20009823691953013,0.7999017630804698,0.7529249997596122,0.0,0.014068558993150017,0.23300644124723782,0.8372410139513561,0.0957340637640766,0.0,0.06702492228456738
59,0.0,1.0,0.4966819110641055,0.5033180889358946,0.0,0.0,0.8361527988629652,0.0,0.0,0.16384720113703483
60,0.821007570618936,0.17899242938106405,0.0,0.06338493569429196,0.0,0.9366150643057081,0.0,0.0,1.0,0.0
61,1.0,0.0,0.0,0.2216265307291301,0.0,0.7783734692708699,0.12120715008833102,0.0,0.878792849911669,0.0
62,0.7944399926719049,0.2055600073280951,0.0,0.1514791889706943,0.8485208110293057,0.0,0.16919611621927336,0.7431518120180016,0.0,0.08765207176272509
63,1.0,0.0,0.0,0.0,0.2623754231590078,0.7376245768409923,0.2727017031991566,0.0,0.7272982968008435,0.0
64,0.0,1.0,0.0,0.7084893985188264,0.007967222818957329,0.2835433786622162,0.07205404414251221,0.024420481079934882,0.14266171618421597,0.7608637585933369
65,0.29314175785837715,0.7068582421416229,0.0,1.0,0.0,0.0,0.05545350249787735,0.9445464975021226,0.0,0.0
66,0.0,1.0,0.18454641298172628,0.7986258653877234,0.016827721630550255,0.0,0.15732583175242293,0.8426741682475771,0.0,0.0
67,0.0,1.0,0.21310858319633513,0.7868914168036648,0.0,0.0,0.7951988762147808,0.0,0.0,0.20480112378521925
68,0.7606993135778971,0.23930068642210298,0.19086807748118131,0.0,0.7212551094251249,0.08787681309369359,0.0,0.0,1.0,0.0
69,0.30380091377294105,0.6961990862270591,0.8311588726340043,0.0,0.0,0.16884112736599557,0.20260331070913662,0.0,0.6247141961993817,0.17268249309148168
70,0.8363097396336497,0.16369026036635037,0.04873249115280432,0.0,0.9512675088471956,0.0,0.0,0.0,0.7272519749125128,0.27274802508748724
71,0.11690965341716396,0.8830903465828359,0.0,0.8069756902831862,0.009463964635894974,0.18356034508091876,0.0,0.9013562923951848,0.09864370760481522,0.0
72,0.7613751331177662,0.23862486688223383,0.09935356030253713,0.0,0.7482677219217958,0.1523787177756672,0.0,0.14138549593893018,0.13304055765474593,0.7255739464063239
73,1.0,0.0,0.0,0.0,0.21016263430167423,0.7898373656983257,0.0,0.7076131033520248,0.02737237173539114,0.26501452491258404
74,0.0,1.0,1.0,0.0,0.0,0.0,0.8642742801382834,0.10476168778705221,0.0,0.03096403207466424
75,0.015686548737568994,0.984313451262431,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
76,1.0,0.0,0.09047014008237071,0.0,0.7756410362466266,0.13388882367100274,0.9939582441556317,0.0,0.006041755844368163,0.0
77,1.0,0.0,0.04226575143143177,0.29768564996773084,0.0,0.6600485986008374,0.19585399561094036,0.0,0.8041460043890596,0.0
78,0.04490974617530491,0.955090253824695,0.634878705820673,0.0,0.22026120688690584,0.14486008729242114,0.0,0.0,0.0,1.0
79,0.06154962608053823,0.9384503739194617,0.7212564442707614,0.26633488899978847,0.0,0.012408666729450209,0.2848057118168024,0.09577490168492314,0.6194193864982745,0.0
80,0.12216491594383415,0.8778350840561657,0.0,0.28321979921187235,0.6217313107199381,0.09504889006818949,0.006292742154949488,0.0243396318876912,0.0,0.9693676259573593
81,0.7010600861418742,0.2989399138581258,0.0,0.2300668476250872,0.0,0.7699331523749128,0.0,0.0,0.0,1.0
82,0.19550648800215964,0.8044935119978404,0.6999758648446439,0.0,0.30002413515535614,0.0,0.1456848666630979,0.19251062892607002,0.6618045044108322,0.0
83,0.39337157731219724,0.6066284226878027,0.0,0.722700416594334,0.1795834445882792,0.09771613881738679,0.0,0.0,1.0,0.0
84,0.0,1.0,0.7496874704651831,0.11688703305059599,0.13342549648422097,0.0,0.0,0.9751695363554853,0.02483046364451475,0.0
85,1.0,0.0,0.0,0.08610352993929377,0.9138964700607062,0.0,0.12518211023860815,0.6740906019878254,0.20072728777356635,0.0
86,1.0,0.0,0.10140036260803988,0.19792042793365955,0.7006792094583005,0.0,0.10100109181010862,0.1006787680473143,0.7983201401425771,0.0
87,1.0,0.0,0.0,0.0319412104001129,0.9680587895998871,0.0,0.016168071439418202,0.6298454008182472,0.33772211691675075,0.016264410825583858
88,0.6844042588972098,0.31559574110279026,0.09235140356813919,0.0,0.0,0.9076485964318608,0.0,0.0,1.0,0.0
89,0.028312500954058347,0.9716874990459416,0.0,0.6694532833851515,0.33054671661484847,0.0,0.0,0.6408625617923194,0.0,0.3591374382076807
90,0.9032160273354242,0.09678397266457581,0.0,0.0,0.11988157617905576,0.8801184238209442,0.31642736215001194,0.0,0.5871236798383124,0.09644895801167577
91,0.029968678313466623,0.9700313216865334,0.683398678444558,0.025696237208932604,0.0,0.29090508434650936,0.5849385058356689,0.36722621963076135,0.0,0.0478352745335698
92,0.41089754626239383,0.5891024537376061,0.8817239362468885,0.0,0.0,0.1182760637531114,0.0,0.41015007867179787,0.51571744142839,0.07413247989981216
93,0.0,1.0,0.676753487326682,0.29971587209219586,0.0,0.023530640581122093,0.0,0.19572508127090837,0.7698230352232293,0.03445188350586237
94,0.10743657005060202,0.8925634299493981,1.0,0.0,0.0,0.0,0.18944448141713788,0.0,0.014158687521240056,0.7963968310616222
95,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1767459204626095,0.8232540795373905
96,0.04876883971349777,0.9512311602865022,0.0,1.0,0.0,0.0,0.0,0.0,0.025369611243676597,0.9746303887563235
97,0.8882922813118633,0.11170771868813673,0.0,0.0,1.0,0.0,0.0,0.1720733682713638,0.16936693874008,0.6585596929885562
98,1.0,0.0,0.0,0.0,0.0,1.0,0.21650417879999415,0.06310326515815885,0.0,0.7203925560418469
99,0.3483018585131111,0.651698141486889,0.0,0.7319244583814005,0.11065202641289182,0.15742351520570766,0.0,0.8127479489902947,0.18725205100970538,0.0
100,0.9540297530608459,0.04597024693915411,0.0,0.33686765794526463,0.036076300674393005,0.6270560413803423,0.0074089445285316835,0.0,0.04543553412094857,0.9471555213505197
101,0.8477428603981577,0.15225713960184223,0.0,0.21155077624938803,0.0,0.788449223750612,0.15812433065780634,0.19861252978635527,0.6432631395558384,0.0
102,0.8058470659253042,0.19415293407469572,0.25717628860779956,0.09837727610220509,0.0,0.6444464352899953,0.0,0.0,1.0,0.0
103,1.0,0.0,0.0,0.255987983681239,0.052297478227734825,0.6917145380910262,0.07526068809107782,0.1375666010564923,0.5309723901051543,0.25620032074727567
104,0.0580511359282369,0.941948864071763,0.7028323517613361,0.0,0.05034515568178246,0.24682249255688155,0.15318308773310352,0.12972936631058077,0.7170875459563157,0.0
105,0.8205367399947282,0.17946326000527169,0.0,0.0,0.0,1.0,0.0,0.1548089508300531,0.5644934732279348,0.28069757594201217
106,0.744565530393653,0.25543446960634697,0.0,0.005152729921472879,0.0,0.9948472700785271,0.0,0.0,0.7607576842238337,0.23924231577616625
107,0.9102896191736436,0.08971038082635649,0.0,0.0,0.45468760188969654,0.5453123981103035,0.0,0.19211754552355517,0.4643917996780608,0.3434906547983839
108,1.0,0.0,0.15666549869773144,0.05945616138129695,0.058391232999029,0.7254871069219426,0.0,0.0,0.21606739543122735,0.7839326045687726
109,0.7850794008717635,0.2149205991282365,0.07082759414172667,0.0,0.0,0.9291724058582733,0.12112427702573342,0.0,0.2900659508853981,0.5888097720888684
110,0.0036503335432609067,0.9963496664567392,0.5644260157268502,0.0,0.03465623872046407,0.4009177455526856,0.0,0.0,1.0,0.0
111,0.010050428323330397,0.9899495716766696,0.0,0.9675130997499107,0.0,0.032486900250089275,0.149329301198163,0.604458134859871,0.07742599707555303,0.16878656686641305
112,0.0,1.0,0.506154041590912,0.09032150916217517,0.0,0.40352444924691283,0.45471969867609263,0.19158225169176832,0.15251520634598179,0.20118284328615718
113,0.8771516545038843,0.12284834549611567,0.14422044431288833,0.26909021507827885,0.03792693717035184,0.5487624034384809,0.0,0.0,1.0,0.0
114,1.0,0.0,0.07319017275395895,0.25236902162458424,0.003259027061413936,0.6711817785600429,0.0,0.16279647452214682,0.0,0.8372035254778531
115,0.9475725691192789,0.052427430880721104,0.010916433843167752,0.03257790126317805,0.9565056648936541,0.0,0.0,0.7383734745634494,0.004470767659184356,0.2571557577773662
116,0.0,1.0,0.07271529566809963,0.8874980327956734,0.03978667153622709,0.0,0.0,0.17311508583882257,0.811416048686163,0.015468865475014415
117,0.25219854923636686,0.747801450763633,0.14310062167077942,0.48723319836800627,0.28538507692881315,0.08428110303240095,0.9652847683200634,0.0,0.0,0.03471523167993659
118,0.9925902841588592,0.007409715841140827,0.07406611215366665,0.0,0.17064536034926558,0.7552885274970678,0.0,0.0,0.2941763746596355,0.7058236253403646
119,0.0,1.0,0.0,1.0,0.0,0.0,0.21039131601391986,0.6183158500641974,0.011694434667321712,0.15959839925456096
120,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
121,1.0,0.0,0.0,0.1561245435871736,0.8438754564128265,0.0,0.011345453829881393,0.28154379537273644,0.1697903497371605,0.5373204010602217
122,0.7682298352370103,0.23177016476298978,0.0,0.1706318526074549,0.0,0.829368147392545,0.0,0.0,0.24200943093372324,0.7579905690662768
123,0.0,1.0,0.908618628951544,0.0913813710484559,0.0,0.0,0.5463815190098446,0.2534430402474054,0.04238315213023659,0.15779228861251335
