,A,B,C
0,1,1,1
1,1,0,1
2,0,2,0
3,1,2,0
4,1,2,0
5,1,1,0
6,1,0,1
7,0,3,2
8,1,0,0
9,1,1,2
10,0,3,2
11,1,0,2
12,0,3,3
13,1,0,2
14,0,3,3
15,1,3,3
16,0,1,2
17,0,3,2
18,1,1,2
19,1,0,0
20,1,1,1
21,0,2,2
22,0,3,1
23,1,1,2
24,1,1,1
25,1,1,1
26,0,3,3
27,1,1,1
28,0,3,3
29,0,0,2
30,1,0,3
31,1,1,0
32,0,2,3
33,0,2,3
34,1,0,3
35,1,0,2
36,0,1,2
37,1,1,3
38,0,3,2
39,0,3,2
40,1,1,2
41,1,2,3
42,1,1,2
43,1,1,2
44,1,1,2
45,0,3,3
46,0,2,3
47,1,0,3
48,1,1,2
49,1,0,1
50,0,3,3
51,1,0,0
52,0,3,2
53,1,1,1
54,0,3,3
55,1,1,0
56,0,2,0
57,1,1,0
58,0,2,2
59,1,1,1
60,0,2,3
61,1,0,0
62,0,2,3
63,1,0,3
64,0,0,2
65,1,0,0
66,0,3,2
67,1,0,0
68,0,1,2
69,0,3,3
70,1,1,0
71,1,0,3
72,1,1,3
73,0,0,3
74,0,3,3
75,0,3,3
76,0,3,1
77,0,3,2
78,1,0,2
79,1,1,1
80,1,0,0
81,1,1,3
82,1,1,2
83,1,0,0
84,1,1,1
85,1,0,0
86,1,1,2
87,0,3,2
88,0,3,2
89,0,2,3
90,0,3,3
91,0,2,3
92,1,2,0
93,0,3,3
94,1,1,1
95,1,0,2
96,0,3,3
97,1,1,1
98,0,3,3
99,0,3,3
100,1,0,3
101,0,2,0
102,1,1,0
103,0,3,2
104,1,1,2
105,0,3,1
106,0,3,1
107,0,3,2
108,1,1,3
109,1,1,2
110,1,0,2
111,0,3,1
112,1,1,0
113,0,3,3
114,1,0,2
115,1,0,0
116,1,1,3
117,1,1,1
118,1,1,1
119,0,2,2
120,1,1,1
121,1,0,0
122,1,1,1
123,0,3,3
124,1,1,2
125,1,0,1
126,0,3,2
127,1,1,2
128,1,1,0
129,0,2,2
130,0,3,2
131,1,2,0
132,1,1,2
133,1,1,1
134,1,0,0
135,0,3,3
136,1,1,0
137,1,0,3
138,1,0,2
139,1,1,2
140,1,3,1
141,1,0,2
142,1,1,1
143,1,0,1
144,1,1,0
145,0,3,1
146,1,1,2
147,0,3,2
148,1,1,0
149,1,0,2
150,1,0,3
151,1,3,3
152,0,3,3
153,0,3,3
154,0,3,2
155,0,3,2
156,0,3,2
157,1,1,2
158,1,1,2
159,0,2,3
160,1,1,0
161,0,3,3
162,1,1,2
163,1,1,2
164,0,2,2
165,0,0,3
166,0,3,3
167,1,1,2
168,1,0,0
169,1,0,1
170,1,1,0
171,1,1,0
172,0,3,3
173,0,3,2
174,0,3,3
175,0,3,3
176,0,2,3
177,0,2,3
178,0,3,3
179,1,1,2
180,1,0,2
181,1,0,0
182,1,0,1
183,0,3,2
184,0,3,2
185,1,1,2
186,0,2,3
187,1,1,1
188,0,3,3
189,1,0,2
190,1,1,2
191,1,1,0
192,1,0,3
193,1,1,1
194,1,1,1
195,0,0,2
196,1,1,2
197,1,0,3
198,0,3,3
199,1,1,0
200,1,1,3
201,0,3,3
202,0,2,3
203,0,3,2
204,1,1,2
205,0,2,2
206,1,1,1
207,0,3,3
208,1,1,3
209,1,0,3
210,0,2,3
211,0,3,2
212,1,1,3
213,0,3,3
214,1,1,3
215,0,3,3
216,1,0,2
217,1,0,3
218,0,2,3
