,A,B,C
0,1,1,3
1,1,1,3
2,1,0,0
3,1,1,3
4,1,1,1
5,0,2,3
6,1,1,1
7,1,0,1
8,1,1,1
9,1,1,1
10,0,3,3
11,0,3,3
12,0,3,2
13,1,1,1
14,1,0,0
15,1,0,2
16,1,1,2
17,0,3,3
18,0,2,3
19,0,3,2
20,1,1,0
21,0,2,2
22,1,2,2
23,0,2,3
24,1,0,3
25,0,2,2
26,0,3,3
27,0,3,2
28,1,1,0
29,0,3,3
30,0,2,3
31,1,0,2
32,1,1,0
33,1,0,0
34,0,3,2
35,0,3,3
36,0,3,3
37,0,2,1
38,1,1,2
39,0,3,3
40,1,1,2
41,1,1,0
42,1,1,2
43,1,1,0
44,1,2,3
45,1,1,0
46,0,3,2
47,0,2,2
48,1,0,1
49,1,0,1
50,1,1,1
51,0,3,3
52,1,1,1
53,0,2,2
54,1,0,0
55,1,1,0
56,1,0,0
57,0,2,3
58,1,0,2
59,0,2,3
60,0,2,3
61,0,3,2
62,1,1,1
63,0,3,3
64,0,2,3
65,0,3,3
66,1,0,3
67,1,1,3
68,1,1,2
69,1,1,2
70,1,0,0
71,1,1,0
72,0,3,3
73,1,1,0
74,0,3,2
75,0,2,2
76,0,2,3
77,1,1,2
78,1,1,1
79,0,3,3
80,1,1,1
81,1,0,0
82,1,1,1
83,1,1,1
84,1,1,2
85,0,3,3
86,0,2,2
87,0,3,3
88,1,1,0
89,1,1,1
90,0,3,3
91,0,2,2
92,1,0,1
93,1,2,1
94,0,3,1
95,0,2,2
96,0,3,3
97,0,3,3
98,0,3,1
99,1,0,3
100,0,3,3
101,1,1,1
102,1,1,1
103,0,3,3
104,1,1,0
105,0,2,1
106,1,1,1
107,0,3,3
108,0,3,2
109,0,3,3
110,0,3,3
111,1,1,2
112,0,2,3
113,1,1,1
114,1,0,3
115,1,0,0
116,1,1,2
117,0,3,3
118,1,1,3
119,1,1,2
120,1,1,2
121,1,1,2
122,0,3,3
123,1,1,0
124,1,0,0
125,1,0,2
126,1,1,1
127,1,1,1
128,0,2,1
129,1,1,2
130,0,3,3
131,0,2,2
132,0,3,2
133,1,0,1
134,0,3,2
135,0,3,3
136,1,1,0
137,1,1,2
138,1,1,2
139,1,0,2
140,0,2,1
141,0,2,2
142,1,1,1
143,1,0,1
144,1,1,3
145,0,3,2
146,1,0,1
147,1,0,2
148,0,2,3
149,1,1,1
150,1,0,3
151,1,1,1
152,0,2,1
153,0,3,3
154,0,3,3
155,0,2,3
156,1,1,1
157,0,3,2
158,1,0,1
159,1,0,3
160,1,1,2
161,1,0,0
162,1,0,0
163,0,2,3
164,0,3,3
165,0,3,3
166,0,2,2
167,1,0,0
168,0,2,2
169,1,1,0
170,1,0,1
171,0,3,3
172,0,3,2
173,0,3,1
174,0,3,1
175,1,1,1
176,0,2,2
177,0,3,2
178,1,0,0
179,1,1,0
180,1,1,2
181,0,3,3
182,0,3,3
183,0,3,2
184,0,3,2
185,0,3,1
186,0,3,2
187,0,2,2
188,0,3,2
189,1,0,0
190,1,1,1
191,1,0,0
192,1,1,3
193,1,0,3
194,1,1,2
195,0,2,1
196,1,0,1
197,1,0,2
198,1,1,3
199,0,2,2
200,0,3,3
201,0,2,2
202,1,1,2
203,1,1,3
204,0,3,3
205,1,0,1
206,0,2,3
207,0,2,2
208,1,1,0
209,0,3,3
210,0,3,2
211,1,0,0
212,0,3,3
213,1,1,2
214,0,3,3
215,0,3,3
216,0,3,3
217,1,1,1
218,0,2,3
219,0,2,3
220,0,2,1
221,1,0,2
222,1,0,3
