,A,B,C
0,1,1,1
1,0,3,2
2,0,3,3
3,1,0,1
4,0,3,1
5,0,2,2
6,0,2,2
7,1,0,1
8,1,0,1
9,1,0,2
10,1,0,2
11,1,0,1
12,0,3,2
13,0,3,2
14,1,0,1
15,0,3,2
16,0,2,3
17,1,0,1
18,0,3,3
19,1,0,0
20,0,2,2
21,1,1,0
22,1,0,3
23,1,1,3
24,1,0,0
25,0,3,2
26,1,1,1
27,1,0,0
28,1,0,2
29,0,3,2
30,0,3,3
31,1,2,2
32,1,0,2
33,0,2,3
34,0,2,2
35,1,1,3
36,1,1,2
37,1,1,1
38,0,2,2
39,1,1,1
40,1,0,0
41,0,3,3
42,1,1,1
43,0,3,3
44,1,1,0
45,1,1,1
46,1,0,0
47,0,3,2
48,1,0,1
49,0,2,2
50,0,2,3
51,0,3,2
52,1,1,2
53,0,2,3
54,1,0,2
55,0,3,2
56,1,1,2
57,0,3,1
58,0,2,3
59,0,3,3
60,0,2,1
61,0,2,3
62,1,1,3
63,0,2,3
64,1,1,2
65,1,0,1
66,0,2,3
67,1,1,2
68,1,0,1
69,1,2,2
70,0,3,3
71,1,1,2
72,1,1,2
73,0,3,2
74,0,3,3
75,1,0,2
76,0,3,3
77,1,0,3
78,0,2,2
79,0,3,3
80,1,1,2
81,1,1,0
82,1,0,2
83,0,3,2
84,1,0,1
85,0,2,1
86,1,0,0
87,0,3,3
88,0,3,2
89,0,3,1
90,0,3,3
91,1,0,3
92,0,3,2
93,0,3,2
94,1,1,2
95,1,0,2
96,1,1,2
97,1,0,0
98,1,1,0
99,1,1,3
100,0,2,3
101,1,0,1
102,0,3,3
103,0,3,3
104,1,2,3
105,1,1,1
106,0,3,2
107,0,2,3
108,0,3,2
109,0,3,3
110,0,3,3
111,1,1,2
112,0,3,2
113,0,3,3
114,1,0,0
115,0,2,2
116,1,0,3
117,1,0,0
118,0,3,3
119,0,2,2
120,1,1,2
121,0,2,3
122,1,0,3
123,1,0,0
124,1,2,1
125,1,1,3
126,0,2,3
127,1,1,0
128,1,0,0
129,0,2,2
130,1,1,1
131,1,0,2
132,0,3,2
133,1,1,3
134,1,0,3
135,1,1,2
136,1,0,1
137,1,1,1
138,1,1,1
139,1,1,2
140,1,1,2
141,1,1,2
142,0,2,3
143,1,0,1
144,0,3,3
145,0,3,2
146,0,3,3
147,1,1,3
148,0,3,3
149,0,2,3
150,1,1,2
151,1,0,3
152,0,3,3
153,1,0,2
154,1,0,0
155,0,3,2
156,1,0,3
157,1,0,2
158,1,0,1
159,1,1,0
160,1,1,1
161,1,0,0
162,1,1,3
163,0,3,2
164,1,1,3
165,1,0,3
166,1,1,2
167,0,3,3
168,1,1,0
169,1,0,2
170,1,0,3
171,1,1,1
172,1,1,0
173,0,2,2
174,0,3,3
175,0,3,3
176,0,3,3
177,0,3,2
178,1,0,0
179,1,0,1
180,0,2,1
181,1,0,0
182,1,0,3
183,1,1,0
184,1,0,2
185,0,3,3
186,0,2,3
187,1,1,1
188,1,0,3
189,1,0,2
190,1,0,3
191,0,3,2
192,0,2,2
193,1,0,2
194,0,3,3
195,0,2,2
196,0,3,3
197,1,1,3
198,0,2,3
199,1,1,1
200,1,1,0
201,1,1,1
202,1,1,2
203,1,1,2
204,1,1,2
205,1,1,2
206,1,0,0
207,0,2,3
208,0,2,2
209,1,1,0
210,0,3,2
211,1,1,2
212,0,3,3
213,0,3,3
214,0,2,2
215,1,1,2
216,0,2,1
217,0,3,2
218,1,1,1
219,0,3,3
220,1,1,3
221,1,0,0
222,1,1,3
223,1,1,0
224,0,3,2
225,1,1,3
226,1,1,0
227,1,1,2
228,1,0,0
229,0,3,3
230,1,1,2
231,0,2,3
232,1,1,3
233,0,3,2
234,1,1,1
235,1,1,1
236,0,3,2
237,1,1,0
238,1,0,2
239,0,3,2
240,1,1,2
241,0,2,2
242,1,0,1
243,1,0,2
244,1,1,2
245,1,0,0
246,0,3,1
247,0,2,2
248,0,3,3
249,1,0,0
250,1,0,1
251,0,3,2
252,1,1,1
253,1,0,1
254,0,3,2
255,1,1,2
256,0,3,3
257,0,3,3
258,1,0,2
259,1,1,3
260,1,0,0
261,1,1,2
262,1,0,0
263,0,3,3
264,0,3,3
265,1,1,1
266,1,0,0
267,1,1,3
268,0,3,2
269,0,3,3
270,0,3,2
271,1,0,3
272,0,2,3
273,0,3,2
274,1,0,3
275,1,1,1
276,1,1,2
277,0,2,1
278,1,1,1
279,0,2,3
280,0,2,3
281,1,0,1
282,1,1,0
283,1,1,1
284,1,0,1
285,0,3,2
286,0,3,1
287,1,1,2
288,0,2,3
289,1,1,0
290,1,2,3
291,1,1,1
292,0,3,2
293,0,2,1
294,1,1,0
295,1,1,0
296,0,3,3
297,1,1,1
298,1,1,2
299,1,1,1
300,1,1,0
301,0,2,2
302,1,0,0
303,0,3,2
304,0,3,3
305,1,0,1
306,1,1,1
307,1,0,3
308,1,1,1
309,1,2,3
310,0,2,3
311,1,1,1
312,1,0,0
313,1,0,0
314,1,0,3
315,1,0,2
316,0,3,2
317,1,2,1
318,1,0,2
319,1,0,1
320,1,0,1
321,0,3,2
322,0,3,3
323,1,1,2
324,1,0,1
325,1,0,1
326,1,1,1
327,1,0,0
328,1,1,2
329,1,1,1
330,1,0,1
331,0,2,3
332,1,1,3
333,1,0,0
334,1,0,2
335,1,1,2
336,1,1,1
337,1,1,1
338,1,2,2
339,1,1,2
340,0,3,2
341,0,3,2
342,1,1,1
343,0,3,3
344,1,0,1
345,1,1,1
346,0,2,3
347,1,0,0
348,0,2,3
349,0,3,3
350,1,0,1
351,1,0,0
352,1,0,3
353,1,0,2
354,1,1,3
355,1,1,3
356,1,0,3
357,1,1,1
358,0,2,2
359,1,0,1
360,1,0,3
361,1,1,1
362,1,1,3
363,0,2,3
364,1,1,1
365,1,0,3
366,1,0,0
367,1,0,3
368,1,0,3
369,0,3,2
370,0,3,2
371,1,0,3
372,0,2,2
373,1,0,0
374,1,0,2
375,0,3,2
376,0,2,2
377,0,3,2
378,1,1,0
379,1,0,0
380,1,1,3
381,0,3,2
382,1,1,1
383,1,1,0
384,0,3,2
385,0,3,2
386,1,0,3
387,0,3,3
388,0,2,1
389,0,3,3
390,1,0,0
391,0,3,2
392,1,1,2
393,0,3,3
394,1,1,2
395,1,1,0
396,1,1,3
397,0,3,1
398,1,0,1
399,1,0,1
400,0,3,3
401,1,0,0
402,1,0,1
403,0,2,3
404,1,0,1
405,0,2,1
406,0,3,3
407,1,0,1
408,0,3,2
409,1,1,2
410,1,0,0
411,0,3,1
412,0,3,2
413,0,3,3
414,1,0,1
415,0,2,2
416,1,1,0
417,1,1,1
418,1,1,2
419,1,1,3
420,1,0,0
421,1,1,0
422,0,2,1
423,1,0,2
424,1,0,0
425,1,1,2
426,0,3,3
427,1,1,1
428,0,3,2
429,0,2,2
430,0,3,2
431,0,2,3
432,0,2,2
433,1,1,2
434,1,1,2
435,1,0,2
436,0,2,2
437,1,1,3
438,0,3,2
439,0,3,2
440,0,3,3
441,1,1,0
442,1,1,3
443,1,0,1
444,0,3,3
445,0,3,3
446,1,1,2
447,1,1,1
448,1,0,0
449,1,0,2
450,0,3,3
451,0,3,1
452,0,2,2
453,1,0,3
454,0,3,3
