,A,B,C
0,1,1,1
1,1,0,3
2,0,3,2
3,0,3,2
4,1,0,2
5,0,2,3
6,1,0,1
7,1,1,2
8,1,0,0
9,1,0,1
10,1,1,3
11,0,3,3
12,0,3,3
13,1,1,2
14,1,2,3
15,1,1,3
16,0,3,3
17,1,1,1
18,0,3,2
19,1,1,1
20,0,2,3
21,0,3,2
22,1,0,3
23,1,1,2
24,1,1,0
25,1,0,1
26,1,0,3
27,1,0,0
28,0,3,2
29,1,0,0
30,1,1,1
31,0,2,2
32,0,3,3
33,0,3,3
34,1,0,0
35,0,3,2
36,1,0,2
37,0,3,2
38,0,2,3
39,1,0,2
40,1,1,2
41,1,0,2
42,1,1,1
43,1,0,2
44,0,3,3
45,1,1,0
46,0,3,2
47,0,3,3
48,1,0,1
49,1,1,1
50,0,3,2
51,1,1,2
52,1,1,2
53,1,1,3
54,1,1,0
55,0,2,3
56,0,3,3
57,0,3,2
58,1,0,0
59,1,1,2
60,1,0,1
61,0,3,3
62,1,0,0
63,0,3,3
64,1,1,3
65,1,1,1
66,0,3,3
67,1,0,0
68,1,1,3
69,0,2,2
70,1,1,3
71,0,2,3
72,1,0,2
73,0,3,3
74,1,0,0
75,0,3,3
76,1,1,1
77,0,3,2
78,1,1,2
79,0,3,3
80,0,2,3
81,1,1,3
82,0,2,2
83,0,2,2
84,0,3,3
85,0,3,2
86,1,1,0
87,1,0,0
88,1,0,3
89,1,0,2
90,0,3,3
91,1,1,2
92,1,0,1
93,0,2,2
94,1,1,1
95,0,3,3
96,0,3,2
97,1,0,1
98,1,1,3
99,1,0,1
100,0,2,2
101,1,0,0
102,1,1,1
103,1,1,0
104,1,0,0
105,1,1,0
106,1,0,1
107,0,3,2
108,0,2,3
109,0,3,3
110,0,3,3
111,0,2,3
112,0,2,3
113,1,0,3
114,0,3,3
115,1,0,0
116,1,1,1
117,1,1,3
118,1,0,1
119,1,0,1
120,0,3,3
121,0,3,2
122,1,1,1
123,0,2,3
124,0,3,2
125,1,1,2
126,1,1,1
127,0,2,2
128,1,0,2
129,1,1,2
130,1,0,0
131,0,3,3
132,1,2,3
133,1,1,1
134,1,0,1
135,1,1,0
136,1,1,2
137,1,1,0
138,1,0,3
139,1,1,2
140,1,0,0
141,1,2,2
142,0,2,3
143,1,0,2
144,0,2,3
145,1,0,2
146,0,3,3
147,1,0,0
148,1,0,0
149,1,1,2
150,1,1,2
151,0,3,3
152,1,1,2
153,0,2,2
154,0,2,2
155,1,0,1
156,0,3,3
157,0,2,3
158,0,2,2
159,1,0,2
160,0,3,3
161,1,0,3
162,1,0,2
163,1,0,2
164,1,0,1
165,1,1,1
166,0,3,2
167,0,3,3
168,1,1,1
169,1,0,2
170,1,1,0
171,1,1,3
172,0,2,1
173,0,3,3
174,1,1,3
175,0,3,2
176,1,0,3
177,1,0,0
178,1,0,0
179,1,1,2
180,1,1,1
181,1,1,1
182,0,2,2
183,0,2,3
184,0,2,2
185,1,0,0
186,1,1,2
187,0,2,3
188,1,0,2
189,0,3,2
190,0,2,2
191,1,0,1
192,1,1,1
193,1,0,0
194,1,1,1
195,1,1,0
196,1,0,2
197,1,0,2
198,1,0,1
199,1,1,1
200,0,3,2
201,0,3,3
202,0,3,3
203,0,3,3
204,0,3,2
205,1,1,2
206,1,1,1
207,1,1,0
208,1,0,3
209,1,1,3
210,1,1,1
211,1,1,2
212,1,0,1
213,1,1,1
214,0,2,3
215,0,3,2
216,1,0,0
217,1,1,0
218,0,3,1
219,1,0,1
220,0,3,3
221,0,3,2
222,0,3,2
223,1,1,2
224,1,1,2
225,1,0,0
226,1,0,1
227,1,1,0
228,1,1,1
229,0,2,3
230,1,1,1
231,1,0,1
232,1,1,1
233,1,1,1
234,1,0,0
235,1,1,3
236,0,3,2
237,0,3,3
238,0,3,3
239,0,2,2
240,1,1,1
241,1,0,1
242,1,1,2
243,1,1,1
244,0,3,3
245,1,1,2
246,1,1,2
247,0,3,3
248,0,2,2
249,0,3,1
250,0,2,3
251,1,0,0
252,1,0,3
253,1,0,0
254,0,3,3
255,1,0,3
256,1,0,0
257,1,1,2
258,1,1,1
259,0,3,2
260,1,1,0
261,0,3,3
262,1,1,2
263,0,3,2
264,1,1,3
265,1,1,1
266,0,3,3
267,1,1,1
268,1,1,1
269,1,0,2
270,1,0,1
271,0,3,3
272,1,0,1
