,A,B,C
0,1,35,39
1,1,19,17
2,1,6,70
3,1,21,62
4,0,75,83
5,0,80,80
6,0,77,72
7,1,19,90
8,1,32,44
9,0,76,94
10,0,85,59
11,0,62,93
12,1,26,30
13,1,38,91
14,1,48,70
15,1,28,66
16,0,72,60
17,1,32,34
18,0,77,69
19,1,26,61
20,1,16,57
21,0,83,79
22,1,37,15
23,0,83,61
24,0,75,61
25,1,47,72
26,1,26,34
27,1,5,17
28,1,18,76
29,0,80,85
30,1,27,20
31,1,18,0
32,0,69,81
33,1,17,67
34,0,83,79
35,0,87,95
36,0,71,88
37,1,10,38
38,0,84,98
39,1,23,13
40,1,13,40
41,0,77,77
42,1,33,75
43,0,90,45
44,0,86,74
45,0,83,95
46,1,20,9
47,1,15,44
48,0,91,85
49,0,81,65
50,1,22,73
51,0,75,93
52,1,34,61
53,1,36,52
54,1,32,63
55,1,18,14
56,1,24,57
57,1,53,73
58,0,85,63
59,0,74,99
60,0,72,56
61,1,22,95
62,0,76,76
63,1,25,46
64,1,29,77
65,1,5,60
66,0,74,51
67,1,67,98
68,1,20,31
69,1,27,87
70,0,69,81
71,1,3,15
72,1,36,78
73,0,69,74
74,1,25,74
75,0,70,81
76,0,75,56
77,1,35,37
78,0,66,97
79,0,75,81
80,1,32,44
81,1,33,32
82,1,28,40
83,1,21,4
84,0,80,76
85,0,75,71
86,1,9,52
87,1,31,31
88,1,34,82
89,0,82,68
90,1,15,21
91,0,80,94
92,0,73,97
93,1,21,50
94,0,72,96
95,0,77,68
96,1,10,32
97,1,17,22
98,0,83,77
99,1,21,73
100,1,29,30
101,0,76,53
102,0,87,71
103,0,70,60
104,0,65,65
105,1,40,64
106,1,23,23
107,1,42,72
108,1,18,32
109,0,69,68
110,0,77,71
111,0,75,71
112,0,79,99
113,1,10,39
114,1,44,89
115,1,23,9
116,1,39,94
117,1,24,16
118,1,32,39
119,0,79,41
120,0,71,75
121,0,74,68
122,1,25,79
123,0,74,53
124,1,40,53
125,0,89,77
126,0,79,68
127,1,14,18
128,1,34,53
129,1,19,20
130,1,45,82
131,1,10,0
132,1,24,33
133,1,16,12
134,0,76,67
135,1,29,67
136,1,15,56
137,0,75,51
138,1,33,50
139,1,37,55
140,1,17,12
141,1,9,1
142,0,84,90
143,1,9,17
144,0,81,65
145,1,33,68
146,0,72,61
147,1,28,49
148,0,98,90
149,1,25,0
150,1,51,75
151,1,17,49
152,0,81,53
153,0,92,46
154,1,14,19
155,1,39,41
156,1,22,30
157,0,67,79
158,1,15,35
159,1,27,48
160,1,52,89
161,0,77,73
162,0,71,75
163,0,79,56
164,0,74,81
165,1,28,93
166,1,42,46
167,1,44,30
168,1,57,65
169,0,60,70
170,1,18,76
171,0,70,59
172,0,81,82
173,0,87,71
174,1,31,65
175,0,73,64
176,1,27,0
177,0,73,84
178,1,20,78
179,1,19,89
180,1,29,70
181,1,20,24
182,1,46,88
183,1,53,66
184,0,73,82
185,0,58,87
186,1,20,55
187,0,91,70
188,0,71,89
189,1,42,77
