Variable,A,A,B,B,B,B,C,C,C,C
Value,0,1,0,1,2,3,0,1,2,3
0,0.0,1.0,0.5923781361109541,0.4076218638890459,0.0,0.0,0.4968035437235761,0.0,0.006392912552847963,0.4968035437235761
1,0.934602361239098,0.06539763876090204,0.06951453008970197,0.0,0.35866826351121683,0.5718172063990813,0.0,0.0,0.0,1.0
2,1.0,0.0,0.0,0.29507524170756677,0.16875972717247842,0.5361650311199548,0.16862756592625178,0.0,0.8313724340737482,0.0
3,0.0,1.0,0.0,0.69031743890636,0.0,0.30968256109364006,0.2521733287382288,0.5698224676829646,0.0,0.1780042035788066
4,0.0,1.0,0.0,0.0,1.0,0.0,0.5150032104767976,0.11315498983204163,0.0,0.3718417996911607
5,0.9216923616075379,0.0783076383924622,0.0,0.0,1.0,0.0,0.16962496330901258,0.21476537110279742,0.13956417654464515,0.4760454890435448
6,0.0,1.0,0.17100417489045722,0.36159853110627355,0.25326588958314716,0.2141314044201222,0.04440965056058149,0.3465769752721069,0.0,0.6090133741673115
7,0.0,1.0,0.11298594315275554,0.7495635019079525,0.13745055493929187,0.0,0.2097954610659519,0.0,0.7902045389340481,0.0
8,0.8456542003177479,0.15434579968225207,0.0,0.2714041777135612,0.3642979111432194,0.3642979111432194,0.0,0.48815170596390844,0.22266120454253796,0.2891870894935536
9,0.10620597178474572,0.8937940282152542,0.18649766421817052,0.12645594677790256,0.2584246844313791,0.42862170457254783,0.16996364548255904,0.0,0.830036354517441,0.0
10,0.5,0.5,0.0,0.5043816561167023,0.4956183438832977,0.0,0.0,0.14988357428427132,0.44590374854858467,0.40421267716714404
11,0.0,1.0,0.2681730879365069,0.20881039898576037,0.0,0.5230165130777328,0.24920928173497303,0.413246795245402,0.24765696643756052,0.08988695658206443
12,0.72905315004698,0.27094684995301993,0.0,0.0,0.11731169345670335,0.8826883065432966,0.9505378667893153,0.0,0.0,0.04946213321068474
13,0.9896143030477963,0.010385696952203644,0.4398616735823951,0.0,0.5601383264176049,0.0,0.0,0.0,1.0,0.0
14,1.0,0.0,0.3604714649994734,0.0,0.11648084544067851,0.523047689559848,0.07822294793368376,0.20755826747657433,0.20289142134892674,0.5113273632408152
15,0.0,1.0,0.8163077349565918,0.18369226504340824,0.0,0.0,0.0,1.0,0.0,0.0
16,0.1745229501086277,0.8254770498913723,0.3080505734158955,0.5197981109799429,0.0,0.1721513156041616,0.7736488757589048,0.0,0.0,0.2263511242410952
17,0.012002989784859726,0.9879970102151403,0.5126360950903714,0.01544699466256826,0.2154285441572467,0.2564883660898135,0.5334877521780329,0.0,0.0,0.46651224782196704
18,0.29117880156158077,0.7088211984384192,0.0,0.6017083612520231,0.39829163874797696,0.0,0.975669056415128,0.02433094358487191,0.0,0.0
19,0.3211026614695475,0.6788973385304524,0.25759943989092876,0.5950731449863711,0.0,0.14732741512270003,0.12782344057577272,0.8721765594242273,0.0,0.0
20,0.0,1.0,0.0,0.5434231784884928,0.0,0.45657682151150725,0.0,1.0,0.0,0.0
21,0.0,1.0,0.43994421510587584,0.0,0.24266586885189426,0.31738991604222994,0.1696343569313373,0.31391074821972975,0.4009447835536651,0.11551011129526786
22,0.0,1.0,0.0,0.0,0.7105383605044857,0.28946163949551434,0.0,0.7318221955201427,0.0,0.26817780447985734
23,0.4113689880416159,0.588631011958384,0.5797101409081126,0.12925656677737446,0.06827599361155905,0.22275729870295402,0.3275330260839414,0.6724669739160586,0.0,0.0
24,0.0,1.0,0.3615455580540886,0.005412429440454858,0.4643847516564119,0.1686572608490447,0.4998036137006417,0.0,0.16757109172251203,0.33262529457684636
25,0.32249482735932533,0.6775051726406748,0.0,0.5582485684524642,0.0,0.4417514315475359,0.0,1.0,0.0,0.0
26,0.0,1.0,0.19655374944329557,0.166015774714401,0.16853818333319723,0.46889229250910625,0.0,0.0,1.0,0.0
27,0.0,1.0,0.34542839432173467,0.10827972194460471,0.34542839432173467,0.20086348941192594,0.4994850253748882,0.12806606887920632,0.2523418587806766,0.12010704696522895
28,0.0,1.0,0.2598665047440863,0.4596004928523527,0.21316615916230955,0.0673668432412516,0.0,0.3370071612065844,0.4158994068650964,0.24709343192831915
29,0.5635196143306136,0.43648038566938635,0.0,0.0,0.7950291278845282,0.20497087211547182,0.28295891943306695,0.0,0.4797393103479423,0.23730177021899085
30,0.4494367391635367,0.5505632608364633,0.0,0.815065739951962,0.0,0.18493426004803815,0.0,0.8650556686448193,0.0,0.13494433135518077
31,0.8748862065328401,0.12511379346715998,0.0,0.10631674752209191,0.0,0.893683252477908,0.0,0.0,0.7046543142619657,0.2953456857380343
32,0.0,1.0,0.5123780432005725,0.48762195679942755,0.0,0.0,0.09130476612513384,0.9086952338748663,0.0,0.0
33,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
34,0.10405351000200819,0.8959464899979919,0.47657299435722505,0.17104592129067556,0.22504896013100106,0.12733212422109821,0.5927613534620385,0.10024826403788194,0.3069903825000796,0.0
35,1.0,0.0,0.0,0.0,0.3100424835313903,0.6899575164686097,0.0,0.15225889224460917,0.5417332043827895,0.30600790337260125
36,0.0,1.0,0.06996455227386042,0.6017544000862907,0.32828104763984894,0.0,0.0,0.42892531646355636,0.14214936707288733,0.42892531646355636
37,0.0,1.0,0.18626995244126643,0.0,0.8137300475587336,0.0,1.0,0.0,0.0,0.0
38,0.4900420407255614,0.5099579592744385,0.0,0.7651430023013154,0.14170237622597,0.09315462147271462,1.0,0.0,0.0,0.0
39,0.17061236640465247,0.8293876335953476,0.39028824791692407,0.5483336853247432,0.0,0.0613780667583325,0.8563043465838605,0.0,0.1436956534161395,0.0
40,0.5631425298053441,0.4368574701946559,0.0,0.8289852413232444,0.0,0.1710147586767556,0.46018093747470207,0.07064497382446361,0.4691740887008344,0.0
41,0.0,1.0,0.0,0.6005563878353043,0.0,0.3994436121646957,0.39114425433764344,0.020885668782411687,0.5879700768799448,0.0
42,0.57827088320191,0.42172911679809,0.0,0.1299553376450265,0.31527757298043874,0.5547670893745348,0.2062685699515122,0.44769065881093584,0.02291561530124138,0.3231251559363106
43,0.8828740887923254,0.11712591120767461,0.7576256669480842,0.24237433305191583,0.0,0.0,0.49552687448937227,0.021044957824410168,0.48342816768621755,0.0
44,1.0,0.0,0.0,0.008720544414985508,0.9912794555850145,0.0,0.34767285185370994,0.0,0.6523271481462901,0.0
45,0.018758039950120004,0.98124196004988,0.5660944069488234,0.2218461324468664,0.21205946060431027,0.0,0.0,0.9929425568567092,0.0,0.007057443143290882
46,1.0,0.0,0.34190915772198494,0.0,0.0,0.6580908422780151,0.0,0.0,1.0,0.0
47,0.5518947457438049,0.4481052542561952,0.393874325912063,0.39218541002610025,0.13270327400867177,0.08123699005316493,0.35507469331033126,0.0,0.0,0.6449253066896686
48,0.810169467956055,0.18983053204394493,0.002873493783759596,0.23046546366322304,0.7666610425530174,0.0,0.30583188420267693,0.019388169672279378,0.1520007460343009,0.5227792000907429
49,0.835423932657504,0.164576067342496,0.0,0.0885828145052133,0.3533136722855316,0.5581035132092552,0.21067876028255259,0.12014285122032252,0.10890792847916665,0.5602704600179581
50,0.0,1.0,0.4705175782978478,0.0,0.058964843404304565,0.4705175782978478,0.0,0.0,0.0,1.0
51,1.0,0.0,0.30965022089087363,0.0,0.05698126266626234,0.6333685164428641,0.0,0.2212193122242426,0.5774191589874685,0.20136152878828883
52,0.4227723472771826,0.5772276527228174,0.8417670325461152,0.15823296745388485,0.0,0.0,0.06022390833179464,0.4617993537423226,0.13405519211146466,0.34392154581441814
53,0.0,1.0,0.8161837678171479,0.18381623218285212,0.0,0.0,0.0,0.5388937480343758,0.22425367858910106,0.2368525733765231
54,0.4367317180318121,0.5632682819681879,0.0,0.0,0.0,1.0,0.4011431408113954,0.13401281598266918,0.4648440432059354,0.0
55,0.6595513987306425,0.3404486012693575,0.0,0.0,0.0,1.0,0.0,0.6189977138821288,0.3810022861178711,0.0
56,0.07108841610796192,0.9289115838920381,0.0,0.886325227770315,0.11367477222968492,0.0,0.2284459589116727,0.0,0.7715540410883274,0.0
57,0.24753785284740146,0.7524621471525986,0.8431198899376054,0.08007489191015545,0.0,0.07680521815223908,0.0,1.0,0.0,0.0
58,0.44252596411875067,0.5574740358812493,0.2754282326938098,0.7245717673061902,0.0,0.0,0.34928284828201334,0.34928284828201334,0.3014343034359733,0.0
59,0.5,0.5,0.7154608389288493,0.0,0.09828334673166637,0.18625581433948435,0.46956864995723396,0.0,0.36604351157873355,0.1643878384640324
60,1.0,0.0,0.0,0.0,0.9616709652786266,0.03832903472137337,0.0,0.0,0.6439908452328943,0.3560091547671058
61,0.2524626396586056,0.7475373603413944,0.2741107092140494,0.19894043282327842,0.16728422546372856,0.35966463249894354,0.5864209853612855,0.33664789047921373,0.0,0.07693112415950065
62,1.0,0.0,0.0,0.37716851408918756,0.31667822425687986,0.3061532616539326,0.0,0.0,0.6001140663619431,0.39988593363805697
63,0.051984066434976176,0.9480159335650238,0.39478503498987394,0.10797215487166364,0.22109848030953258,0.27614432982892984,0.3818758876674925,0.430027656397151,0.0,0.18809645593535648
64,0.035636349708629424,0.9643636502913705,0.9410848643132169,0.058915135686783,0.0,0.0,1.0,0.0,0.0,0.0
65,0.25333637844538676,0.7466636215546132,0.0,0.46159749056422816,0.0004569754008809446,0.537945534034891,0.27984658894949876,0.0,0.7201534110505012,0.0
66,0.0,1.0,0.706755951852896,0.29324404814710403,0.0,0.0,0.0,1.0,0.0,0.0
67,0.0,1.0,0.365433631194202,0.325069588972044,0.231115831668869,0.0783809481648849,0.0,0.0,0.9638942246464498,0.03610577535355023
68,0.4670537927335755,0.5329462072664245,0.2940405236678585,0.4128702746504112,0.0,0.29308920168173036,0.21770403872410937,0.7822959612758906,0.0,0.0
69,0.9996963657220634,0.00030363427793656683,0.3138245901536654,0.18607215139495653,0.31935601984926093,0.18074723860211708,0.36593529941626635,0.421686529974518,0.21237817060921577,0.0
70,0.37966153017245946,0.6203384698275406,0.0,0.9770175756511361,0.022982424348863884,0.0,0.0,0.7963979646294216,0.20360203537057836,0.0
71,0.43755935740365304,0.562440642596347,0.5236331010754455,0.47636689892455447,0.0,0.0,0.09289062135292486,0.6948012780727134,0.0,0.21230810057436175
