,A,B,C
0,0,0,2
1,0,1,1
2,2,3,3
3,2,2,2
4,0,1,1
5,0,2,3
6,1,3,3
7,1,2,3
8,1,1,1
9,0,1,0
10,0,0,1
11,1,2,2
12,1,2,2
13,1,2,2
14,1,0,0
15,0,1,2
16,0,0,3
17,0,1,1
18,1,1,3
19,0,1,1
20,2,2,2
21,0,1,2
22,1,2,2
23,0,0,0
24,1,2,1
25,3,2,3
26,0,1,1
27,2,3,2
28,2,2,1
29,0,1,3
30,0,2,1
31,0,1,3
32,0,2,1
33,1,1,3
34,0,2,2
35,1,1,1
36,2,2,2
37,1,2,3
38,1,2,3
39,1,3,3
40,0,0,1
41,0,2,2
42,1,0,0
43,0,0,2
44,2,1,1
45,1,3,3
46,0,3,2
47,3,3,3
48,0,1,2
49,0,3,3
50,0,0,3
51,1,1,1
52,0,1,0
53,1,2,2
54,3,3,3
55,1,2,1
56,0,1,2
57,0,1,1
58,0,3,3
59,1,1,0
60,1,2,2
61,1,1,1
62,3,3,2
63,1,1,2
64,0,3,2
65,3,2,2
66,1,1,0
67,1,1,2
68,0,1,2
69,0,2,2
70,0,1,0
71,2,2,1
72,2,2,1
73,1,1,1
74,2,2,3
75,0,0,2
76,2,3,3
77,0,3,2
78,1,1,2
79,0,2,3
80,3,2,3
81,0,3,3
82,1,1,3
83,0,3,3
84,0,3,3
85,2,3,2
86,0,1,2
87,3,3,3
88,3,3,3
89,0,2,1
90,3,3,2
91,0,1,1
92,0,2,3
93,3,3,3
94,2,2,3
95,2,3,2
96,1,3,2
97,2,2,2
98,2,3,3
99,0,1,0
100,0,0,1
101,0,1,1
102,1,3,2
103,3,3,3
104,0,1,1
105,0,0,1
106,1,2,3
107,1,2,1
108,3,2,3
109,0,1,1
110,0,3,2
111,3,1,3
112,0,0,0
113,3,3,2
114,2,3,3
115,1,1,1
116,0,0,3
117,1,2,3
118,3,3,3
119,3,3,2
120,0,0,2
121,0,1,1
122,1,1,2
123,1,0,1
124,0,0,0
125,1,0,1
126,2,1,3
127,0,0,2
128,1,3,2
129,1,1,0
130,1,0,0
131,2,2,3
132,1,3,3
133,0,3,2
134,3,3,3
135,1,1,1
136,0,0,1
137,0,1,3
138,0,0,3
139,3,1,1
140,0,1,3
141,0,2,2
142,0,0,2
143,1,1,1
144,1,2,3
145,1,0,2
146,0,1,1
147,0,3,2
148,1,0,1
149,1,2,3
150,1,1,3
151,0,1,2
152,2,2,1
153,1,0,0
154,0,3,3
155,0,0,0
156,0,1,0
157,3,2,2
158,0,2,3
159,1,0,0
160,0,1,1
161,0,3,1
162,2,2,2
163,1,3,3
164,1,2,2
165,2,2,1
166,0,0,2
167,2,2,3
168,0,3,2
169,0,2,3
170,0,1,0
171,0,0,2
172,0,1,2
173,2,2,2
174,1,2,2
175,2,3,3
176,2,3,2
177,3,2,2
178,2,2,2
179,0,3,2
180,0,1,0
181,2,2,3
182,1,0,1
183,1,3,3
184,1,0,0
185,3,3,2
186,0,3,1
187,2,3,2
188,0,0,1
189,0,0,1
190,0,0,2
191,0,0,2
192,2,3,3
193,0,1,2
194,0,2,3
195,0,1,1
196,1,1,1
197,0,0,0
198,0,0,0
199,1,1,0
200,3,3,3
201,1,2,2
202,1,1,2
203,1,1,1
204,1,1,2
205,2,2,3
206,1,0,2
207,0,0,3
208,1,3,2
209,0,2,2
210,0,1,3
211,0,1,2
212,0,1,2
213,0,0,1
214,2,2,3
215,3,3,2
216,0,1,0
217,0,2,3
218,2,2,2
219,0,1,0
220,2,2,2
221,0,3,2
222,3,3,2
223,1,2,3
224,3,3,3
225,1,1,2
226,1,1,2
227,3,2,3
228,0,1,0
229,1,2,3
230,1,1,2
231,0,1,2
232,0,1,1
233,2,2,3
234,3,3,3
235,0,1,2
236,0,3,2
237,1,3,3
238,2,2,2
239,0,3,3
240,0,2,3
241,1,1,2
242,0,1,1
243,0,3,2
244,0,0,3
245,0,0,2
246,0,1,3
247,0,0,1
248,0,3,2
249,3,3,3
250,3,2,3
251,1,1,1
252,1,2,2
253,0,0,1
254,1,0,0
255,0,0,1
256,0,2,2
257,0,1,3
258,2,2,2
259,0,2,2
260,3,2,2
261,2,1,1
262,1,1,1
263,0,3,3
264,0,1,0
265,0,3,2
266,2,1,0
267,2,1,2
268,1,3,2
269,1,3,2
270,1,2,2
271,0,1,2
272,0,0,1
273,2,3,2
274,2,2,1
275,0,0,2
276,1,1,2
277,1,3,2
278,1,1,2
279,2,2,2
280,1,3,3
281,0,2,1
282,1,1,2
283,0,1,0
284,0,0,1
285,1,0,3
286,3,2,2
287,1,1,3
288,2,2,2
289,1,1,1
290,1,1,1
291,0,0,0
292,1,2,2
293,0,2,3
294,1,2,3
295,2,3,3
296,1,0,1
297,0,1,1
298,2,3,3
299,1,1,1
300,0,1,3
301,1,2,2
302,3,3,2
303,3,2,2
304,0,1,2
305,1,0,0
306,2,2,3
307,1,1,1
308,2,3,3
309,0,2,3
310,0,2,3
311,0,0,1
312,2,3,2
313,2,2,2
314,0,0,2
315,1,3,3
316,0,0,2
317,1,2,2
318,1,0,2
319,0,3,3
320,1,1,3
321,3,3,2
322,1,3,3
323,2,2,2
324,0,1,1
325,2,3,3
326,0,2,3
327,2,2,2
328,1,2,3
329,1,1,2
330,1,1,1
331,1,3,3
332,2,2,3
333,1,2,3
334,1,3,3
335,0,1,1
336,1,3,2
337,0,2,2
338,0,0,2
339,2,2,2
340,1,2,2
341,2,3,3
342,2,3,2
343,0,1,0
344,0,1,0
345,1,1,1
346,1,1,0
347,3,3,1
348,0,2,2
349,0,0,1
350,2,2,2
351,0,0,1
352,1,0,2
353,2,2,3
354,0,1,3
355,0,1,2
356,1,0,0
357,1,1,2
358,0,0,3
359,0,0,0
360,1,1,1
361,1,2,3
362,1,2,2
363,0,3,3
364,2,2,3
365,0,2,1
366,0,1,1
367,0,1,1
368,1,0,1
369,2,2,3
370,1,3,3
371,2,1,1
372,2,2,3
373,3,2,2
374,1,2,3
375,0,1,3
376,1,1,1
377,0,0,2
378,1,2,2
379,2,2,3
380,0,0,1
381,2,1,1
382,2,2,2
383,0,1,3
384,0,3,2
385,2,2,2
386,2,3,3
387,1,1,0
388,0,0,3
389,2,1,0
390,2,3,2
391,0,3,2
392,1,1,1
393,0,1,1
394,3,2,2
395,0,0,0
396,1,0,0
397,2,3,3
398,0,1,1
399,1,1,0
400,1,2,2
401,3,3,3
402,1,3,2
403,3,3,3
404,2,2,3
405,1,2,2
406,2,1,2
407,0,2,3
408,0,1,0
409,1,0,2
410,0,0,0
411,1,2,1
412,0,3,3
413,3,2,2
414,1,1,2
415,1,1,1
416,0,2,3
417,0,3,3
418,0,1,1
419,0,2,2
420,2,2,3
421,2,2,3
422,0,0,1
423,2,3,3
424,2,1,1
425,0,0,1
426,1,1,1
427,0,2,2
428,1,0,2
429,1,3,2
430,1,1,1
431,0,0,0
432,1,0,2
433,1,1,3
434,3,3,2
435,1,1,3
436,1,2,3
437,1,3,2
438,2,3,2
439,1,0,1
440,1,1,3
441,1,1,2
442,0,2,2
443,0,3,2
444,0,0,2
445,3,2,3
446,0,2,1
447,1,0,3
448,0,1,2
449,3,2,3
450,1,2,2
451,1,1,1
452,2,2,1
453,0,0,1
454,1,1,1
455,0,3,3
456,2,3,3
457,1,0,0
458,1,2,2
459,2,2,3
460,0,1,2
461,0,1,3
462,0,3,2
463,0,2,1
464,1,2,3
465,0,1,1
466,1,2,2
467,1,2,3
468,1,0,1
469,1,2,3
470,0,1,2
471,0,1,0
472,2,2,2
473,1,1,2
474,1,1,2
475,2,3,3
476,2,2,3
477,2,2,2
478,1,0,1
479,0,1,1
480,2,3,3
481,1,2,2
482,0,0,0
483,0,0,2
484,0,3,3
485,1,1,1
486,0,0,0
487,1,3,3
488,0,0,0
489,3,3,3
490,0,0,3
491,1,2,3
492,2,3,3
493,2,2,2
494,0,0,2
495,1,2,3
496,1,1,2
497,0,1,2
498,2,2,2
499,1,2,2
500,1,1,0
501,2,2,3
502,0,1,0
503,0,0,2
504,2,2,3
505,0,1,0
506,0,0,1
507,1,0,0
508,1,2,3
509,0,1,3
510,1,2,2
511,1,1,2
512,1,2,2
513,1,0,1
514,0,0,0
515,1,1,1
516,0,0,0
517,1,1,2
518,0,1,1
519,0,2,2
520,1,1,3
521,0,3,2
522,1,0,1
523,0,1,0
524,2,3,2
525,3,2,2
526,3,3,2
527,1,2,3
528,0,0,1
529,1,2,2
530,2,3,3
531,1,2,2
532,3,3,2
533,0,1,3
534,2,2,3
535,2,2,3
536,1,2,3
537,2,1,2
538,1,1,1
539,0,0,3
540,2,1,1
541,2,0,0
542,3,3,3
543,0,1,3
544,3,3,3
545,2,3,3
546,0,1,2
547,2,2,1
548,0,3,2
549,2,3,2
550,1,0,3
551,0,3,3
552,1,2,2
553,2,3,1
554,1,2,2
555,2,2,2
556,1,0,3
557,2,3,3
558,0,1,0
559,0,3,3
560,0,0,3
561,0,1,2
562,0,2,1
563,2,3,1
564,0,0,2
565,2,2,3
566,0,2,2
567,1,0,0
568,1,2,2
569,1,0,0
570,1,1,2
571,2,3,3
572,1,1,2
573,0,1,0
574,0,3,3
575,1,1,2
576,3,3,3
577,2,1,0
578,3,3,2
579,1,1,2
580,2,3,3
581,1,2,3
582,1,1,0
583,3,3,2
584,1,0,0
585,1,3,3
586,3,3,3
587,2,3,2
588,0,2,3
589,0,1,3
590,0,1,0
591,0,3,2
592,3,2,3
593,0,1,0
594,1,1,1
595,2,2,3
596,0,3,3
597,1,3,2
598,0,2,2
599,0,0,0
600,1,0,2
601,0,1,3
602,0,2,2
603,1,2,2
604,0,3,3
605,1,3,3
606,1,2,2
607,1,0,0
608,0,2,3
609,1,1,3
610,1,0,0
611,2,2,3
612,1,2,2
613,0,2,3
614,0,1,2
615,0,0,2
616,1,0,3
617,0,1,1
618,3,1,0
619,0,3,2
620,0,2,2
621,3,3,3
622,0,2,3
623,0,1,3
624,2,3,3
625,0,1,1
626,3,3,2
627,1,0,3
628,1,0,1
629,0,1,2
630,1,2,1
631,2,2,1
632,1,2,3
633,0,1,1
634,2,1,1
635,1,2,2
636,1,2,3
637,2,3,3
638,0,0,2
639,3,2,2
640,2,3,3
641,3,3,2
642,1,1,2
643,0,2,2
644,0,3,3
645,1,3,2
646,1,1,2
647,1,2,2
648,1,0,0
649,3,3,1
650,2,2,2
651,0,2,2
652,0,1,1
653,3,2,2
654,0,0,1
655,3,1,1
656,0,0,2
657,0,0,1
658,0,3,3
659,2,2,3
660,0,0,0
661,0,1,2
662,0,3,3
663,0,3,3
664,2,2,3
665,2,2,1
666,0,2,2
667,0,1,0
668,1,0,3
669,2,2,2
670,1,0,0
671,1,3,1
672,2,2,2
673,1,1,2
674,0,1,2
675,1,2,1
676,2,2,2
677,1,1,0
678,3,3,2
679,0,0,3
680,3,3,3
681,2,1,2
682,0,1,3
683,0,0,0
684,0,3,3
685,2,2,3
686,1,2,2
687,2,1,3
688,0,1,2
689,1,0,1
690,0,1,3
691,2,2,3
692,1,1,3
693,0,1,1
694,0,2,3
695,0,1,2
696,0,0,0
697,3,3,3
698,1,1,1
699,2,2,3
700,0,1,1
701,0,1,3
702,1,2,2
703,0,0,2
704,1,0,2
705,1,1,0
706,0,1,3
707,1,1,2
708,1,2,3
709,0,1,1
710,1,1,2
711,0,1,3
712,0,2,1
713,1,3,3
714,2,1,1
715,0,0,0
716,3,3,2
717,3,2,3
718,1,3,2
719,0,0,1
720,0,0,1
721,0,0,1
722,0,3,3
723,2,2,2
724,3,3,3
725,1,3,3
726,2,2,3
727,0,1,2
728,2,2,2
729,2,3,3
730,0,3,3
731,0,0,2
732,1,2,2
733,2,1,2
734,1,3,3
735,2,3,1
736,2,2,3
737,1,2,2
738,1,2,3
739,1,0,1
740,0,1,1
741,1,2,1
742,0,0,0
743,0,0,2
744,0,1,0
745,0,0,0
746,2,3,3
747,1,2,1
748,2,3,3
749,1,2,2
750,1,0,2
751,1,1,3
752,0,0,1
753,1,2,2
754,1,1,3
755,2,1,0
756,1,1,1
757,0,3,3
758,0,1,2
759,1,1,1
760,1,3,3
761,0,2,1
762,1,2,2
763,0,1,2
764,0,3,3
765,0,2,2
766,1,0,3
767,0,3,2
768,1,1,3
769,1,1,1
770,0,1,1
771,2,2,3
772,0,2,2
773,2,3,3
774,2,2,2
775,0,1,3
776,0,1,1
777,0,0,1
778,1,2,2
779,2,2,2
780,0,1,2
781,1,1,2
782,2,3,3
783,3,3,2
784,0,1,1
785,0,2,3
786,2,2,3
787,0,1,1
788,1,3,2
789,1,2,3
790,1,1,1
791,2,2,2
792,2,3,2
793,1,0,2
794,1,3,1
795,1,2,2
796,3,3,3
797,2,3,2
798,1,1,2
799,3,3,2
800,3,3,3
801,1,2,3
802,2,2,3
803,0,1,1
804,0,2,3
805,0,2,2
806,0,2,2
807,3,2,1
808,1,0,2
809,0,1,2
810,0,3,2
811,0,0,0
812,1,1,1
813,0,3,3
814,0,3,3
815,2,3,3
816,1,0,3
817,1,2,3
818,1,1,2
819,1,0,1
820,0,1,0
821,1,3,3
822,1,2,1
823,0,3,3
824,2,3,3
825,2,3,2
826,1,3,3
827,0,1,2
828,0,2,3
829,1,3,3
830,0,2,2
831,0,2,1
832,1,1,2
833,2,2,3
834,0,2,2
835,0,1,0
836,0,2,2
837,0,1,3
838,1,2,1
839,0,2,1
840,3,3,2
841,0,1,1
842,0,0,2
843,2,2,3
844,1,1,3
845,1,1,2
846,1,2,3
847,0,1,2
848,1,1,3
849,1,1,1
850,0,2,2
851,1,3,2
852,0,0,3
853,1,0,0
854,0,0,3
855,3,2,3
856,0,0,0
857,1,2,1
858,2,3,2
859,1,2,3
860,1,1,1
861,0,2,1
862,0,3,2
863,1,1,2
864,0,3,3
865,1,2,2
866,0,1,3
867,3,3,3
868,2,2,2
869,2,2,2
870,0,0,0
871,0,0,1
872,1,1,1
873,3,2,1
874,2,3,3
875,0,3,2
876,0,1,1
877,0,1,2
878,0,1,0
879,2,2,2
880,3,1,2
881,1,1,1
882,3,3,3
883,1,1,2
884,1,2,3
885,0,0,1
886,0,1,0
887,1,1,1
888,3,3,2
889,3,3,3
890,2,2,3
891,1,0,2
892,2,2,3
893,0,1,0
894,0,3,2
895,0,2,1
896,3,2,2
897,0,1,3
898,0,0,2
899,1,1,2
900,3,2,1
901,2,2,2
902,2,1,1
903,1,0,3
904,2,1,2
905,1,0,0
906,0,3,3
907,1,1,1
908,1,3,1
909,0,2,2
910,2,3,3
911,2,1,3
912,2,2,1
913,3,3,2
914,2,1,1
915,1,3,3
916,1,1,1
917,0,1,2
918,0,1,2
919,1,3,2
920,1,1,1
921,1,0,0
922,1,2,2
923,1,1,1
924,0,2,3
925,0,1,1
926,0,2,2
927,0,1,0
928,2,2,2
929,2,2,1
930,1,0,1
931,1,3,3
932,1,1,1
933,2,3,2
934,0,0,1
935,0,1,1
936,0,1,3
937,2,2,1
938,0,0,2
939,1,0,1
940,1,3,2
941,2,3,3
942,0,2,3
943,0,3,2
944,1,0,0
945,0,1,1
946,0,3,2
947,0,0,0
948,1,1,3
949,3,3,3
950,2,3,2
951,0,1,2
952,1,1,0
953,1,1,1
954,0,0,2
955,1,0,0
956,0,0,3
957,3,3,2
958,1,1,1
959,1,1,0
960,0,0,3
961,0,0,1
962,0,2,2
963,0,2,1
964,1,3,3
965,2,2,3
966,0,0,0
967,3,3,3
968,0,1,0
969,0,2,3
970,1,2,2
971,0,2,3
972,3,3,3
973,1,3,3
974,1,3,3
975,2,3,1
976,0,1,2
977,2,2,3
978,2,3,2
979,1,3,3
980,1,1,2
981,0,2,2
982,0,1,1
983,3,3,3
984,0,0,1
985,1,1,0
986,1,1,0
987,1,3,3
988,1,3,2
989,0,3,3
990,1,2,2
991,0,0,2
992,0,0,0
993,1,0,0
994,3,3,2
995,2,3,2
996,0,1,1
997,2,1,0
998,0,0,2
999,3,2,2
1000,0,0,3
1001,1,1,0
1002,3,3,3
1003,2,2,3
1004,0,1,1
1005,1,0,2
1006,1,1,0
1007,1,3,2
1008,2,2,1
1009,1,2,1
1010,0,1,2
1011,0,1,2
1012,3,2,3
1013,3,2,2
1014,2,2,3
1015,0,3,3
1016,0,1,1
1017,2,1,1
1018,0,0,1
1019,0,1,1
1020,0,0,0
1021,2,1,2
1022,0,2,2
1023,0,0,0
1024,0,2,2
1025,0,1,3
1026,0,1,3
1027,1,2,2
1028,0,2,2
1029,0,0,0
1030,0,1,1
1031,1,3,3
1032,0,2,3
1033,0,1,3
1034,3,3,3
1035,0,1,3
1036,1,2,2
1037,0,0,0
1038,2,1,3
1039,2,3,2
1040,2,3,1
1041,1,1,2
1042,0,1,1
1043,3,3,3
1044,0,0,0
1045,2,1,1
1046,1,0,0
1047,2,3,2
1048,0,2,2
1049,3,3,2
1050,0,2,1
1051,2,1,1
1052,1,1,2
1053,1,1,1
1054,2,3,2
1055,1,0,1
1056,2,2,2
1057,0,1,3
1058,0,2,3
1059,1,2,2
1060,0,1,1
1061,0,1,3
1062,0,3,2
1063,2,2,3
1064,1,1,3
1065,2,2,3
1066,0,3,3
1067,1,3,3
1068,3,3,2
1069,2,3,3
1070,1,3,3
1071,2,3,3
1072,1,0,3
1073,2,2,3
1074,1,2,3
1075,1,1,1
1076,0,0,1
1077,1,0,0
1078,0,2,3
1079,1,0,1
1080,0,3,3
1081,1,2,2
1082,3,2,2
1083,2,3,3
1084,1,0,0
1085,3,3,2
1086,1,3,3
1087,1,1,0
1088,0,0,0
1089,2,2,3
1090,2,3,3
1091,0,0,0
1092,1,0,1
1093,0,2,3
1094,3,3,3
1095,1,0,0
1096,1,0,1
1097,0,3,3
1098,1,3,2
1099,0,0,2
1100,2,2,2
1101,0,0,0
1102,0,0,2
1103,3,2,2
1104,1,0,0
1105,0,1,3
1106,1,1,3
1107,2,3,3
1108,2,3,2
1109,1,1,1
1110,1,0,0
1111,3,3,3
1112,3,3,3
1113,0,0,0
1114,2,3,2
1115,1,1,1
1116,0,1,1
1117,0,2,2
1118,0,2,3
1119,0,0,2
1120,0,3,3
1121,1,2,2
1122,2,2,1
1123,1,1,3
1124,1,1,1
1125,0,0,0
1126,1,1,0
1127,0,1,3
1128,1,3,3
1129,0,3,2
1130,0,3,3
1131,1,1,3
1132,2,1,3
1133,1,1,2
1134,2,3,3
1135,2,3,3
1136,0,1,0
1137,0,2,3
1138,1,0,0
1139,1,0,0
1140,0,0,0
1141,2,3,3
1142,0,2,2
1143,0,1,2
1144,1,2,1
1145,0,2,3
1146,1,1,1
1147,1,2,1
1148,1,0,2
1149,2,2,2
1150,1,2,1
1151,1,1,3
1152,3,3,2
1153,1,1,3
1154,1,2,3
1155,2,2,1
1156,2,2,3
1157,2,2,3
1158,0,0,2
1159,1,2,3
1160,1,1,0
1161,1,3,2
1162,0,1,0
1163,1,2,2
1164,1,2,2
1165,0,1,2
1166,1,2,3
1167,2,2,2
1168,1,2,2
1169,2,3,3
1170,0,2,0
1171,2,1,1
1172,3,3,2
1173,1,1,1
1174,1,3,2
1175,3,3,2
1176,0,3,3
