Variable,A,A,A,A,B,B,B,B,C,C,C,C
Value,0,1,2,3,0,1,2,3,0,1,2,3
0,0.44619869144933455,0.0,0.18793866305008278,0.3658626455005826,0.4770833375722564,0.37925374725661215,0.1436629151711315,0.0,0.0,1.0,0.0,0.0
1,1.0,0.0,0.0,0.0,0.15960189448432494,0.531423239607784,0.0015713872381322084,0.3074034786697588,0.08861392267836013,0.5733771865258561,0.001165984605732357,0.3368429061900515
2,0.0,0.0,0.6610810942405029,0.3389189057594971,0.10554440182043866,0.37022963792029195,0.15399632233897745,0.37022963792029195,0.25,0.25,0.25,0.25
3,0.0,0.0,0.5968236573043117,0.40317634269568825,0.21344940907960808,0.0,0.48946263356279557,0.2970879573575963,0.3519106662048466,0.28587164204793236,0.3622176917472211,0.0
4,0.8192123121814373,0.18078768781856275,0.0,0.0,0.05072516389905483,0.9492748361009452,0.0,0.0,0.4974648807116235,0.11838623834894506,0.10383318679050885,0.28031569414892255
5,1.0,0.0,0.0,0.0,0.0,0.0,0.948744293169109,0.051255706830890944,0.0,0.21471473724641135,0.0,0.7852852627535886
6,0.0,0.8419326576042389,0.0,0.15806734239576112,0.25,0.25,0.25,0.25,0.0,0.7881103958138148,0.17022902348364127,0.04166058070254392
7,0.0,0.8698162322427451,0.13018376775725501,0.0,0.11885074358559065,0.0,0.7043799121247489,0.17676934428966057,0.0,0.15235510008173409,0.3602568826359012,0.4873880172823647
8,0.0,1.0,0.0,0.0,0.35050267887042363,0.20756192054108075,0.0020695780661488953,0.43986582252234674,0.18087657655546324,0.40956171172226835,0.0,0.40956171172226835
9,0.5292778694775107,0.14713113920222665,0.3235909913202626,0.0,0.6748650740675812,0.24983938913614367,0.07529553679627514,0.0,0.7992733245926756,0.0,0.0,0.20072667540732433
10,0.3675057604625604,0.4614361515540116,0.0,0.17105808798342803,0.8184664966027959,0.0,0.18153350339720417,0.0,0.532977910814167,0.4227812602143783,0.0,0.04424082897145472
11,0.0,0.5747520923136481,0.42524790768635184,0.0,0.0,0.0,1.0,0.0,0.25,0.25,0.25,0.25
12,0.0,1.0,0.0,0.0,0.09331675984093707,0.0,0.9066832401590629,0.0,0.0,0.2803752054551278,0.5463910609394496,0.17323373360542263
13,0.7892178243845365,0.0,0.0,0.21078217561546347,0.5251157659641102,0.0928357151356107,0.38204851890027897,0.0,0.04931624717859827,0.0,0.5088382686341969,0.4418454841872048
14,0.0,0.8757990992532875,0.12420090074671247,0.0,0.9904873062476218,0.0,0.0,0.009512693752378206,0.6502636125599465,0.3497363874400536,0.0,0.0
15,0.5429764267738412,0.13895468159678342,0.0,0.3180688916293754,0.0,0.49849373239405265,0.5015062676059474,0.0,0.36650580905856184,0.0,0.6334941909414382,0.0
16,0.557839635002776,0.0,0.4404616772115914,0.0016986877856324566,0.5354840331575091,0.3975022687909494,0.0,0.06701369805154146,0.0,0.5496599705877246,0.0,0.4503400294122754
