,A,B,C
0,0.0,0.0,1.0
1,0.0,1.0,3.0
2,2.0,3.0,3.0
3,2.0,2.0,2.0
4,0.0,1.0,0.0
5,0.0,2.0,3.0
6,1.0,1.0,1.0
7,1.0,2.0,3.0
8,1.0,3.0,3.0
9,0.0,0.0,0.0
10,0.0,0.0,1.0
11,1.0,2.0,2.0
12,1.0,2.0,2.0
13,0.0,0.0,2.0
14,1.0,0.0,1.0
15,0.0,1.0,2.0
16,0.0,0.0,3.0
17,1.0,1.0,1.0
18,1.0,1.0,3.0
19,0.0,0.0,1.0
20,2.0,2.0,2.0
21,0.0,1.0,2.0
22,1.0,2.0,2.0
23,0.0,1.0,0.0
24,1.0,1.0,3.0
25,3.0,2.0,2.0
26,0.0,1.0,3.0
27,2.0,3.0,2.0
28,1.0,2.0,2.0
29,0.0,3.0,3.0
30,0.0,2.0,2.0
31,0.0,1.0,3.0
32,0.0,2.0,0.0
33,1.0,1.0,3.0
34,0.0,2.0,2.0
35,1.0,2.0,1.0
36,2.0,3.0,3.0
37,1.0,2.0,3.0
38,1.0,3.0,3.0
39,1.0,3.0,3.0
40,0.0,0.0,1.0
41,1.0,2.0,2.0
42,1.0,0.0,0.0
43,0.0,0.0,2.0
44,0.0,1.0,1.0
45,0.0,3.0,3.0
46,0.0,3.0,2.0
47,3.0,3.0,3.0
48,0.0,3.0,2.0
49,0.0,0.0,3.0
50,0.0,0.0,3.0
51,1.0,1.0,2.0
52,0.0,1.0,0.0
53,1.0,2.0,2.0
54,0.0,3.0,3.0
55,3.0,2.0,2.0
56,0.0,1.0,2.0
57,0.0,1.0,0.0
58,0.0,3.0,2.0
59,1.0,1.0,3.0
60,1.0,2.0,2.0
61,1.0,1.0,2.0
62,0.0,2.0,2.0
63,1.0,2.0,2.0
64,0.0,0.0,1.0
65,0.0,2.0,2.0
66,1.0,1.0,3.0
67,0.0,1.0,2.0
68,0.0,1.0,2.0
69,0.0,2.0,3.0
70,0.0,1.0,0.0
71,2.0,2.0,3.0
72,0.0,2.0,2.0
73,1.0,1.0,2.0
74,0.0,2.0,3.0
75,0.0,0.0,2.0
76,2.0,3.0,1.0
77,0.0,3.0,2.0
78,1.0,1.0,2.0
79,0.0,2.0,3.0
80,3.0,2.0,3.0
81,0.0,3.0,3.0
82,1.0,1.0,3.0
83,0.0,3.0,3.0
84,0.0,3.0,2.0
85,0.0,0.0,2.0
86,0.0,1.0,2.0
87,3.0,3.0,3.0
88,2.0,3.0,3.0
89,0.0,1.0,2.0
90,0.0,2.0,2.0
91,0.0,1.0,1.0
92,0.0,3.0,3.0
93,3.0,3.0,3.0
94,0.0,2.0,0.0
95,2.0,3.0,2.0
96,1.0,3.0,2.0
97,2.0,2.0,2.0
98,0.0,3.0,3.0
99,0.0,1.0,3.0
100,0.0,0.0,1.0
101,0.0,1.0,3.0
102,0.0,3.0,2.0
103,0.0,3.0,3.0
104,0.0,3.0,3.0
105,0.0,0.0,1.0
106,1.0,2.0,3.0
107,1.0,1.0,1.0
108,0.0,2.0,3.0
109,0.0,1.0,2.0
110,0.0,1.0,2.0
111,3.0,2.0,3.0
112,0.0,0.0,0.0
113,3.0,3.0,2.0
114,2.0,2.0,2.0
115,1.0,1.0,1.0
116,0.0,2.0,3.0
117,1.0,2.0,3.0
118,3.0,3.0,2.0
119,3.0,3.0,2.0
120,0.0,1.0,2.0
121,0.0,1.0,1.0
122,1.0,1.0,2.0
123,1.0,0.0,3.0
124,0.0,0.0,0.0
125,1.0,0.0,1.0
126,1.0,1.0,3.0
127,0.0,3.0,2.0
128,1.0,3.0,2.0
129,1.0,1.0,0.0
130,1.0,1.0,2.0
131,2.0,2.0,3.0
132,1.0,3.0,3.0
133,0.0,0.0,3.0
134,0.0,3.0,3.0
135,0.0,1.0,0.0
136,0.0,0.0,2.0
137,0.0,1.0,3.0
138,0.0,0.0,2.0
139,3.0,1.0,2.0
140,0.0,1.0,2.0
141,0.0,2.0,2.0
142,0.0,0.0,2.0
143,1.0,1.0,1.0
144,1.0,2.0,3.0
145,0.0,1.0,2.0
146,1.0,1.0,1.0
147,0.0,3.0,2.0
148,1.0,0.0,1.0
149,1.0,2.0,3.0
150,0.0,1.0,3.0
151,0.0,1.0,2.0
152,0.0,2.0,2.0
153,1.0,0.0,1.0
154,0.0,3.0,3.0
155,0.0,0.0,0.0
156,0.0,1.0,0.0
157,3.0,2.0,2.0
158,0.0,3.0,3.0
159,1.0,0.0,1.0
160,0.0,1.0,1.0
161,2.0,3.0,2.0
162,2.0,2.0,2.0
163,1.0,3.0,3.0
164,1.0,2.0,0.0
165,1.0,2.0,2.0
166,0.0,0.0,2.0
167,2.0,2.0,3.0
168,0.0,2.0,2.0
169,0.0,2.0,3.0
170,0.0,1.0,0.0
171,0.0,2.0,2.0
172,0.0,0.0,2.0
173,0.0,2.0,2.0
174,1.0,2.0,2.0
175,2.0,3.0,3.0
176,2.0,3.0,2.0
177,2.0,2.0,2.0
178,1.0,1.0,2.0
179,0.0,2.0,2.0
180,0.0,1.0,0.0
181,2.0,3.0,3.0
182,1.0,0.0,1.0
183,2.0,2.0,3.0
184,1.0,0.0,3.0
185,2.0,3.0,2.0
186,0.0,3.0,3.0
187,2.0,3.0,2.0
188,0.0,0.0,1.0
189,0.0,0.0,2.0
190,0.0,1.0,2.0
191,0.0,0.0,2.0
192,2.0,3.0,3.0
193,0.0,2.0,2.0
194,0.0,2.0,3.0
195,0.0,1.0,1.0
196,1.0,1.0,1.0
197,0.0,0.0,0.0
198,0.0,0.0,0.0
199,1.0,1.0,0.0
200,3.0,3.0,2.0
201,1.0,1.0,2.0
202,1.0,1.0,2.0
203,1.0,1.0,1.0
204,1.0,1.0,2.0
205,2.0,2.0,3.0
206,1.0,1.0,1.0
207,0.0,0.0,3.0
208,1.0,3.0,2.0
209,0.0,2.0,2.0
210,0.0,2.0,3.0
211,0.0,1.0,2.0
212,0.0,1.0,2.0
213,0.0,0.0,1.0
214,2.0,2.0,3.0
215,0.0,0.0,2.0
216,0.0,2.0,2.0
217,0.0,2.0,3.0
218,0.0,2.0,2.0
219,0.0,0.0,0.0
220,0.0,0.0,2.0
