,A,B,C
0,1,1,0
1,0,2,1
2,0,3,2
3,0,2,3
4,1,1,2
5,0,2,2
6,1,1,1
7,1,0,3
8,1,1,2
9,0,2,2
10,1,1,2
11,1,1,1
12,1,1,1
13,1,0,0
14,1,0,3
15,1,0,1
16,1,1,0
17,0,3,2
18,1,1,0
19,1,1,0
20,1,1,2
21,1,0,0
22,0,3,2
23,0,3,2
24,0,2,2
25,0,3,3
26,1,1,0
27,0,2,3
28,1,0,1
29,1,0,2
30,1,0,3
31,1,1,2
32,0,2,3
33,0,2,1
34,1,0,1
35,1,0,0
36,0,3,3
37,1,0,1
38,1,0,3
39,0,3,2
40,1,0,1
41,0,2,2
42,1,0,3
43,0,3,3
44,1,1,2
45,1,0,3
46,0,3,3
47,0,2,2
48,0,2,2
49,1,0,3
50,1,0,1
51,0,2,2
52,0,2,1
53,1,1,1
54,0,2,3
55,1,1,0
56,1,1,2
57,1,0,3
58,1,1,1
59,1,1,0
60,0,2,1
61,1,1,1
62,1,0,1
63,0,2,2
64,1,1,1
65,0,3,3
66,1,1,1
67,1,0,3
68,0,2,2
69,0,2,3
70,1,0,3
71,1,0,0
72,1,1,0
73,1,0,2
74,1,0,1
75,0,3,3
76,1,0,0
77,1,0,3
78,1,1,1
79,0,3,2
80,0,2,2
81,0,2,1
82,1,1,2
83,1,1,2
84,1,1,2
85,0,2,3
86,0,3,3
87,1,0,0
88,0,2,1
89,1,1,3
90,0,2,1
91,0,3,3
92,1,2,1
93,0,3,3
94,0,3,2
95,1,1,1
96,1,0,0
97,1,0,2
98,1,0,3
99,0,3,2
100,1,1,2
101,0,3,2
102,1,1,0
103,1,1,0
104,1,0,2
105,1,0,0
106,0,2,2
107,0,3,1
108,0,3,3
109,1,1,3
110,1,1,1
111,0,3,3
112,0,2,3
113,1,0,0
114,1,0,2
115,1,1,3
116,0,3,3
117,0,2,2
118,0,3,3
119,1,1,2
120,1,0,0
121,0,3,2
122,1,1,3
123,0,2,2
124,1,1,1
125,1,0,3
126,1,0,3
127,1,0,1
128,0,3,3
129,0,3,2
130,0,3,3
131,0,2,3
132,0,3,2
133,0,3,2
134,1,1,1
135,0,3,2
136,0,3,2
137,0,3,3
138,1,1,1
139,1,1,3
140,0,2,1
141,0,3,2
142,1,0,2
143,1,0,2
144,1,0,0
145,1,1,2
146,0,3,3
147,0,2,2
148,1,1,2
149,1,1,2
150,0,2,2
151,1,0,2
152,1,0,1
153,1,1,3
154,1,0,0
155,1,0,1
156,0,2,3
157,1,0,1
158,1,0,2
159,1,0,3
160,0,2,3
161,0,2,2
162,0,3,2
163,1,0,0
164,0,3,2
165,1,2,2
166,1,0,2
167,0,3,3
168,1,0,0
169,1,0,0
170,0,2,2
171,1,2,3
172,1,0,3
173,0,2,2
174,0,2,1
175,1,0,1
176,0,3,3
177,1,1,2
178,0,3,2
179,1,1,3
180,1,1,3
181,1,1,3
182,1,0,1
183,1,1,0
184,0,3,3
185,0,3,2
186,1,1,3
187,0,3,3
188,1,1,2
189,1,1,0
190,0,2,2
191,1,1,2
192,1,1,0
193,0,2,1
194,1,1,1
195,0,3,3
196,0,2,3
197,1,0,1
198,1,1,0
199,0,2,3
200,1,0,2
201,0,3,2
202,1,1,2
203,1,0,3
204,0,2,3
205,0,3,3
206,1,1,0
207,0,3,2
208,1,1,1
209,0,3,2
210,1,1,1
211,1,1,1
212,0,2,3
213,0,2,2
214,1,0,1
215,0,3,3
216,1,1,3
217,1,0,2
218,0,2,2
219,0,3,3
220,1,0,0
221,0,2,1
222,0,2,3
223,0,2,2
224,0,3,2
225,0,3,2
226,0,3,3
227,1,0,2
228,0,2,2
229,1,0,0
230,1,1,2
231,0,3,3
232,1,0,2
233,1,0,2
234,1,0,3
235,1,0,3
236,1,0,0
237,1,1,2
238,1,0,0
239,0,2,2
240,0,3,3
241,0,2,2
242,1,0,0
243,1,1,2
244,0,3,2
245,0,3,2
246,1,1,2
247,0,3,2
248,1,0,0
249,1,0,0
250,1,1,0
251,0,2,3
252,1,0,1
253,0,3,3
254,1,1,0
255,0,2,3
256,1,0,1
257,1,0,0
258,1,0,3
259,0,3,2
260,0,3,3
261,0,3,2
262,0,3,3
263,0,2,3
264,1,1,1
265,1,0,3
266,1,0,0
267,1,0,3
268,1,0,0
269,1,1,1
270,0,3,3
271,1,1,1
272,1,0,1
273,1,1,1
274,1,0,0
275,0,2,2
276,0,3,3
277,0,3,3
278,1,0,0
279,0,3,2
280,1,1,0
281,1,0,0
282,1,1,3
283,0,3,3
284,1,1,0
285,1,0,0
286,0,3,2
287,1,0,0
288,1,0,1
289,1,0,2
290,1,1,1
291,1,2,2
292,1,1,0
293,0,3,2
294,1,0,0
295,1,0,1
296,1,0,1
297,1,0,0
298,1,0,1
299,1,1,1
300,1,0,1
301,0,3,3
302,0,3,2
303,1,0,2
304,1,0,0
305,0,2,3
306,0,2,3
307,1,0,2
308,0,3,2
309,1,0,0
310,0,2,2
311,0,3,2
312,1,0,2
313,1,1,0
314,1,1,3
315,1,0,1
316,1,1,2
317,1,1,1
318,1,0,1
319,0,3,2
320,0,3,1
321,1,0,0
322,1,0,0
323,0,3,3
324,0,3,2
325,1,1,1
326,1,1,1
327,1,0,0
328,1,0,2
329,1,0,3
330,0,3,3
331,1,0,0
332,0,3,3
333,0,2,3
334,1,0,3
335,0,3,3
336,1,0,1
337,1,1,1
338,0,2,2
339,1,0,3
340,1,0,1
341,1,0,2
342,0,2,3
343,1,0,2
344,0,3,2
345,1,1,1
346,1,0,0
347,1,0,3
348,0,2,3
349,0,2,3
350,0,2,3
351,0,2,2
352,0,3,3
353,1,1,2
354,0,2,3
355,1,0,0
356,1,1,2
357,0,3,2
358,0,2,3
359,0,3,3
360,1,1,3
361,1,0,0
362,1,1,3
363,1,1,3
364,1,0,2
365,1,0,0
366,1,1,2
367,0,3,3
368,0,3,3
369,1,1,2
370,1,0,3
371,1,1,1
372,1,0,0
373,1,1,1
374,0,2,2
375,0,3,3
376,1,0,1
377,1,1,2
378,0,3,3
379,1,1,1
380,1,0,1
381,1,0,1
382,1,0,0
383,0,3,3
384,1,0,1
385,1,0,1
386,1,1,2
387,1,0,0
388,1,0,2
389,0,2,3
390,1,1,3
391,1,0,0
392,1,1,1
393,1,1,1
394,1,0,2
395,1,1,0
396,0,3,2
397,1,1,1
398,1,1,1
399,0,2,2
400,0,2,3
401,1,0,3
402,1,0,3
403,0,3,2
404,1,1,0
405,0,2,2
406,1,1,0
407,0,3,3
408,1,1,3
409,1,1,2
410,0,3,2
411,1,1,0
412,1,0,2
413,0,3,3
414,1,1,2
415,1,0,0
416,0,3,3
417,0,3,2
418,0,3,3
419,0,3,3
420,0,3,3
421,0,3,2
422,0,3,3
423,1,1,1
424,1,0,1
425,1,0,3
426,1,0,1
427,1,1,0
428,0,2,3
429,1,0,3
430,1,0,2
431,0,2,3
432,0,2,2
433,1,1,1
434,1,0,0
435,1,0,1
436,1,1,1
437,1,1,1
438,1,1,0
439,1,1,1
440,0,3,3
441,0,2,2
442,1,1,1
443,1,0,3
444,1,0,3
445,0,3,3
446,1,0,3
447,1,2,1
448,1,1,2
449,1,1,2
450,1,1,2
451,0,3,3
452,0,2,2
453,1,1,2
454,1,1,0
455,1,0,1
456,0,3,3
457,0,2,3
458,1,0,0
459,1,1,1
460,1,1,2
461,0,2,2
462,0,3,3
463,0,3,2
464,1,2,3
465,1,0,0
466,0,2,1
467,0,3,2
468,1,1,2
469,1,1,2
470,1,0,0
471,1,1,2
472,1,0,0
473,1,1,0
474,1,1,0
475,0,2,3
476,1,2,3
477,0,2,0
478,1,1,0
479,1,1,2
480,1,1,1
481,1,1,1
482,1,1,1
483,0,3,2
484,0,3,3
485,1,1,1
486,0,3,3
487,1,1,3
488,1,1,2
489,1,0,2
490,1,0,3
491,1,0,0
492,0,2,3
493,1,1,1
494,1,1,0
495,0,3,2
496,0,3,3
497,1,1,1
498,1,1,3
499,1,1,0
500,0,3,2
501,0,3,3
502,1,0,2
503,0,2,1
504,0,2,2
505,1,1,1
506,1,0,2
507,0,3,2
508,0,3,3
509,1,0,1
510,1,1,3
511,1,1,2
512,0,3,3
513,0,3,1
514,0,3,3
515,0,3,3
516,1,0,2
517,1,0,0
518,1,1,2
519,1,1,2
520,1,1,2
521,0,3,2
522,1,0,3
523,0,3,3
524,1,1,0
525,1,1,1
526,0,3,2
527,1,1,0
528,0,2,2
529,0,3,3
530,1,0,1
531,0,3,2
532,0,3,2
533,0,2,3
534,1,1,0
535,0,2,3
536,0,3,2
537,1,0,2
538,1,0,3
539,0,3,2
540,1,1,1
541,0,3,1
542,1,0,0
543,0,2,2
544,0,3,3
545,0,3,3
546,1,1,1
547,1,0,3
548,1,0,1
549,1,1,0
550,1,0,0
551,1,0,3
552,1,1,0
553,1,0,1
554,0,2,2
555,1,1,2
556,1,1,3
557,1,0,0
558,0,3,3
559,1,0,2
560,1,0,2
561,0,3,3
562,1,1,2
563,1,1,3
564,0,2,2
565,0,2,3
566,1,0,1
567,1,1,2
568,1,0,2
569,1,0,1
570,0,2,2
571,1,1,2
572,1,0,1
573,0,2,1
574,1,0,3
575,1,0,2
576,1,0,1
577,1,1,1
578,0,3,3
579,1,1,1
580,0,3,2
581,1,0,2
582,1,1,3
583,0,3,3
584,1,0,0
585,0,3,2
586,0,3,2
587,1,0,0
588,1,1,1
589,0,3,2
590,1,1,1
591,0,2,3
592,0,3,2
593,1,1,0
594,1,0,1
595,1,0,0
596,1,0,2
597,1,1,1
598,1,0,2
599,1,1,1
600,1,0,0
601,0,2,2
602,1,0,1
603,0,3,2
604,1,0,0
605,1,0,2
606,1,0,0
607,1,0,0
608,1,1,1
609,1,1,2
610,1,1,1
611,0,3,3
612,1,0,0
613,1,1,3
614,1,0,1
615,1,0,1
616,0,3,2
617,1,1,0
618,0,3,2
619,1,0,2
620,1,0,1
621,0,3,3
622,0,3,3
623,0,3,3
624,1,1,1
625,1,0,2
626,0,2,1
627,0,2,1
628,0,3,2
629,1,1,1
630,1,1,1
631,1,1,0
632,0,2,3
633,1,1,1
634,1,0,2
635,0,2,2
636,1,1,2
637,1,0,1
638,0,3,2
639,1,0,0
640,0,2,1
641,1,1,2
642,1,1,0
643,0,3,3
644,1,0,2
645,1,0,1
646,1,0,1
647,0,3,3
648,0,2,3
649,1,1,0
650,1,0,1
651,0,2,2
652,0,3,2
653,1,0,0
654,1,0,0
655,0,2,2
656,1,1,1
657,1,1,2
658,0,3,3
659,0,3,3
660,0,3,3
661,0,2,1
662,1,0,0
663,0,2,1
664,0,3,1
665,1,1,1
666,0,2,3
667,1,1,1
668,0,2,2
669,0,3,3
670,0,3,3
671,1,1,3
672,1,0,1
673,1,0,0
674,1,1,2
675,1,1,0
676,1,1,3
677,0,3,1
678,1,0,2
679,1,1,2
680,0,2,3
681,1,1,0
682,1,0,3
683,1,1,1
684,1,0,3
685,0,3,2
686,0,3,3
687,1,0,1
688,1,0,3
689,1,0,2
690,1,0,0
691,1,1,2
692,1,1,0
693,1,0,2
694,0,3,3
695,1,1,2
696,0,3,3
697,1,2,1
698,1,0,0
699,1,1,2
700,1,1,3
701,1,1,1
702,0,3,3
703,1,1,2
704,0,3,3
705,1,0,1
706,1,0,2
707,0,2,3
708,1,1,1
709,0,2,3
710,1,1,0
711,1,0,0
712,1,1,2
713,1,2,3
714,1,0,0
715,0,2,0
716,1,1,3
717,1,1,2
718,1,1,2
719,1,1,3
720,0,2,3
721,1,1,1
722,0,2,2
723,0,2,1
724,1,0,2
725,0,2,2
726,1,1,0
727,1,1,3
728,1,0,2
729,0,2,3
730,1,0,2
731,0,2,3
732,0,3,3
733,1,1,1
734,1,1,1
735,0,2,1
736,1,1,2
737,0,3,2
738,1,1,1
739,1,1,3
740,1,0,3
741,1,0,1
742,1,0,3
743,1,0,0
744,1,1,1
745,1,1,1
746,1,1,0
747,0,3,2
748,1,1,1
749,0,3,3
750,0,2,2
751,1,1,1
752,0,3,3
753,1,1,3
754,1,0,1
755,1,0,1
756,0,2,2
757,0,2,3
758,1,0,2
759,0,3,3
760,0,2,2
761,0,2,3
762,1,0,0
763,0,2,2
764,1,0,1
765,0,3,3
766,1,1,2
767,0,2,3
768,1,0,1
769,0,2,3
770,1,0,1
771,1,0,2
772,0,3,2
773,0,3,3
774,0,3,2
775,1,0,2
776,0,3,2
777,1,0,2
778,1,1,0
779,1,1,0
780,0,3,2
781,0,3,3
782,1,1,3
783,1,1,2
784,1,0,0
785,0,3,3
786,1,0,1
787,1,1,1
788,0,3,2
789,0,3,2
790,0,3,2
791,1,1,2
792,1,0,3
793,0,2,1
794,1,0,3
795,1,0,1
796,1,0,1
797,1,1,2
798,1,0,2
799,0,2,2
800,1,1,1
801,0,2,2
802,1,0,0
803,1,0,0
804,1,1,3
805,0,3,2
806,1,1,2
807,0,3,3
808,1,0,2
809,1,1,1
810,1,0,1
811,1,1,2
812,1,0,1
813,0,2,2
814,0,3,1
815,1,0,1
816,1,0,1
817,0,2,2
818,1,1,3
819,1,1,2
820,1,0,0
821,1,0,3
822,1,1,3
823,0,3,3
824,1,0,0
825,1,0,0
826,1,1,2
827,1,0,2
828,0,2,1
829,1,1,3
830,1,0,3
831,0,3,2
832,1,0,0
833,0,3,1
834,1,0,1
835,1,1,0
836,0,2,1
