Variable,A,A,B,B,B,B,C,C,C,C
Value,0,1,0,1,2,3,0,1,2,3
0,0.0,1.0,0.004579544533168092,0.9762063869795493,0.009198423451088974,0.010015645036193606,0.0,0.0017230823243722028,0.010474598629458005,0.9878023190461698
1,0.9894416550306241,0.010558344969375962,0.0058517007152823226,0.004968902025297082,0.9886753230709479,0.0005040741884726444,0.01318556510988642,0.0,0.9771010634689145,0.009713371421199145
2,1.0,0.0,0.0,0.0017136738234836313,0.9982863261765164,0.0,0.0,0.008949465119865968,0.991050534880134,0.0
3,1.0,0.0,0.027555983687216692,0.006385675181918597,0.9605497019571119,0.005508639173752891,0.0,0.9841513764585547,0.003465597467999642,0.01238302607344573
4,0.00527835309617859,0.9947216469038215,0.02439282979080169,0.9756071702091984,0.0,0.0,0.008485681886566383,0.9863645611917236,0.003856064418800416,0.001293692502909712
5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
6,0.0,1.0,0.00794250477031121,0.9801927276776166,0.0,0.011864767552072207,0.25,0.25,0.25,0.25
7,0.5,0.5,0.004066461023075998,0.0,0.9959335389769239,0.0,0.0010131935624659843,0.0,0.013452590443515365,0.9855342159940187
8,0.021994466605164426,0.9780055333948355,0.0,0.9939950050364776,0.0,0.006004994963522264,0.013128142975100973,0.0012232908813555761,0.014428152909382453,0.971220413234161
9,0.9979034337011372,0.0020965662988627607,0.0021104550220185573,0.0072040106273063695,0.9886919766279886,0.0019935577226865247,0.012981613154808716,0.0,0.9870183868451914,0.0
10,0.0,1.0,0.0,0.993630765409587,0.006369234590413026,0.0,0.0,0.0,0.9939088217453896,0.006091178254610368
11,0.00048157262293642075,0.9995184273770636,0.0,0.9887521528398031,0.004831385154389108,0.006416462005807789,0.0,1.0,0.0,0.0
12,1.0,0.0,0.0,0.0,0.9764877903224463,0.023512209677553714,0.0,0.004478471434669085,0.0,0.9955215285653309
13,0.0,1.0,0.0,0.9920833556807391,0.00791664431926085,0.0,0.0,0.0,0.9987764679534213,0.0012235320465785913
14,1.0,0.0,0.010615116811982009,0.0011076926859482268,0.9679364081448338,0.020340782357235954,0.02037877920663255,0.0022486385023690806,0.0009481870256008168,0.9764243952653975
15,1.0,0.0,0.0,0.0079904353926802,0.9920095646073197,0.0,0.25,0.25,0.25,0.25
16,0.0,1.0,0.0,0.9901405513592649,0.0,0.00985944864073514,0.9880549446605739,0.0,0.011945055339426004,0.0
17,0.004198016639290835,0.9958019833607092,0.25,0.25,0.25,0.25,0.003875185165045141,0.9961248148349549,0.0,0.0
18,0.0,1.0,0.004999619162871978,0.9845175817377105,0.0,0.010482799099417567,0.0034428190275600503,0.99655718097244,0.0,0.0
19,0.004335586645699579,0.9956644133543003,0.0016382408656607748,0.9913062272853231,0.0,0.007055531849016104,0.9913768064500226,0.0,0.0,0.00862319354997749
20,0.9875293313477888,0.012470668652211166,0.009216444268827064,0.004608184366792114,0.9861753713643808,0.0,0.01065153532666624,0.005942913507692406,0.9785135107429478,0.004892040422693769
21,1.0,0.0,0.0,0.01687747514676157,0.9820063563921713,0.001116168461067076,0.00433142727690371,0.0,0.9956685727230963,0.0
22,1.0,0.0,0.004847371274123108,0.0,0.9832566887831456,0.011895939942731262,0.0,0.00958982050659923,0.0,0.9904101794934008
23,1.0,0.0,0.25,0.25,0.25,0.25,0.010581672376785133,0.0,0.9894183276232148,0.0
24,0.006914951169396088,0.9930850488306038,0.9876169044731207,0.0021702446711708216,0.004364700072499252,0.005848150783209078,0.0,1.0,0.0,0.0
25,1.0,0.0,0.02057163245728289,0.0022339932629401433,0.977194374279777,0.0,0.002655547525773386,0.9925004083800192,0.0,0.004844044094207485
26,0.9902831084489103,0.009716891551089684,0.25,0.25,0.25,0.25,0.0027512178689226507,0.0,0.9972487821310774,0.0
27,0.013411716798619373,0.9865882832013806,0.0,0.9888794831528329,0.0,0.01112051684716703,0.0,0.9879709654916574,0.0033730740283705652,0.008655960479971997
28,0.9912506108594321,0.00874938914056792,0.0,0.009006834171014392,0.9845169520354375,0.006476213793548191,0.005366246140518421,0.0,0.9940118176463176,0.0006219362131641879
29,0.0,1.0,0.9803987348337737,0.0,0.01763088748214406,0.001970377684082141,0.0,1.0,0.0,0.0
30,0.9928540749097661,0.007145925090233947,0.005657207661931408,0.003688216360997202,0.9754720844504222,0.015182491526649217,0.0,0.0,0.0,1.0
31,1.0,0.0,0.00924887904980556,0.005074185909115294,0.985676935041079,0.0,0.0014362292935168274,0.0,0.9985637707064832,0.0
32,1.0,0.0,0.0,0.0,1.0,0.0,0.004390385906048959,0.0,0.9879443815263255,0.007665232567625448
