"JSD, SD=4    rows    100",-63.942129806832526,-169.6047835781377,-103.50855059461756
"JSD, SD=4    rows    1000",25.0954965151345,13.028886239982924,12.343042102513138
"JSD, SD=4    rows    10000",40.65550911123699,36.303391066947185,40.73116148493599
"JSD, SD=4    rows    100000",44.63040276485119,44.076165744786906,44.36968473952909
"JSD, SD=4    rows    1000000",45.45350476469116,45.74382525787503,45.55622130431061
"JSDu, SD=4    rows    100",-8.79464985198345,-18.12959980707842,-29.297906007816806,-22.60775599500755
"JSDu, SD=4    rows    1000",8.115989435607304,6.784036258878217,8.776884195012386,10.298700995249064
"JSDu, SD=4    rows    10000",7.1960795118488505,7.949797605645301,8.552230081065005,8.80342751169212
"JSDu, SD=4    rows    100000",7.918303783170046,7.9742696830514745,7.946185768983781,6.502302623747312
"JSDu, SD=4    rows    1000000",8.69551543591453,7.366978681260434,6.068461569023057,7.734000839385033
"JSD, SD=100    rows    100",-234.00891206276668,-233.7673205856334,-183.89540741920604,-184.08341244037513
"JSD, SD=100    rows    1000",-22.98391729183291,-33.431032216296984,-58.41704124084919,-40.99786661639456
"JSD, SD=100    rows    10000",87.41067522812781,88.12902335050028,87.23184206249013,86.75884364442913
"JSD, SD=100    rows    100000",99.23349587323698,99.49866845294466,99.48978838433018,99.22731893165829
"JSD, SD=100    rows    1000000",99.93572245833353,99.94907512784127,99.93397152532872,99.93225705221829
"JSDu, SD=100    rows    100",13.924368646425094,26.00816011973957,22.622992113481118,16.727696445596507
"JSDu, SD=100    rows    1000",39.47950759560626,40.22326536550062,40.22076985603968,39.701462800796925
"JSDu, SD=100    rows    10000",40.10484135834769,38.99742485670188,39.13647901711419,39.60144875222313
"JSDu, SD=100    rows    100000",36.479721899331196,36.78999878311428,37.53386567331851,36.04109111894085
"JSDu, SD=100    rows    1000000",36.541570068429714,35.88459766531611,36.529625454716744,36.74961675676419
