"JSDu, surgical_case_durations NO_ADDED_NOISE    sigma    0",8759.748,8392.343,9403.614,8487.814,8911.504,8189.018,8056.075,8810.071,8724.567,8461.155,9199.171,8462.058
"JSDu, LBP RA NO_ADDED_NOISE    sigma    0",2805.9905,2789.135,2775.9119,2731.8264,2778.2861,2769.6694,2696.5178,2685.8777,2767.7893,2757.706,2798.8684,2742.2217
"JSDu, surgical_case_durations NO_ADDED_NOISE SD=4    sigma    0",5474.7114,6312.821,5813.79,5662.6733,5528.189,5708.489,5932.5303,5989.228,5773.901,5550.901,5643.7847,5555.9824
"JSDu, LBP RA NO_ADDED_NOISE SD=4    sigma    0",2673.0002,2574.9187,2723.7185,2616.1743,2764.9272,2823.011,2704.9424,2709.893,2638.135,2747.8115,2631.765,2787.9604
"JSDu, surgical_case_durations NO_ADDED_NOISE SD=100    sigma    0",7800.077,7877.5044,7921.21,7406.9414,7896.0874,8189.315,7811.764,8255.424,8305.648,7684.0244,7833.397,7416.5166
"JSDu, LBP RA NO_ADDED_NOISE SD=100    sigma    0",2601.8516,2385.7595,2676.794,2892.0952,2915.1787,2974.648,2587.183,2876.3232,2816.1877,2623.101,2705.0867,2735.1267
"Wassersteinu, surgical_case_durations NO_ADDED_NOISE    sigma    0",8738.175,8498.526,8812.705,8345.372,8002.283,8388.087,9147.922,8367.874,8213.896,8465.034,8604.734,8082.56
"Wassersteinu, LBP RA NO_ADDED_NOISE    sigma    0",2170.1155,2161.1296,2194.1711,2023.443,2080.9038,2233.8857,2372.3347,2378.0032,2448.5923,2575.6245,2566.631,2381.9756
"Wassersteinu, surgical_case_durations NO_ADDED_NOISE SD=4    sigma    0",4627.91,5093.1143,5296.2935,5402.2935,5092.14,4992.8613,5184.165,5221.1035,4556.2896,5081.3784,4432.4116,5183.6416
"Wassersteinu, LBP RA NO_ADDED_NOISE SD=4    sigma    0",1597.4943,2129.8782,1669.3549,1874.7391,1864.5663,1801.9769,1910.2683,1925.7163,2047.6045,1697.2655,1696.8994,1751.5907
"Wassersteinu, surgical_case_durations NO_ADDED_NOISE SD=100    sigma    0",9419.187,8295.399,7489.1387,8859.954,8744.0205,8034.721,8449.946,9347.25,7946.193,8671.961,8017.346,7948.139
"Wassersteinu, LBP RA NO_ADDED_NOISE SD=100    sigma    0",2280.2065,2618.8118,2370.9797,2377.2986,2504.7446,2433.4065,2510.709,2168.8147,2855.5747,2573.2095,2438.8157,2300.8699
"JSD, surgical_case_durations    sigma    0.005",42876.742,39879.465,40876.53,40842.96,43453.133,44213.836,41609.465,39679.656,41421.67,41860.117,42924.266,43238.82
"JSD, surgical_case_durations    sigma    0.01",50787.02,50854.38,49665.68,51410.168,52313.88,50402.54,51241.03,50592.004,52228.156,49801.17,49639.926,50784.992
"JSD, surgical_case_durations    sigma    0.02",59267.973,59181.707,53835.973,58881.816,56379.293,58282.645,56593.156,57122.125,60962.383,58369.867,58432.91,59565.332
"JSD, surgical_case_durations    sigma    0.05",65959.75,59549.438,57346.516,65358.41,58223.637,57534.9,61513.87,63499.242,55624.84,62275.066,59809.88,58810.016
"JSD, surgical_case_durations    sigma    0.1",68539.28,62045.23,67015.65,64799.582,59537.703,63514.43,65576.266,66714.43,58534.277,59850.04,63137.133,60512.848
"JSD, surgical_case_durations    sigma    0.2",66631.84,62227.004,65160.28,67338.984,68595.09,64104.82,60530.36,70819.29,72454.36,67867.98,70237.37,64611.01
"JSD, surgical_case_durations    missing_entry    0.001",11893.2295,11389.91,11729.755,12090.29,10854.397,11194.862,10673.311,11127.676,11727.817,12677.147,11211.912,10946.66
"JSD, surgical_case_durations    missing_entry    0.005",10828.719,11676.433,10696.32,11839.26,11242.615,10621.642,11792.355,12159.126,12112.479,11439.533,10941.528,11066.327
"JSD, surgical_case_durations    missing_entry    0.01",11858.1455,11546.504,11680.688,10906.06,11613.093,11293.764,11319.263,10970.533,10822.461,11480.5,10908.596,11659.414
"JSD, surgical_case_durations    missing_entry    0.05",13046.025,12390.493,13244.87,12013.442,13025.411,12414.583,12915.63,12881.488,13149.738,12411.505,12961.066,12973.0
"JSD, surgical_case_durations    missing_entry    0.1",14012.263,14406.375,15089.61,15919.344,14216.61,14817.885,15156.626,14283.017,14266.973,14719.889,14580.227,14069.142
"JSD, surgical_case_durations    missing_entry    0.5",25887.51,25698.955,27357.262,25163.781,27992.441,27298.406,25628.266,25557.547,27514.74,25792.158,28516.783,25512.205
"JSD, surgical_case_durations    missing_entry_combined    0.001",57901.703,58382.94,58156.87,59096.875,58761.543,58942.902,56891.934,53962.582,55628.547,56739.094,57897.637,56798.348
"JSD, surgical_case_durations    missing_entry_combined    0.005",60347.582,58935.832,57552.934,64315.63,60552.523,58161.86,59828.246,58626.348,55738.152,56196.484,60398.3,57933.336
"JSD, surgical_case_durations    missing_entry_combined    0.01",62264.465,58504.785,57778.24,57352.3,58644.74,59058.406,60152.543,58539.926,57368.543,59772.902,59856.637,55256.8
"JSD, surgical_case_durations    missing_entry_combined    0.05",60769.86,60132.145,57994.65,59062.766,59542.6,60261.152,60568.566,65255.574,62799.1,59083.566,61413.777,63754.18
"JSD, surgical_case_durations    missing_entry_combined    0.1",62303.88,62194.297,61836.117,61643.55,61215.953,64420.0,62044.344,61948.656,62810.7,60209.375,62122.625,60313.28
"JSD, surgical_case_durations    missing_entry_combined    0.5",57266.91,60841.613,57810.887,59138.715,69328.4,64473.89,59805.25,62733.68,60882.367,63264.92,61614.7,64987.887
"JSDu, surgical_case_durations    sigma    0.005",80192.74,80815.195,80649.86,80197.66,80027.31,80779.7,80112.02,78992.76,80881.0,80817.445,80757.53,80358.93
"JSDu, surgical_case_durations    sigma    0.01",111834.13,110807.234,110363.3,110443.06,110711.44,112272.5,110481.16,111302.64,109838.54,111305.71,110277.11,110395.67
"JSDu, surgical_case_durations    sigma    0.02",145463.33,144793.92,144562.67,143787.97,144629.73,144332.77,145028.75,143305.48,144507.67,144916.1,142613.52,143816.61
"JSDu, surgical_case_durations    sigma    0.05",186488.73,185827.77,187704.03,186801.36,187563.84,187284.83,186874.47,187913.11,187871.9,187640.62,188206.14,186622.9
"JSDu, surgical_case_durations    sigma    0.1",213179.58,212548.9,211647.31,211940.81,211665.33,213143.88,212874.97,212248.9,212434.53,213817.9,211896.94,211887.38
"JSDu, surgical_case_durations    sigma    0.2",228467.14,228361.61,229115.34,228735.06,228648.97,228442.75,229003.23,228567.08,228988.6,229163.45,228605.73,227599.83
"JSDu, surgical_case_durations    missing_entry    0.001",8238.533,9093.651,8877.381,8860.823,8294.27,8499.624,8218.109,8607.573,8609.012,9152.972,8995.93,8760.596
"JSDu, surgical_case_durations    missing_entry    0.005",8603.348,9060.267,9026.784,8911.461,8924.5,9245.557,9221.507,8853.515,8794.524,8881.559,8887.039,9026.448
