"JSDu, surgical_case_durations NO_ADDED_NOISE    sigma    0",333.0,307.0,310.0,261.0,298.0,293.0,277.0,316.0,267.0,272.0,300.0,334.0
"JSDu, LBP RA NO_ADDED_NOISE    sigma    0",71.0,68.0,64.0,75.0,80.0,85.0,68.0,84.0,72.0,90.0,90.0,89.0
"JSDu, surgical_case_durations NO_ADDED_NOISE SD=4    sigma    0",96.0,146.0,123.0,139.0,112.0,152.0,138.0,150.0,179.0,116.0,98.0,130.0
"JSDu, LBP RA NO_ADDED_NOISE SD=4    sigma    0",90.0,37.0,72.0,75.0,76.0,64.0,76.0,70.0,88.0,67.0,64.0,54.0
"JSDu, surgical_case_durations NO_ADDED_NOISE SD=100    sigma    0",462.0,546.0,512.0,543.0,457.0,424.0,511.0,496.0,516.0,531.0,652.0,554.0
"JSDu, LBP RA NO_ADDED_NOISE SD=100    sigma    0",530.0,174.0,126.0,197.0,208.0,118.0,78.0,153.0,358.0,211.0,146.0,486.0
"Wassersteinu, surgical_case_durations NO_ADDED_NOISE    sigma    0",17586.0,16631.0,16720.0,17066.0,19704.0,17613.0,16691.0,18505.0,18078.0,18217.0,17350.0,17782.0
"Wassersteinu, LBP RA NO_ADDED_NOISE    sigma    0",9021.0,8659.0,10240.0,9789.0,9603.0,9569.0,10338.0,9582.0,9418.0,10181.0,8550.0,10401.0
"Wassersteinu, surgical_case_durations NO_ADDED_NOISE SD=4    sigma    0",1737.0,1766.0,2238.0,1411.0,1329.0,2373.0,1111.0,1226.0,1489.0,939.0,1883.0,1411.0
"Wassersteinu, LBP RA NO_ADDED_NOISE SD=4    sigma    0",2731.0,3235.0,4120.0,3352.0,4144.0,2772.0,3587.0,3686.0,3510.0,4205.0,3847.0,3761.0
"Wassersteinu, surgical_case_durations NO_ADDED_NOISE SD=100    sigma    0",25308.0,23262.0,25147.0,21221.0,23489.0,24296.0,22794.0,20985.0,22692.0,24545.0,25164.0,25521.0
"Wassersteinu, LBP RA NO_ADDED_NOISE SD=100    sigma    0",13635.0,12864.0,12310.0,12476.0,14395.0,13164.0,14476.0,13526.0,12662.0,13861.0,14482.0,12950.0
"JSD, surgical_case_durations    sigma    0.005",4453.0,4612.0,4826.0,4869.0,4791.0,4830.0,4478.0,4667.0,4828.0,4612.0,5192.0,4851.0
