"JSDu, surgical_case_durations NO_ADDED_NOISE    sigma    0",120181.0,120207.0,120204.0,120253.0,120216.0,120221.0,120237.0,120198.0,120247.0,120242.0,120214.0,120180.0
"JSDu, LBP RA NO_ADDED_NOISE    sigma    0",52821.0,52824.0,52828.0,52817.0,52812.0,52807.0,52824.0,52808.0,52820.0,52802.0,52802.0,52803.0
"JSDu, surgical_case_durations NO_ADDED_NOISE SD=4    sigma    0",120418.0,120368.0,120391.0,120375.0,120402.0,120362.0,120376.0,120364.0,120335.0,120398.0,120416.0,120384.0
"JSDu, LBP RA NO_ADDED_NOISE SD=4    sigma    0",52802.0,52855.0,52820.0,52817.0,52816.0,52828.0,52816.0,52822.0,52804.0,52825.0,52828.0,52838.0
"JSDu, surgical_case_durations NO_ADDED_NOISE SD=100    sigma    0",120052.0,119968.0,120002.0,119971.0,120057.0,120090.0,120003.0,120018.0,119998.0,119983.0,119862.0,119960.0
"JSDu, LBP RA NO_ADDED_NOISE SD=100    sigma    0",52362.0,52718.0,52766.0,52695.0,52684.0,52774.0,52814.0,52739.0,52534.0,52681.0,52746.0,52406.0
"Wassersteinu, surgical_case_durations NO_ADDED_NOISE    sigma    0",102928.0,103883.0,103794.0,103448.0,100810.0,102901.0,103823.0,102009.0,102436.0,102297.0,103164.0,102732.0
"Wassersteinu, LBP RA NO_ADDED_NOISE    sigma    0",43871.0,44233.0,42652.0,43103.0,43289.0,43323.0,42554.0,43310.0,43474.0,42711.0,44342.0,42491.0
"Wassersteinu, surgical_case_durations NO_ADDED_NOISE SD=4    sigma    0",118777.0,118748.0,118276.0,119103.0,119185.0,118141.0,119403.0,119288.0,119025.0,119575.0,118631.0,119103.0
"Wassersteinu, LBP RA NO_ADDED_NOISE SD=4    sigma    0",50161.0,49657.0,48772.0,49540.0,48748.0,50120.0,49305.0,49206.0,49382.0,48687.0,49045.0,49131.0
"Wassersteinu, surgical_case_durations NO_ADDED_NOISE SD=100    sigma    0",95206.0,97252.0,95367.0,99293.0,97025.0,96218.0,97720.0,99529.0,97822.0,95969.0,95350.0,94993.0
"Wassersteinu, LBP RA NO_ADDED_NOISE SD=100    sigma    0",39257.0,40028.0,40582.0,40416.0,38497.0,39728.0,38416.0,39366.0,40230.0,39031.0,38410.0,39942.0
"JSD, surgical_case_durations    sigma    0.005",88392.0,88137.0,87908.0,87865.0,87992.0,87898.0,88361.0,88221.0,87946.0,88181.0,87582.0,87940.0
"JSD, surgical_case_durations    sigma    0.01",78843.0,79246.0,79410.0,79203.0,78916.0,79244.0,79080.0,79175.0,79048.0,78458.0,79086.0,79376.0
"JSD, surgical_case_durations    sigma    0.02",61281.0,61334.0,60817.0,60960.0,60919.0,61387.0,61096.0,61525.0,61692.0,61123.0,60935.0,61321.0
"JSD, surgical_case_durations    sigma    0.05",38040.0,38576.0,38367.0,38119.0,38022.0,38628.0,38657.0,38765.0,38244.0,38604.0,38901.0,38373.0
