"JSDu, surgical_case_durations NO_ADDED_NOISE    sigma    0",277.0,316.0,267.0,272.0,300.0,334.0
"JSDu, LBP RA NO_ADDED_NOISE    sigma    0",68.0,84.0,72.0,90.0,90.0,89.0
"JSDu, surgical_case_durations NO_ADDED_NOISE SD=4    sigma    0",138.0,150.0,179.0,116.0,98.0,130.0
"JSDu, LBP RA NO_ADDED_NOISE SD=4    sigma    0",76.0,70.0,88.0,67.0,64.0,54.0
"JSDu, surgical_case_durations NO_ADDED_NOISE SD=100    sigma    0",511.0,496.0,516.0,531.0,652.0,554.0
"JSDu, LBP RA NO_ADDED_NOISE SD=100    sigma    0",78.0,153.0,358.0,211.0,146.0,486.0
"Wassersteinu, surgical_case_durations NO_ADDED_NOISE    sigma    0",16691.0,18505.0,18078.0,18217.0,17350.0,17782.0
"Wassersteinu, LBP RA NO_ADDED_NOISE    sigma    0",10338.0,9582.0,9418.0,10181.0,8550.0,10401.0
"Wassersteinu, surgical_case_durations NO_ADDED_NOISE SD=4    sigma    0",1111.0,1226.0,1489.0,939.0,1883.0,1411.0
"Wassersteinu, LBP RA NO_ADDED_NOISE SD=4    sigma    0",3587.0,3686.0,3510.0,4205.0,3847.0,3761.0
"Wassersteinu, surgical_case_durations NO_ADDED_NOISE SD=100    sigma    0",22794.0,20985.0,22692.0,24545.0,25164.0,25521.0
"Wassersteinu, LBP RA NO_ADDED_NOISE SD=100    sigma    0",14476.0,13526.0,12662.0,13861.0,14482.0,12950.0
"JSD, surgical_case_durations    sigma    0.005",4478.0,4667.0,4828.0,4612.0,5192.0,4851.0
"JSD, surgical_case_durations    sigma    0.01",5799.0,5746.0,5811.0,6130.0,5748.0,5471.0
"JSD, surgical_case_durations    sigma    0.02",6283.0,6123.0,5993.0,6306.0,6282.0,6307.0
"JSD, surgical_case_durations    sigma    0.05",8178.0,7971.0,8188.0,8047.0,7875.0,8208.0
"JSD, surgical_case_durations    sigma    0.1",7429.0,7195.0,7747.0,7373.0,7417.0,7720.0
"JSD, surgical_case_durations    sigma    0.2",6953.0,6351.0,6451.0,6436.0,6388.0,6217.0
"JSD, surgical_case_durations    missing_entry    0.001",1628.0,2008.0,1915.0,2536.0,2011.0,1582.0
"JSD, surgical_case_durations    missing_entry    0.005",1907.0,1856.0,2309.0,1662.0,1844.0,1724.0
"JSD, surgical_case_durations    missing_entry    0.01",1675.0,1803.0,1759.0,2325.0,1734.0,2137.0
"JSD, surgical_case_durations    missing_entry    0.05",2318.0,1913.0,2117.0,2023.0,2266.0,1376.0
"JSD, surgical_case_durations    missing_entry    0.1",3080.0,2859.0,2375.0,2932.0,2366.0,2420.0
"JSD, surgical_case_durations    missing_entry    0.5",6535.0,5958.0,5548.0,4817.0,5725.0,5908.0
"JSD, surgical_case_durations    missing_entry_combined    0.001",5846.0,6264.0,6201.0,6343.0,6141.0,6489.0
"JSD, surgical_case_durations    missing_entry_combined    0.005",6433.0,6326.0,6273.0,6140.0,6120.0,6586.0
"JSD, surgical_case_durations    missing_entry_combined    0.01",5858.0,5955.0,6346.0,5789.0,6021.0,6301.0
"JSD, surgical_case_durations    missing_entry_combined    0.05",6021.0,6027.0,6236.0,6383.0,5713.0,5916.0
"JSD, surgical_case_durations    missing_entry_combined    0.1",6373.0,6117.0,5835.0,6423.0,6027.0,6279.0
"JSD, surgical_case_durations    missing_entry_combined    0.5",5285.0,5267.0,5416.0,5323.0,5416.0,5028.0
"JSDu, surgical_case_durations    sigma    0.005",1385.0,1319.0,1382.0,1399.0,1466.0,1377.0
"JSDu, surgical_case_durations    sigma    0.01",3349.0,3376.0,3050.0,3422.0,3133.0,3045.0
"JSDu, surgical_case_durations    sigma    0.02",4099.0,3536.0,3568.0,3555.0,3522.0,3417.0
"JSDu, surgical_case_durations    sigma    0.05",3893.0,3962.0,4041.0,3985.0,4209.0,4087.0
"JSDu, surgical_case_durations    sigma    0.1",3900.0,3885.0,4023.0,3917.0,4247.0,3896.0
"JSDu, surgical_case_durations    sigma    0.2",3158.0,2862.0,3011.0,2861.0,3010.0,2889.0
"JSDu, surgical_case_durations    missing_entry    0.001",343.0,272.0,279.0,316.0,257.0,277.0
"JSDu, surgical_case_durations    missing_entry    0.005",312.0,265.0,304.0,308.0,267.0,262.0
"JSDu, surgical_case_durations    missing_entry    0.01",287.0,278.0,274.0,305.0,287.0,310.0
"JSDu, surgical_case_durations    missing_entry    0.05",278.0,276.0,265.0,282.0,240.0,266.0
"JSDu, surgical_case_durations    missing_entry    0.1",318.0,275.0,253.0,230.0,256.0,266.0
"JSDu, surgical_case_durations    missing_entry    0.5",114.0,96.0,136.0,131.0,109.0,133.0
"JSDu, surgical_case_durations    missing_entry_combined    0.001",3399.0,3563.0,3610.0,3551.0,3706.0,3388.0
"JSDu, surgical_case_durations    missing_entry_combined    0.005",3491.0,3614.0,3376.0,3812.0,3738.0,3670.0
"JSDu, surgical_case_durations    missing_entry_combined    0.01",3369.0,3713.0,3451.0,3627.0,3404.0,3459.0
"JSDu, surgical_case_durations    missing_entry_combined    0.05",3420.0,3329.0,3245.0,3388.0,3518.0,3442.0
"JSDu, surgical_case_durations    missing_entry_combined    0.1",3028.0,3255.0,3317.0,3264.0,3283.0,3275.0
"JSDu, surgical_case_durations    missing_entry_combined    0.5",1748.0,1929.0,1911.0,1887.0,1825.0,1867.0
"JSD, LBP RA    sigma    0.005",3645.0,3446.0,3449.0,3195.0,3733.0,3612.0
"JSD, LBP RA    sigma    0.01",4619.0,5528.0,4618.0,4848.0,5131.0,4878.0
"JSD, LBP RA    sigma    0.02",5059.0,5489.0,5047.0,4918.0,5211.0,5417.0
"JSD, LBP RA    sigma    0.05",4494.0,4417.0,4414.0,4464.0,4211.0,4405.0
"JSD, LBP RA    sigma    0.1",3729.0,3763.0,3826.0,3825.0,3838.0,3730.0
"JSD, LBP RA    sigma    0.2",3511.0,3442.0,3582.0,3564.0,3530.0,3508.0
"JSD, LBP RA    missing_entry    0.001",439.0,771.0,657.0,655.0,674.0,687.0
"JSD, LBP RA    missing_entry    0.005",767.0,678.0,654.0,505.0,592.0,652.0
"JSD, LBP RA    missing_entry    0.01",711.0,634.0,702.0,665.0,539.0,693.0
"JSD, LBP RA    missing_entry    0.05",876.0,1223.0,1046.0,1008.0,1064.0,932.0
