"JSDu, surgical_case_durations NO_ADDED_NOISE    sigma    0",0.0
"JSDu, LBP RA NO_ADDED_NOISE    sigma    0",0.0
"JSDu, surgical_case_durations NO_ADDED_NOISE SD=4    sigma    0",0.0
"JSDu, LBP RA NO_ADDED_NOISE SD=4    sigma    0",0.0
"JSDu, surgical_case_durations NO_ADDED_NOISE SD=100    sigma    0",0.0
"JSDu, LBP RA NO_ADDED_NOISE SD=100    sigma    0",0.0
"JSD, surgical_case_durations    sigma    0.005",109.0
"JSD, surgical_case_durations    sigma    0.01",4156.0
"JSD, surgical_case_durations    sigma    0.02",17025.0
"JSD, surgical_case_durations    sigma    0.05",33515.0
"JSD, surgical_case_durations    sigma    0.1",42122.0
"JSD, surgical_case_durations    sigma    0.2",46635.0
"JSD, surgical_case_durations    missing_entry    0.001",67.0
"JSD, surgical_case_durations    missing_entry    0.005",337.0
"JSD, surgical_case_durations    missing_entry    0.01",708.0
"JSD, surgical_case_durations    missing_entry    0.05",3396.0
"JSD, surgical_case_durations    missing_entry    0.1",6707.0
"JSD, surgical_case_durations    missing_entry    0.5",32605.0
"JSD, surgical_case_durations    missing_entry_combined    0.001",16872.0
"JSD, surgical_case_durations    missing_entry_combined    0.005",16956.0
"JSD, surgical_case_durations    missing_entry_combined    0.01",17727.0
"JSD, surgical_case_durations    missing_entry_combined    0.05",19677.0
"JSD, surgical_case_durations    missing_entry_combined    0.1",21928.0
"JSD, surgical_case_durations    missing_entry_combined    0.5",42008.0
"JSDu, surgical_case_durations    sigma    0.005",87.0
"JSDu, surgical_case_durations    sigma    0.01",3543.0
"JSDu, surgical_case_durations    sigma    0.02",11025.0
"JSDu, surgical_case_durations    sigma    0.05",17671
"JSDu, surgical_case_durations    sigma    0.1",21012
"JSDu, surgical_case_durations    sigma    0.2",21269
"JSDu, surgical_case_durations    missing_entry    0.001",69
"JSDu, surgical_case_durations    missing_entry    0.005",323
"JSDu, surgical_case_durations    missing_entry    0.01",664
"JSDu, surgical_case_durations    missing_entry    0.05",3186
"JSDu, surgical_case_durations    missing_entry    0.1",5935
