"JSDu, surgical_case_durations NO_ADDED_NOISE    sigma    0",9346.328,8954.804,9073.239,8884.717
"JSDu, LBP RA NO_ADDED_NOISE    sigma    0",5023.6904,5380.2993,5043.839,5112.4194
"JSDu, surgical_case_durations NO_ADDED_NOISE SD=4    sigma    0",3142.956,3020.5642,3414.831,2724.6863
"JSDu, LBP RA NO_ADDED_NOISE SD=4    sigma    0",3351.6882,3400.3064,3395.762,3449.4592
"JSDu, surgical_case_durations NO_ADDED_NOISE SD=100    sigma    0",11493.959,11648.066,11825.99,11774.041
"JSDu, LBP RA NO_ADDED_NOISE SD=100    sigma    0",6105.4453,6270.772,6381.8066,6668.733
"JSD, surgical_case_durations    sigma    0.005",18497.281,18485.266,16367.109,17333.11
"JSD, surgical_case_durations    sigma    0.01",22395.486,21266.324,21368.684,20734.438
"JSD, surgical_case_durations    sigma    0.02",25876.404,27907.959,26422.707,27104.924
"JSD, surgical_case_durations    sigma    0.05",32006.14,31879.809,31548.68,32485.55
"JSD, surgical_case_durations    sigma    0.1",34835.355,34671.21,34735.58,35190.5
"JSD, surgical_case_durations    sigma    0.2",37055.832,36969.02,37803.586,36842.387
"JSD, surgical_case_durations    missing_entry    0.001",14202.803,13418.765,15405.029,15311.0625
"JSD, surgical_case_durations    missing_entry    0.005",14615.978,13732.049,13988.358,15536.782
"JSD, surgical_case_durations    missing_entry    0.01",15325.822,16274.629,14125.489,15520.731
"JSD, surgical_case_durations    missing_entry    0.05",15489.473,16100.348,13939.947,14761.225
"JSD, surgical_case_durations    missing_entry    0.1",18014.865,17260.21,16703.639,16556.863
"JSD, surgical_case_durations    missing_entry    0.5",31328.254,31281.799,29413.7,32089.172
"JSD, surgical_case_durations    missing_entry_combined    0.001",27401.926,27097.182,26074.16,27311.623
"JSD, surgical_case_durations    missing_entry_combined    0.005",25965.373,27111.03,26265.826,27340.143
"JSD, surgical_case_durations    missing_entry_combined    0.01",26754.053,26952.62,26578.293,27493.654
"JSD, surgical_case_durations    missing_entry_combined    0.05",26693.588,26980.693,27246.184,27000.055
"JSD, surgical_case_durations    missing_entry_combined    0.1",27619.447,27736.54,28583.33,28090.24
"JSD, surgical_case_durations    missing_entry_combined    0.5",34540.223,33911.332,33179.996,33199.098
"JSDu, surgical_case_durations    sigma    0.005",9640.734,8588.648,10856.707,11113.69
"JSDu, surgical_case_durations    sigma    0.01",15889.624,16319.19,15895.961,14706.901
"JSDu, surgical_case_durations    sigma    0.02",28765.664,28399.912,28777.75,28636.277
"JSDu, surgical_case_durations    sigma    0.05",44113.344,43685.84,43634.19,43796.86
"JSDu, surgical_case_durations    sigma    0.1",48355.105,48544.44,48015.484,48432.008
"JSDu, surgical_case_durations    sigma    0.2",49918.91,50359.586,50036.652,50018.086
"JSDu, surgical_case_durations    missing_entry    0.001",11958.152,9571.912,9634.197,9638.634
"JSDu, surgical_case_durations    missing_entry    0.005",8376.23,8560.12,9033.896,9885.146
"JSDu, surgical_case_durations    missing_entry    0.01",11063.67,9354.641,8883.573,9181.59
"JSDu, surgical_case_durations    missing_entry    0.05",10576.954,9360.082,9552.568,9610.599
"JSDu, surgical_case_durations    missing_entry    0.1",11104.893,11231.194,13215.465,10405.589
"JSDu, surgical_case_durations    missing_entry    0.5",30435.648,30127.016,31246.465,30606.848
"JSDu, surgical_case_durations    missing_entry_combined    0.001",28321.787,28220.562,28049.895,27648.955
"JSDu, surgical_case_durations    missing_entry_combined    0.005",29229.031,29108.979,28831.47,29313.621
"JSDu, surgical_case_durations    missing_entry_combined    0.01",29248.385,29171.756,28775.062,28892.113
"JSDu, surgical_case_durations    missing_entry_combined    0.05",29827.121,29600.621,29992.08,30414.69
"JSDu, surgical_case_durations    missing_entry_combined    0.1",30730.74,31496.865,31336.084,31875.957
"JSDu, surgical_case_durations    missing_entry_combined    0.5",40294.066,39883.305,39633.45,40183.08
"JSD, LBP RA    sigma    0.005",9129.959,9126.055,9057.868,9468.766
"JSD, LBP RA    sigma    0.01",10669.045,10314.29,10364.902,10649.581
"JSD, LBP RA    sigma    0.02",12544.795,12588.094,13018.669,12718.494
"JSD, LBP RA    sigma    0.05",14685.072,15159.721,14746.469,14866.515
"JSD, LBP RA    sigma    0.1",15686.628,15861.532,15410.3955,15503.135
"JSD, LBP RA    sigma    0.2",15527.489,15821.342,15778.482,15954.672
"JSD, LBP RA    missing_entry    0.001",7523.82,7418.6797,7529.825,7572.715
"JSD, LBP RA    missing_entry    0.005",7792.149,7780.8906,7753.108,8066.613
"JSD, LBP RA    missing_entry    0.01",8042.296,7457.8735,7590.6387,8037.827
"JSD, LBP RA    missing_entry    0.05",7588.522,8181.6123,8261.402,8373.307
"JSD, LBP RA    missing_entry    0.1",8423.617,8859.209,8704.011,8586.369
"JSD, LBP RA    missing_entry    0.5",14029.544,14309.105,13619.42,13777.098
"JSD, LBP RA    missing_entry_combined    0.001",12727.211,12455.781,12846.632,13004.783
"JSD, LBP RA    missing_entry_combined    0.005",12638.824,12544.014,12825.003,12932.09
"JSD, LBP RA    missing_entry_combined    0.01",12491.142,12781.812,12579.108,12843.365
"JSD, LBP RA    missing_entry_combined    0.05",12989.886,13312.507,13115.41,12829.684
"JSD, LBP RA    missing_entry_combined    0.1",13011.096,12758.274,13257.929,13329.15
"JSD, LBP RA    missing_entry_combined    0.5",15368.181,15167.515,15333.666,15398.723
"JSDu, LBP RA    sigma    0.005",6704.2095,6345.5513,6584.9287,6726.471
"JSDu, LBP RA    sigma    0.01",8738.704,9081.471,8542.384,8603.246
"JSDu, LBP RA    sigma    0.02",12702.989,12466.403,12729.856,12770.558
"JSDu, LBP RA    sigma    0.05",17395.262,17412.217,17217.88,17361.264
"JSDu, LBP RA    sigma    0.1",18937.826,19106.86,19107.115,19038.748
"JSDu, LBP RA    sigma    0.2",19865.967,19914.37,19765.602,19663.2
"JSDu, LBP RA    missing_entry    0.001",5102.2725,5050.427,4996.357,4943.864
"JSDu, LBP RA    missing_entry    0.005",5127.304,5038.193,5477.6333,5076.918
"JSDu, LBP RA    missing_entry    0.01",5021.928,5002.7954,5075.3525,5142.461
"JSDu, LBP RA    missing_entry    0.05",5266.945,5544.0605,5343.9556,5502.356
"JSDu, LBP RA    missing_entry    0.1",5849.958,5787.64,5817.9775,5833.483
"JSDu, LBP RA    missing_entry    0.5",13647.864,13543.335,13716.617,13490.304
"JSDu, LBP RA    missing_entry_combined    0.001",12776.552,12629.263,12854.727,12735.312
"JSDu, LBP RA    missing_entry_combined    0.005",12742.041,12725.787,12690.805,12562.272
"JSDu, LBP RA    missing_entry_combined    0.01",12779.217,12669.434,12782.629,12806.031
"JSDu, LBP RA    missing_entry_combined    0.05",13217.991,12967.512,13126.96,13223.438
"JSDu, LBP RA    missing_entry_combined    0.1",13426.343,13626.854,13450.597,13593.725
"JSDu, LBP RA    missing_entry_combined    0.5",16659.111,16676.674,16686.057,16647.574
"JSD, surgical_case_durations, SD=4    sigma    0.005",8140.0107,8748.921,7933.36,8005.24
"JSD, surgical_case_durations, SD=4    sigma    0.01",11155.802,10779.325,11873.169,11071.618
"JSD, surgical_case_durations, SD=4    sigma    0.02",15584.831,15300.932,15283.93,15564.594
"JSD, surgical_case_durations, SD=4    sigma    0.05",21007.492,20658.172,20939.715,20740.346
"JSD, surgical_case_durations, SD=4    sigma    0.1",22814.67,23305.08,22796.361,23899.682
"JSD, surgical_case_durations, SD=4    sigma    0.2",24788.617,24569.271,25086.348,25085.488
"JSD, surgical_case_durations, SD=4    missing_entry    0.001",5052.517,5288.6914,5355.293,5233.328
"JSD, surgical_case_durations, SD=4    missing_entry    0.005",6232.442,5420.7964,5848.225,5217.3574
"JSD, surgical_case_durations, SD=4    missing_entry    0.01",5741.5264,5728.585,5648.502,5606.571
"JSD, surgical_case_durations, SD=4    missing_entry    0.05",7199.9204,7126.905,6593.9927,7005.95
"JSD, surgical_case_durations, SD=4    missing_entry    0.1",8150.08,8185.274,7755.4985,7956.8306
"JSD, surgical_case_durations, SD=4    missing_entry    0.5",19006.0,19199.076,19451.424,19663.281
"JSD, surgical_case_durations, SD=4    missing_entry_combined    0.001",15597.959,15549.008,15480.859,15448.4
