"JSDu, surgical_case_durations NO_ADDED_NOISE    sigma    0",8724.567,8461.155
"JSDu, LBP RA NO_ADDED_NOISE    sigma    0",2767.7893,2757.706
"JSDu, surgical_case_durations NO_ADDED_NOISE SD=4    sigma    0",5773.901,5550.901
"JSDu, LBP RA NO_ADDED_NOISE SD=4    sigma    0",2638.135,2747.8115
"JSDu, surgical_case_durations NO_ADDED_NOISE SD=100    sigma    0",8305.648,7684.0244
"JSDu, LBP RA NO_ADDED_NOISE SD=100    sigma    0",2816.1877,2623.101
"Wassersteinu, surgical_case_durations NO_ADDED_NOISE    sigma    0",8213.896,8465.034
"Wassersteinu, LBP RA NO_ADDED_NOISE    sigma    0",2448.5923,2575.6245
"Wassersteinu, surgical_case_durations NO_ADDED_NOISE SD=4    sigma    0",4556.2896,5081.3784
"Wassersteinu, LBP RA NO_ADDED_NOISE SD=4    sigma    0",2047.6045,1697.2655
"Wassersteinu, surgical_case_durations NO_ADDED_NOISE SD=100    sigma    0",7946.193,8671.961
"Wassersteinu, LBP RA NO_ADDED_NOISE SD=100    sigma    0",2855.5747,2573.2095
"JSD, surgical_case_durations    sigma    0.005",41421.67,41860.117
"JSD, surgical_case_durations    sigma    0.01",52228.156,49801.17
"JSD, surgical_case_durations    sigma    0.02",60962.383,58369.867
"JSD, surgical_case_durations    sigma    0.05",55624.84,62275.066
"JSD, surgical_case_durations    sigma    0.1",58534.277,59850.04
"JSD, surgical_case_durations    sigma    0.2",72454.36,67867.98
"JSD, surgical_case_durations    missing_entry    0.001",11727.817,12677.147
"JSD, surgical_case_durations    missing_entry    0.005",12112.479,11439.533
"JSD, surgical_case_durations    missing_entry    0.01",10822.461,11480.5
"JSD, surgical_case_durations    missing_entry    0.05",13149.738,12411.505
"JSD, surgical_case_durations    missing_entry    0.1",14266.973,14719.889
"JSD, surgical_case_durations    missing_entry    0.5",27514.74,25792.158
"JSD, surgical_case_durations    missing_entry_combined    0.001",55628.547,56739.094
"JSD, surgical_case_durations    missing_entry_combined    0.005",55738.152,56196.484
"JSD, surgical_case_durations    missing_entry_combined    0.01",57368.543,59772.902
"JSD, surgical_case_durations    missing_entry_combined    0.05",62799.1,59083.566
"JSD, surgical_case_durations    missing_entry_combined    0.1",62810.7,60209.375
"JSD, surgical_case_durations    missing_entry_combined    0.5",60882.367,63264.92
"JSDu, surgical_case_durations    sigma    0.005",80881.0,80817.445
"JSDu, surgical_case_durations    sigma    0.01",109838.54,111305.71
"JSDu, surgical_case_durations    sigma    0.02",144507.67,144916.1
"JSDu, surgical_case_durations    sigma    0.05",187871.9,187640.62
"JSDu, surgical_case_durations    sigma    0.1",212434.53,213817.9
"JSDu, surgical_case_durations    sigma    0.2",228988.6,229163.45
"JSDu, surgical_case_durations    missing_entry    0.001",8609.012,9152.972
"JSDu, surgical_case_durations    missing_entry    0.005",8794.524,8881.559
"JSDu, surgical_case_durations    missing_entry    0.01",8490.489,9090.58
