"JSDu, surgical_case_durations NO_ADDED_NOISE    sigma    0",170.32689,179.91985,164.98758,162.24892
"JSDu, LBP RA NO_ADDED_NOISE    sigma    0",62.04069,74.02932,64.45335,76.56437
"JSDu, surgical_case_durations NO_ADDED_NOISE SD=4    sigma    0",103.91284,114.77913,134.15387,88.14098
"JSDu, LBP RA NO_ADDED_NOISE SD=4    sigma    0",62.43558,59.23955,72.69351,58.287575
"JSDu, surgical_case_durations NO_ADDED_NOISE SD=100    sigma    0",235.38646,233.92374,236.54828,256.09497
"JSDu, LBP RA NO_ADDED_NOISE SD=100    sigma    0",38.82806,47.71513,57.838005,47.340385
"Wassersteinu, surgical_case_durations NO_ADDED_NOISE    sigma    0",11477.879,12819.854,12526.07,12591.044
"Wassersteinu, LBP RA NO_ADDED_NOISE    sigma    0",7212.5493,6695.014,6603.5195,7154.2295
"Wassersteinu, surgical_case_durations NO_ADDED_NOISE SD=4    sigma    0",781.4339,852.5642,1038.2212,659.0302
"Wassersteinu, LBP RA NO_ADDED_NOISE SD=4    sigma    0",2507.642,2571.7498,2421.3115,2926.526
"Wassersteinu, surgical_case_durations NO_ADDED_NOISE SD=100    sigma    0",15729.346,14457.795,15647.699,16953.336
"Wassersteinu, LBP RA NO_ADDED_NOISE SD=100    sigma    0",10033.871,9361.217,8769.198,9553.66
"JSD, surgical_case_durations    sigma    0.005",3490.9133,3519.7617,3730.876,3571.8818
"JSD, surgical_case_durations    sigma    0.01",5908.1597,6030.5005,6026.9863,6056.786
"JSD, surgical_case_durations    sigma    0.02",10154.093,9943.527,10166.374,10411.986
"JSD, surgical_case_durations    sigma    0.05",16951.938,16829.795,16585.85,17015.643
"JSD, surgical_case_durations    sigma    0.1",22991.1,22766.604,22487.488,23077.13
"JSD, surgical_case_durations    sigma    0.2",28962.172,29124.256,29128.17,28731.455
"JSD, surgical_case_durations    missing_entry    0.001",805.155,1000.24023,967.1084,1194.3923
"JSD, surgical_case_durations    missing_entry    0.005",1110.0845,1033.5626,1318.6847,997.756
"JSD, surgical_case_durations    missing_entry    0.01",1122.5935,1162.5616,1171.6006,1410.52
"JSD, surgical_case_durations    missing_entry    0.05",2827.0059,2590.6917,2693.2,2620.4302
"JSD, surgical_case_durations    missing_entry    0.1",4791.7163,4753.569,4568.743,4759.6035
"JSD, surgical_case_durations    missing_entry    0.5",21108.984,20737.814,20685.867,20050.225
"JSD, surgical_case_durations    missing_entry_combined    0.001",10151.554,10302.6875,10084.794,10362.911
"JSD, surgical_case_durations    missing_entry_combined    0.005",10575.976,10436.941,10219.505,10052.486
"JSD, surgical_case_durations    missing_entry_combined    0.01",10490.958,10224.727,10846.288,10438.272
"JSD, surgical_case_durations    missing_entry_combined    0.05",11625.006,11501.662,11708.323,11791.299
"JSD, surgical_case_durations    missing_entry_combined    0.1",13082.521,13255.98,12908.861,13165.311
