"JSDu, surgical_case_durations NO_ADDED_NOISE    sigma    0",8056.075,8810.071,8724.567,8461.155
"JSDu, LBP RA NO_ADDED_NOISE    sigma    0",2696.5178,2685.8777,2767.7893,2757.706
"JSDu, surgical_case_durations NO_ADDED_NOISE SD=4    sigma    0",5932.5303,5989.228,5773.901,5550.901
"JSDu, LBP RA NO_ADDED_NOISE SD=4    sigma    0",2704.9424,2709.893,2638.135,2747.8115
"JSDu, surgical_case_durations NO_ADDED_NOISE SD=100    sigma    0",7811.764,8255.424,8305.648,7684.0244
"JSDu, LBP RA NO_ADDED_NOISE SD=100    sigma    0",2587.183,2876.3232,2816.1877,2623.101
"Wassersteinu, surgical_case_durations NO_ADDED_NOISE    sigma    0",9147.922,8367.874,8213.896,8465.034
"Wassersteinu, LBP RA NO_ADDED_NOISE    sigma    0",2372.3347,2378.0032,2448.5923,2575.6245
"Wassersteinu, surgical_case_durations NO_ADDED_NOISE SD=4    sigma    0",5184.165,5221.1035,4556.2896,5081.3784
"Wassersteinu, LBP RA NO_ADDED_NOISE SD=4    sigma    0",1910.2683,1925.7163,2047.6045,1697.2655
"Wassersteinu, surgical_case_durations NO_ADDED_NOISE SD=100    sigma    0",8449.946,9347.25,7946.193,8671.961
"Wassersteinu, LBP RA NO_ADDED_NOISE SD=100    sigma    0",2510.709,2168.8147,2855.5747,2573.2095
"JSD, surgical_case_durations    sigma    0.005",41609.465,39679.656,41421.67,41860.117
"JSD, surgical_case_durations    sigma    0.01",51241.03,50592.004,52228.156,49801.17
"JSD, surgical_case_durations    sigma    0.02",56593.156,57122.125,60962.383,58369.867
"JSD, surgical_case_durations    sigma    0.05",61513.87,63499.242,55624.84,62275.066
"JSD, surgical_case_durations    sigma    0.1",65576.266,66714.43,58534.277,59850.04
"JSD, surgical_case_durations    sigma    0.2",60530.36,70819.29,72454.36,67867.98
"JSD, surgical_case_durations    missing_entry    0.001",10673.311,11127.676,11727.817,12677.147
"JSD, surgical_case_durations    missing_entry    0.005",11792.355,12159.126,12112.479,11439.533
"JSD, surgical_case_durations    missing_entry    0.01",11319.263,10970.533,10822.461,11480.5
"JSD, surgical_case_durations    missing_entry    0.05",12915.63,12881.488,13149.738,12411.505
"JSD, surgical_case_durations    missing_entry    0.1",15156.626,14283.017,14266.973,14719.889
"JSD, surgical_case_durations    missing_entry    0.5",25628.266,25557.547,27514.74,25792.158
"JSD, surgical_case_durations    missing_entry_combined    0.001",56891.934,53962.582,55628.547,56739.094
"JSD, surgical_case_durations    missing_entry_combined    0.005",59828.246,58626.348,55738.152,56196.484
"JSD, surgical_case_durations    missing_entry_combined    0.01",60152.543,58539.926,57368.543,59772.902
"JSD, surgical_case_durations    missing_entry_combined    0.05",60568.566,65255.574,62799.1,59083.566
"JSD, surgical_case_durations    missing_entry_combined    0.1",62044.344,61948.656,62810.7,60209.375
"JSD, surgical_case_durations    missing_entry_combined    0.5",59805.25,62733.68,60882.367,63264.92
"JSDu, surgical_case_durations    sigma    0.005",80112.02,78992.76,80881.0,80817.445
"JSDu, surgical_case_durations    sigma    0.01",110481.16,111302.64,109838.54,111305.71
"JSDu, surgical_case_durations    sigma    0.02",145028.75,143305.48,144507.67,144916.1
"JSDu, surgical_case_durations    sigma    0.05",186874.47,187913.11,187871.9,187640.62
"JSDu, surgical_case_durations    sigma    0.1",212874.97,212248.9,212434.53,213817.9
"JSDu, surgical_case_durations    sigma    0.2",229003.23,228567.08,228988.6,229163.45
"JSDu, surgical_case_durations    missing_entry    0.001",8218.109,8607.573,8609.012,9152.972
"JSDu, surgical_case_durations    missing_entry    0.005",9221.507,8853.515,8794.524,8881.559
"JSDu, surgical_case_durations    missing_entry    0.01",9305.452,9219.059,8490.489,9090.58
"JSDu, surgical_case_durations    missing_entry    0.05",10973.732,10399.047,10504.131,10136.479
"JSDu, surgical_case_durations    missing_entry    0.1",13719.251,12775.855,12260.13,12130.771
"JSDu, surgical_case_durations    missing_entry    0.5",31628.645,33301.086,32365.994,32162.943
"JSDu, surgical_case_durations    missing_entry_combined    0.001",143734.92,145373.55,144657.81,144462.95
"JSDu, surgical_case_durations    missing_entry_combined    0.005",144379.28,144945.25,143816.28,145332.42
"JSDu, surgical_case_durations    missing_entry_combined    0.01",144570.95,144653.39,146292.81,145208.5
"JSDu, surgical_case_durations    missing_entry_combined    0.05",148478.69,148953.75,149552.6,149037.03
"JSDu, surgical_case_durations    missing_entry_combined    0.1",153117.28,154254.84,153506.16,153842.92
"JSDu, surgical_case_durations    missing_entry_combined    0.5",192828.44,192881.19,193918.19,194294.14
"JSD, LBP RA    sigma    0.005",13100.505,13359.72,13300.29,12644.05
"JSD, LBP RA    sigma    0.01",17582.145,17333.137,16954.545,17738.783
"JSD, LBP RA    sigma    0.02",21106.725,20846.764,21331.643,20915.389
"JSD, LBP RA    sigma    0.05",23664.064,23686.143,23688.11,24168.11
"JSD, LBP RA    sigma    0.1",25758.62,25837.043,25090.307,25773.373
"JSD, LBP RA    sigma    0.2",25206.818,25872.297,25672.791,24080.562
"JSD, LBP RA    missing_entry    0.001",3621.054,3970.2676,3821.5657,3937.2666
"JSD, LBP RA    missing_entry    0.005",4094.8582,4129.718,3837.9302,3673.007
"JSD, LBP RA    missing_entry    0.01",4094.4175,3944.8987,4120.99,4030.319
"JSD, LBP RA    missing_entry    0.05",5163.418,5346.3247,5114.9995,5166.8057
"JSD, LBP RA    missing_entry    0.1",6542.217,6205.9185,6512.6367,6362.2964
"JSD, LBP RA    missing_entry    0.5",12590.196,13019.385,12292.558,12548.706
"JSD, LBP RA    missing_entry_combined    0.001",21313.66,20210.627,20220.07,20782.264
"JSD, LBP RA    missing_entry_combined    0.005",20914.668,20876.36,20033.584,20297.514
"JSD, LBP RA    missing_entry_combined    0.01",20525.186,21444.068,22271.338,21307.59
"JSD, LBP RA    missing_entry_combined    0.05",21290.752,21072.635,20194.285,21131.357
"JSD, LBP RA    missing_entry_combined    0.1",19993.707,22304.17,20862.672,21053.111
"JSD, LBP RA    missing_entry_combined    0.5",20114.432,21413.0,19637.87,19798.766
"JSDu, LBP RA    sigma    0.005",17981.682,17864.42,18043.205,17989.488
"JSDu, LBP RA    sigma    0.01",30786.807,30747.06,31025.115,30482.365
"JSDu, LBP RA    sigma    0.02",43659.445,44040.926,44211.195,43919.09
"JSDu, LBP RA    sigma    0.05",57261.9,57250.008,57054.1,57395.94
"JSDu, LBP RA    sigma    0.1",60356.3,60134.285,60140.676,60197.316
"JSDu, LBP RA    sigma    0.2",62224.66,61885.79,61800.402,62195.758
"JSDu, LBP RA    missing_entry    0.001",2710.3218,2805.9172,2778.4543,2724.3096
"JSDu, LBP RA    missing_entry    0.005",2932.5735,2824.9634,2871.8054,2840.4155
