"JSDu, surgical_case_durations NO_ADDED_NOISE    sigma    0",65.0,67.0,70.0
"JSDu, LBP RA NO_ADDED_NOISE    sigma    0",62.0,64.0,78.0
"JSDu, surgical_case_durations NO_ADDED_NOISE SD=4    sigma    0",124.0,65.0,55.0
"JSDu, LBP RA NO_ADDED_NOISE SD=4    sigma    0",43.0,0.0,44.0
"JSDu, surgical_case_durations NO_ADDED_NOISE SD=100    sigma    0",152.0,111.0,383.0
"JSDu, LBP RA NO_ADDED_NOISE SD=100    sigma    0",114.0,100.0,89.0
"JSD, surgical_case_durations    sigma    0.005",5303.0,4839.0,5172.0
"JSD, surgical_case_durations    sigma    0.01",7582.0,7052.0,7786.0
"JSD, surgical_case_durations    sigma    0.02",10988.0,11166.0,10797.0
"JSD, surgical_case_durations    sigma    0.05",15958.0,15442.0,15189.0
"JSD, surgical_case_durations    sigma    0.1",18093.0,18249.0,17906.0
"JSD, surgical_case_durations    sigma    0.2",18869.0,19231.0,18786.0
"JSD, surgical_case_durations    missing_entry    0.001",1156.0,1791.0,1551.0
"JSD, surgical_case_durations    missing_entry    0.005",1527.0,1572.0,1932.0
"JSD, surgical_case_durations    missing_entry    0.01",1582.0,1244.0,1818.0
"JSD, surgical_case_durations    missing_entry    0.05",1448.0,1346.0,1283.0
"JSD, surgical_case_durations    missing_entry    0.1",1612.0,1252.0,1530.0
"JSD, surgical_case_durations    missing_entry    0.5",3541.0,3533.0,3512.0
"JSD, surgical_case_durations    missing_entry_combined    0.001",10773.0,10697.0,11021.0
"JSD, surgical_case_durations    missing_entry_combined    0.005",11058.0,11358.0,10487.0
"JSD, surgical_case_durations    missing_entry_combined    0.01",10463.0,9541.0,10875.0
"JSD, surgical_case_durations    missing_entry_combined    0.05",11074.0,10567.0,10431.0
"JSD, surgical_case_durations    missing_entry_combined    0.1",11020.0,10385.0,9675.0
"JSD, surgical_case_durations    missing_entry_combined    0.5",9417.0,10102.0
"JSDu, surgical_case_durations    sigma    0.005",920.0,886.0
"JSDu, surgical_case_durations    sigma    0.01",2677.0,2872.0
"JSDu, surgical_case_durations    sigma    0.02",3404.0,3790.0
"JSDu, surgical_case_durations    sigma    0.05",4967.0,4995.0
"JSDu, surgical_case_durations    sigma    0.1",7042.0,6805.0
"JSDu, surgical_case_durations    sigma    0.2",11533.0,11301.0
"JSDu, surgical_case_durations    missing_entry    0.001",34.0,54.0
"JSDu, surgical_case_durations    missing_entry    0.005",56.0,49.0
"JSDu, surgical_case_durations    missing_entry    0.01",20.0,36.0
"JSDu, surgical_case_durations    missing_entry    0.05",11.0,13.0
"JSDu, surgical_case_durations    missing_entry    0.1",0.0,1.0
"JSDu, surgical_case_durations    missing_entry    0.5",5.0,5.0
"JSDu, surgical_case_durations    missing_entry_combined    0.001",3607.0,3344.0
"JSDu, surgical_case_durations    missing_entry_combined    0.005",3704.0,3416.0
"JSDu, surgical_case_durations    missing_entry_combined    0.01",3554.0,3642.0
"JSDu, surgical_case_durations    missing_entry_combined    0.05",3390.0,3055.0
"JSDu, surgical_case_durations    missing_entry_combined    0.1",2901.0,3184.0
"JSDu, surgical_case_durations    missing_entry_combined    0.5",1384.0,1428.0
"JSD, LBP RA    sigma    0.005",2633.0,3256.0
"JSD, LBP RA    sigma    0.01",5074.0,5622.0
"JSD, LBP RA    sigma    0.02",7601.0,8914.0
"JSD, LBP RA    sigma    0.05",9085.0,9255.0
"JSD, LBP RA    sigma    0.1",5905.0,5872.0
"JSD, LBP RA    sigma    0.2",4050.0,3926.0
"JSD, LBP RA    missing_entry    0.001",641.0,484.0
"JSD, LBP RA    missing_entry    0.005",564.0,872.0
"JSD, LBP RA    missing_entry    0.01",595.0,606.0
"JSD, LBP RA    missing_entry    0.05",663.0,859.0
"JSD, LBP RA    missing_entry    0.1",1330.0,1237.0
"JSD, LBP RA    missing_entry    0.5",3641.0,3217.0
"JSD, LBP RA    missing_entry_combined    0.001",8491.0,7677.0
"JSD, LBP RA    missing_entry_combined    0.005",8177.0,8362.0
"JSD, LBP RA    missing_entry_combined    0.01",7865.0,8196.0
"JSD, LBP RA    missing_entry_combined    0.05",7693.0,7818.0
"JSD, LBP RA    missing_entry_combined    0.1",8077.0,7618.0
"JSD, LBP RA    missing_entry_combined    0.5",6396.0,5980.0
"JSDu, LBP RA    sigma    0.005",231.0,230.0
"JSDu, LBP RA    sigma    0.01",701.0,708.0
"JSDu, LBP RA    sigma    0.02",910.0,937.0
"JSDu, LBP RA    sigma    0.05",3228.0,3265.0
"JSDu, LBP RA    sigma    0.1",3649.0,3611.0
"JSDu, LBP RA    sigma    0.2",3422.0,3347.0
"JSDu, LBP RA    missing_entry    0.001",80.0,69.0
"JSDu, LBP RA    missing_entry    0.005",57.0,60.0
"JSDu, LBP RA    missing_entry    0.01",46.0,54.0
"JSDu, LBP RA    missing_entry    0.05",9.0,17.0
"JSDu, LBP RA    missing_entry    0.1",3.0,9.0
"JSDu, LBP RA    missing_entry    0.5",3.0,7.0
"JSDu, LBP RA    missing_entry_combined    0.001",977.0,950.0
"JSDu, LBP RA    missing_entry_combined    0.005",1032.0,1073.0
"JSDu, LBP RA    missing_entry_combined    0.01",960.0,926.0
"JSDu, LBP RA    missing_entry_combined    0.05",910.0,915.0
"JSDu, LBP RA    missing_entry_combined    0.1",908.0,887.0
"JSDu, LBP RA    missing_entry_combined    0.5",490.0,507.0
"JSD, surgical_case_durations, SD=4    sigma    0.005",5532.0,5498.0
"JSD, surgical_case_durations, SD=4    sigma    0.01",10006.0,9269.0
"JSD, surgical_case_durations, SD=4    sigma    0.02",11804.0,11519.0
"JSD, surgical_case_durations, SD=4    sigma    0.05",11593.0,11026.0
"JSD, surgical_case_durations, SD=4    sigma    0.1",10373.0,10183.0
"JSD, surgical_case_durations, SD=4    sigma    0.2",10072.0,9987.0
"JSD, surgical_case_durations, SD=4    missing_entry    0.001",1422.0,1679.0
"JSD, surgical_case_durations, SD=4    missing_entry    0.005",1547.0,1466.0
"JSD, surgical_case_durations, SD=4    missing_entry    0.01",1627.0,1729.0
"JSD, surgical_case_durations, SD=4    missing_entry    0.05",1773.0,1878.0
"JSD, surgical_case_durations, SD=4    missing_entry    0.1",2683.0,3136.0
"JSD, surgical_case_durations, SD=4    missing_entry    0.5",4833.0,5097.0
"JSD, surgical_case_durations, SD=4    missing_entry_combined    0.001",11376.0,11534.0
"JSD, surgical_case_durations, SD=4    missing_entry_combined    0.005",11669.0,12272.0
"JSD, surgical_case_durations, SD=4    missing_entry_combined    0.01",11517.0,12023.0
"JSD, surgical_case_durations, SD=4    missing_entry_combined    0.05",11446.0,11921.0
"JSD, surgical_case_durations, SD=4    missing_entry_combined    0.1",11018.0,11146.0
"JSD, surgical_case_durations, SD=4    missing_entry_combined    0.5",8075.0,8683.0
"JSDu, surgical_case_durations, SD=4    sigma    0.005",634.0,674.0
"JSDu, surgical_case_durations, SD=4    sigma    0.01",1392.0,1412.0
"JSDu, surgical_case_durations, SD=4    sigma    0.02",2953.0,3135.0
"JSDu, surgical_case_durations, SD=4    sigma    0.05",6509.0,5810.0
"JSDu, surgical_case_durations, SD=4    sigma    0.1",7210.0,7478.0
"JSDu, surgical_case_durations, SD=4    sigma    0.2",8409.0,8129.0
"JSDu, surgical_case_durations, SD=4    missing_entry    0.001",55.0,66.0
"JSDu, surgical_case_durations, SD=4    missing_entry    0.005",65.0,55.0
"JSDu, surgical_case_durations, SD=4    missing_entry    0.01",39.0,67.0
"JSDu, surgical_case_durations, SD=4    missing_entry    0.05",32.0,57.0
"JSDu, surgical_case_durations, SD=4    missing_entry    0.1",22.0,48.0
"JSDu, surgical_case_durations, SD=4    missing_entry    0.5",47.0,44.0
