"JSDu, surgical_case_durations NO_ADDED_NOISE    sigma    0",333.0,307.0,310.0
"JSDu, LBP RA NO_ADDED_NOISE    sigma    0",71.0,68.0,64.0
"JSDu, surgical_case_durations NO_ADDED_NOISE SD=4    sigma    0",96.0,146.0,123.0
"JSDu, LBP RA NO_ADDED_NOISE SD=4    sigma    0",90.0,37.0,72.0
"JSDu, surgical_case_durations NO_ADDED_NOISE SD=100    sigma    0",462.0,546.0,512.0
"JSDu, LBP RA NO_ADDED_NOISE SD=100    sigma    0",530.0,174.0,126.0
"Wassersteinu, surgical_case_durations NO_ADDED_NOISE    sigma    0",17586.0,16631.0,16720.0
"Wassersteinu, LBP RA NO_ADDED_NOISE    sigma    0",9021.0,8659.0,10240.0
"Wassersteinu, surgical_case_durations NO_ADDED_NOISE SD=4    sigma    0",1737.0,1766.0,2238.0
"Wassersteinu, LBP RA NO_ADDED_NOISE SD=4    sigma    0",2731.0,3235.0,4120.0
"Wassersteinu, surgical_case_durations NO_ADDED_NOISE SD=100    sigma    0",25308.0,23262.0,25147.0
"Wassersteinu, LBP RA NO_ADDED_NOISE SD=100    sigma    0",13635.0,12864.0,12310.0
"JSD, surgical_case_durations    sigma    0.005",4453.0,4612.0,4826.0
"JSD, surgical_case_durations    sigma    0.01",6000.0,5657.0,5488.0
"JSD, surgical_case_durations    sigma    0.02",6013.0,6133.0,6673.0
"JSD, surgical_case_durations    sigma    0.05",8617.0,8180.0,8556.0
"JSD, surgical_case_durations    sigma    0.1",7478.0,7354.0,7309.0
"JSD, surgical_case_durations    sigma    0.2",6377.0,6442.0,6644.0
"JSD, surgical_case_durations    missing_entry    0.001",2472.0,1692.0,1740.0
"JSD, surgical_case_durations    missing_entry    0.005",2095.0,2422.0,1712.0
"JSD, surgical_case_durations    missing_entry    0.01",2222.0,1940.0,1773.0
"JSD, surgical_case_durations    missing_entry    0.05",2125.0,1766.0,2103.0
"JSD, surgical_case_durations    missing_entry    0.1",2337.0,2755.0,2651.0
"JSD, surgical_case_durations    missing_entry    0.5",5272.0,5903.0,5926.0
"JSD, surgical_case_durations    missing_entry_combined    0.001",6275.0,6277.0,6142.0
"JSD, surgical_case_durations    missing_entry_combined    0.005",6203.0,6036.0,6061.0
"JSD, surgical_case_durations    missing_entry_combined    0.01",6087.0,6083.0,6174.0
"JSD, surgical_case_durations    missing_entry_combined    0.05",6347.0,6570.0,6407.0
"JSD, surgical_case_durations    missing_entry_combined    0.1",6226.0,5871.0,5677.0
"JSD, surgical_case_durations    missing_entry_combined    0.5",5405.0,5198.0,5342.0
"JSDu, surgical_case_durations    sigma    0.005",1400.0,1465.0,1453.0
"JSDu, surgical_case_durations    sigma    0.01",3448.0,3404.0,3233.0
"JSDu, surgical_case_durations    sigma    0.02",3347.0,3379.0,3722.0
"JSDu, surgical_case_durations    sigma    0.05",4083.0,3947.0,4049.0
"JSDu, surgical_case_durations    sigma    0.1",3854.0,4010.0,4050.0
"JSDu, surgical_case_durations    sigma    0.2",2905.0,2794.0,2853.0
"JSDu, surgical_case_durations    missing_entry    0.001",302.0,290.0,278.0
"JSDu, surgical_case_durations    missing_entry    0.005",260.0,294.0,329.0
"JSDu, surgical_case_durations    missing_entry    0.01",282.0,258.0,241.0
"JSDu, surgical_case_durations    missing_entry    0.05",337.0,231.0,287.0
"JSDu, surgical_case_durations    missing_entry    0.1",259.0,289.0,269.0
"JSDu, surgical_case_durations    missing_entry    0.5",112.0,137.0,118.0
"JSDu, surgical_case_durations    missing_entry_combined    0.001",3533.0,3602.0,3425.0
"JSDu, surgical_case_durations    missing_entry_combined    0.005",3548.0,3369.0,3458.0
"JSDu, surgical_case_durations    missing_entry_combined    0.01",3482.0,3467.0,3783.0
"JSDu, surgical_case_durations    missing_entry_combined    0.05",3237.0,3462.0,3397.0
"JSDu, surgical_case_durations    missing_entry_combined    0.1",3063.0,3380.0,3385.0
"JSDu, surgical_case_durations    missing_entry_combined    0.5",1662.0,1840.0,1983.0
"JSD, LBP RA    sigma    0.005",3556.0,3761.0,3456.0
"JSD, LBP RA    sigma    0.01",5389.0,5041.0,4822.0
"JSD, LBP RA    sigma    0.02",5163.0,5297.0,5686.0
"JSD, LBP RA    sigma    0.05",4603.0,4267.0,4403.0
"JSD, LBP RA    sigma    0.1",3904.0,4065.0,3811.0
"JSD, LBP RA    sigma    0.2",3692.0,3451.0,3449.0
"JSD, LBP RA    missing_entry    0.001",643.0,742.0,915.0
"JSD, LBP RA    missing_entry    0.005",637.0,690.0,685.0
"JSD, LBP RA    missing_entry    0.01",682.0,641.0,783.0
"JSD, LBP RA    missing_entry    0.05",951.0,728.0,1106.0
"JSD, LBP RA    missing_entry    0.1",1376.0,1236.0,1288.0
"JSD, LBP RA    missing_entry    0.5",2153.0,3008.0,2738.0
"JSD, LBP RA    missing_entry_combined    0.001",5401.0,5432.0,5188.0
"JSD, LBP RA    missing_entry_combined    0.005",5115.0,5793.0,5119.0
"JSD, LBP RA    missing_entry_combined    0.01",5226.0,5148.0,5029.0
"JSD, LBP RA    missing_entry_combined    0.05",5171.0,4867.0,5272.0
"JSD, LBP RA    missing_entry_combined    0.1",5027.0,4904.0,5051.0
"JSD, LBP RA    missing_entry_combined    0.5",3499.0,3490.0,3434.0
"JSDu, LBP RA    sigma    0.005",329.0,407.0,382.0
