"JSDu, surgical_case_durations NO_ADDED_NOISE    sigma    0",0
"JSDu, LBP RA NO_ADDED_NOISE    sigma    0",0
"JSDu, surgical_case_durations NO_ADDED_NOISE SD=4    sigma    0",0
"JSDu, LBP RA NO_ADDED_NOISE SD=4    sigma    0",0
"JSDu, surgical_case_durations NO_ADDED_NOISE SD=100    sigma    0",0
"JSDu, LBP RA NO_ADDED_NOISE SD=100    sigma    0",0
"JSD, surgical_case_durations    sigma    0.005",20
"JSD, surgical_case_durations    sigma    0.01",922
"JSD, surgical_case_durations    sigma    0.02",4367
"JSD, surgical_case_durations    sigma    0.05",10730
"JSD, surgical_case_durations    sigma    0.1",17421
"JSD, surgical_case_durations    sigma    0.2",25972
"JSD, surgical_case_durations    missing_entry    0.001",59
"JSD, surgical_case_durations    missing_entry    0.005",267
"JSD, surgical_case_durations    missing_entry    0.01",496
"JSD, surgical_case_durations    missing_entry    0.05",2721
"JSD, surgical_case_durations    missing_entry    0.1",5498
"JSD, surgical_case_durations    missing_entry    0.5",28333
"JSD, surgical_case_durations    missing_entry_combined    0.001",4776
"JSD, surgical_case_durations    missing_entry_combined    0.005",4347
"JSD, surgical_case_durations    missing_entry_combined    0.01",4939
"JSD, surgical_case_durations    missing_entry_combined    0.05",6718
"JSD, surgical_case_durations    missing_entry_combined    0.1",9409
"JSD, surgical_case_durations    missing_entry_combined    0.5",29694
"JSDu, surgical_case_durations    sigma    0.005",31
"JSDu, surgical_case_durations    sigma    0.01",1987
"JSDu, surgical_case_durations    sigma    0.02",10790
"JSDu, surgical_case_durations    sigma    0.05",26776
"JSDu, surgical_case_durations    sigma    0.1",39211
"JSDu, surgical_case_durations    sigma    0.2",51454
"JSDu, surgical_case_durations    missing_entry    0.001",57
"JSDu, surgical_case_durations    missing_entry    0.005",277
"JSDu, surgical_case_durations    missing_entry    0.01",548
"JSDu, surgical_case_durations    missing_entry    0.05",2744
"JSDu, surgical_case_durations    missing_entry    0.1",6118
"JSDu, surgical_case_durations    missing_entry    0.5",33734
"JSDu, surgical_case_durations    missing_entry_combined    0.001",10861
"JSDu, surgical_case_durations    missing_entry_combined    0.005",10709
"JSDu, surgical_case_durations    missing_entry_combined    0.01",10545
"JSDu, surgical_case_durations    missing_entry_combined    0.05",12936
"JSDu, surgical_case_durations    missing_entry_combined    0.1",15851
"JSDu, surgical_case_durations    missing_entry_combined    0.5",40772
"JSD, LBP RA    sigma    0.005",20
"JSD, LBP RA    sigma    0.01",694
"JSD, LBP RA    sigma    0.02",3234
"JSD, LBP RA    sigma    0.05",10069
"JSD, LBP RA    sigma    0.1",17464
"JSD, LBP RA    sigma    0.2",21048
"JSD, LBP RA    missing_entry    0.001",19
"JSD, LBP RA    missing_entry    0.005",116
"JSD, LBP RA    missing_entry    0.01",251
"JSD, LBP RA    missing_entry    0.05",1134
"JSD, LBP RA    missing_entry    0.1",2443
"JSD, LBP RA    missing_entry    0.5",12942
"JSD, LBP RA    missing_entry_combined    0.001",3195
"JSD, LBP RA    missing_entry_combined    0.005",3349
"JSD, LBP RA    missing_entry_combined    0.01",3447
"JSD, LBP RA    missing_entry_combined    0.05",4136
"JSD, LBP RA    missing_entry_combined    0.1",5275
"JSD, LBP RA    missing_entry_combined    0.5",14669
"JSDu, LBP RA    sigma    0.005",13
"JSDu, LBP RA    sigma    0.01",821
"JSDu, LBP RA    sigma    0.02",4572
"JSDu, LBP RA    sigma    0.05",14676
"JSDu, LBP RA    sigma    0.1",23554
"JSDu, LBP RA    sigma    0.2",28235
"JSDu, LBP RA    missing_entry    0.001",27
"JSDu, LBP RA    missing_entry    0.005",100
"JSDu, LBP RA    missing_entry    0.01",206
"JSDu, LBP RA    missing_entry    0.05",1151
"JSDu, LBP RA    missing_entry    0.1",2523
"JSDu, LBP RA    missing_entry    0.5",15100
"JSDu, LBP RA    missing_entry_combined    0.001",4608
"JSDu, LBP RA    missing_entry_combined    0.005",4551
"JSDu, LBP RA    missing_entry_combined    0.01",4608
"JSDu, LBP RA    missing_entry_combined    0.05",5377
"JSDu, LBP RA    missing_entry_combined    0.1",6648
"JSDu, LBP RA    missing_entry_combined    0.5",17641
"JSD, surgical_case_durations, SD=4    sigma    0.005",25
"JSD, surgical_case_durations, SD=4    sigma    0.01",977
"JSD, surgical_case_durations, SD=4    sigma    0.02",6231
"JSD, surgical_case_durations, SD=4    sigma    0.05",14265
"JSD, surgical_case_durations, SD=4    sigma    0.1",20248
"JSD, surgical_case_durations, SD=4    sigma    0.2",24190
"JSD, surgical_case_durations, SD=4    missing_entry    0.001",29
"JSD, surgical_case_durations, SD=4    missing_entry    0.005",141
"JSD, surgical_case_durations, SD=4    missing_entry    0.01",331
"JSD, surgical_case_durations, SD=4    missing_entry    0.05",1780
"JSD, surgical_case_durations, SD=4    missing_entry    0.1",3466
"JSD, surgical_case_durations, SD=4    missing_entry    0.5",19084
"JSD, surgical_case_durations, SD=4    missing_entry_combined    0.001",6153
"JSD, surgical_case_durations, SD=4    missing_entry_combined    0.005",6233
"JSD, surgical_case_durations, SD=4    missing_entry_combined    0.01",6500
"JSD, surgical_case_durations, SD=4    missing_entry_combined    0.05",7792
"JSD, surgical_case_durations, SD=4    missing_entry_combined    0.1",9050
"JSD, surgical_case_durations, SD=4    missing_entry_combined    0.5",21992
"JSDu, surgical_case_durations, SD=4    sigma    0.005",20
"JSDu, surgical_case_durations, SD=4    sigma    0.01",1152
"JSDu, surgical_case_durations, SD=4    sigma    0.02",8898
"JSDu, surgical_case_durations, SD=4    sigma    0.05",31484
"JSDu, surgical_case_durations, SD=4    sigma    0.1",46379
"JSDu, surgical_case_durations, SD=4    sigma    0.2",55776
"JSDu, surgical_case_durations, SD=4    missing_entry    0.001",36
"JSDu, surgical_case_durations, SD=4    missing_entry    0.005",182
"JSDu, surgical_case_durations, SD=4    missing_entry    0.01",354
"JSDu, surgical_case_durations, SD=4    missing_entry    0.05",1835
"JSDu, surgical_case_durations, SD=4    missing_entry    0.1",3945
"JSDu, surgical_case_durations, SD=4    missing_entry    0.5",27422
"JSDu, surgical_case_durations, SD=4    missing_entry_combined    0.001",8367
"JSDu, surgical_case_durations, SD=4    missing_entry_combined    0.005",9564
"JSDu, surgical_case_durations, SD=4    missing_entry_combined    0.01",9305
"JSDu, surgical_case_durations, SD=4    missing_entry_combined    0.05",10611
