"JSDu, surgical_case_durations NO_ADDED_NOISE    sigma    0",109060
"JSDu, LBP RA NO_ADDED_NOISE    sigma    0",46457
"JSDu, surgical_case_durations NO_ADDED_NOISE SD=4    sigma    0",117438
"JSDu, LBP RA NO_ADDED_NOISE SD=4    sigma    0",48424
"JSDu, surgical_case_durations NO_ADDED_NOISE SD=100    sigma    0",104656
"JSDu, LBP RA NO_ADDED_NOISE SD=100    sigma    0",44094
"JSD, surgical_case_durations    sigma    0.005",95915
"JSD, surgical_case_durations    sigma    0.01",87967
"JSD, surgical_case_durations    sigma    0.02",72472
"JSD, surgical_case_durations    sigma    0.05",54337
"JSD, surgical_case_durations    sigma    0.1",46705
"JSD, surgical_case_durations    sigma    0.2",42975
"JSD, surgical_case_durations    missing_entry    0.001",99599
"JSD, surgical_case_durations    missing_entry    0.005",99092
"JSD, surgical_case_durations    missing_entry    0.01",99274
"JSD, surgical_case_durations    missing_entry    0.05",98953
"JSD, surgical_case_durations    missing_entry    0.1",95302
"JSD, surgical_case_durations    missing_entry    0.5",64000
"JSD, surgical_case_durations    missing_entry_combined    0.001",71370
"JSD, surgical_case_durations    missing_entry_combined    0.005",71403
"JSD, surgical_case_durations    missing_entry_combined    0.01",71080
"JSD, surgical_case_durations    missing_entry_combined    0.05",71136
"JSD, surgical_case_durations    missing_entry_combined    0.1",69514
"JSD, surgical_case_durations    missing_entry_combined    0.5",57432
"JSDu, surgical_case_durations    sigma    0.005",110228
"JSDu, surgical_case_durations    sigma    0.01",105887
"JSDu, surgical_case_durations    sigma    0.02",83101
"JSDu, surgical_case_durations    sigma    0.05",53768
"JSDu, surgical_case_durations    sigma    0.1",39853
"JSDu, surgical_case_durations    sigma    0.2",33856
"JSDu, surgical_case_durations    missing_entry    0.001",107941
"JSDu, surgical_case_durations    missing_entry    0.005",107551
"JSDu, surgical_case_durations    missing_entry    0.01",108385
"JSDu, surgical_case_durations    missing_entry    0.05",107048
"JSDu, surgical_case_durations    missing_entry    0.1",105142
"JSDu, surgical_case_durations    missing_entry    0.5",72539
"JSDu, surgical_case_durations    missing_entry_combined    0.001",84735
"JSDu, surgical_case_durations    missing_entry_combined    0.005",81640
"JSDu, surgical_case_durations    missing_entry_combined    0.01",81974
"JSDu, surgical_case_durations    missing_entry_combined    0.05",79127
"JSDu, surgical_case_durations    missing_entry_combined    0.1",75636
"JSDu, surgical_case_durations    missing_entry_combined    0.5",55958
"JSD, LBP RA    sigma    0.005",38406
"JSD, LBP RA    sigma    0.01",35050
"JSD, LBP RA    sigma    0.02",28534
"JSD, LBP RA    sigma    0.05",19517
"JSD, LBP RA    sigma    0.1",14742
"JSD, LBP RA    sigma    0.2",13339
"JSD, LBP RA    missing_entry    0.001",41634
"JSD, LBP RA    missing_entry    0.005",40838
"JSD, LBP RA    missing_entry    0.01",40858
"JSD, LBP RA    missing_entry    0.05",39721
"JSD, LBP RA    missing_entry    0.1",38520
"JSD, LBP RA    missing_entry    0.5",24905
"JSD, LBP RA    missing_entry_combined    0.001",28006
"JSD, LBP RA    missing_entry_combined    0.005",28366
"JSD, LBP RA    missing_entry_combined    0.01",28305
"JSD, LBP RA    missing_entry_combined    0.05",28028
"JSD, LBP RA    missing_entry_combined    0.1",26972
"JSD, LBP RA    missing_entry_combined    0.5",20566
"JSDu, LBP RA    sigma    0.005",45250
"JSDu, LBP RA    sigma    0.01",42181
"JSDu, LBP RA    sigma    0.02",33647
"JSDu, LBP RA    sigma    0.05",21587
"JSDu, LBP RA    sigma    0.1",15363
"JSDu, LBP RA    sigma    0.2",13377
"JSDu, LBP RA    missing_entry    0.001",46648
"JSDu, LBP RA    missing_entry    0.005",46378
"JSDu, LBP RA    missing_entry    0.01",46192
"JSDu, LBP RA    missing_entry    0.05",45053
"JSDu, LBP RA    missing_entry    0.1",43932
