"JSDu, surgical_case_durations NO_ADDED_NOISE    sigma    0",0
"JSDu, LBP RA NO_ADDED_NOISE    sigma    0",0
"JSDu, surgical_case_durations NO_ADDED_NOISE SD=4    sigma    0",0
"JSDu, LBP RA NO_ADDED_NOISE SD=4    sigma    0",0
"JSDu, surgical_case_durations NO_ADDED_NOISE SD=100    sigma    0",0
"JSDu, LBP RA NO_ADDED_NOISE SD=100    sigma    0",0
"JSD, surgical_case_durations    sigma    0.005",5442
"JSD, surgical_case_durations    sigma    0.01",8948
"JSD, surgical_case_durations    sigma    0.02",16762
"JSD, surgical_case_durations    sigma    0.05",24965
"JSD, surgical_case_durations    sigma    0.1",34380
"JSD, surgical_case_durations    sigma    0.2",41684
"JSD, surgical_case_durations    missing_entry    0.001",52
"JSD, surgical_case_durations    missing_entry    0.005",284
"JSD, surgical_case_durations    missing_entry    0.01",509
"JSD, surgical_case_durations    missing_entry    0.05",2578
"JSD, surgical_case_durations    missing_entry    0.1",5112
"JSD, surgical_case_durations    missing_entry    0.5",26604
"JSD, surgical_case_durations    missing_entry_combined    0.001",16747
"JSD, surgical_case_durations    missing_entry_combined    0.005",16232
"JSD, surgical_case_durations    missing_entry_combined    0.01",18254
"JSD, surgical_case_durations    missing_entry_combined    0.05",18679
"JSD, surgical_case_durations    missing_entry_combined    0.1",20498
"JSD, surgical_case_durations    missing_entry_combined    0.5",36907
"JSDu, surgical_case_durations    sigma    0.005",22821
"JSDu, surgical_case_durations    sigma    0.01",31114
"JSDu, surgical_case_durations    sigma    0.02",43448
"JSDu, surgical_case_durations    sigma    0.05",59111
"JSDu, surgical_case_durations    sigma    0.1",70153
"JSDu, surgical_case_durations    sigma    0.2",76125
"JSDu, surgical_case_durations    missing_entry    0.001",47
"JSDu, surgical_case_durations    missing_entry    0.005",285
"JSDu, surgical_case_durations    missing_entry    0.01",541
"JSDu, surgical_case_durations    missing_entry    0.05",2548
"JSDu, surgical_case_durations    missing_entry    0.1",5270
"JSDu, surgical_case_durations    missing_entry    0.5",27807
"JSDu, surgical_case_durations    missing_entry_combined    0.001",43530
"JSDu, surgical_case_durations    missing_entry_combined    0.005",43864
"JSDu, surgical_case_durations    missing_entry_combined    0.01",44180
"JSDu, surgical_case_durations    missing_entry_combined    0.05",44987
"JSDu, surgical_case_durations    missing_entry_combined    0.1",46075
"JSDu, surgical_case_durations    missing_entry_combined    0.5",56544
"JSD, LBP RA    sigma    0.005",1322
"JSD, LBP RA    sigma    0.01",4451
"JSD, LBP RA    sigma    0.02",9506
"JSD, LBP RA    sigma    0.05",18127
"JSD, LBP RA    sigma    0.1",21654
"JSD, LBP RA    sigma    0.2",22832
"JSD, LBP RA    missing_entry    0.001",24
"JSD, LBP RA    missing_entry    0.005",144
"JSD, LBP RA    missing_entry    0.01",258
"JSD, LBP RA    missing_entry    0.05",1280
"JSD, LBP RA    missing_entry    0.1",2650
"JSD, LBP RA    missing_entry    0.5",12971
"JSD, LBP RA    missing_entry_combined    0.001",9635
"JSD, LBP RA    missing_entry_combined    0.005",9702
"JSD, LBP RA    missing_entry_combined    0.01",9892
"JSD, LBP RA    missing_entry_combined    0.05",10534
"JSD, LBP RA    missing_entry_combined    0.1",11680
"JSD, LBP RA    missing_entry_combined    0.5",19529
"JSDu, LBP RA    sigma    0.005",2478
"JSDu, LBP RA    sigma    0.01",11121
"JSDu, LBP RA    sigma    0.02",22058
"JSDu, LBP RA    sigma    0.05",31351
"JSDu, LBP RA    sigma    0.1",34193
"JSDu, LBP RA    sigma    0.2",35516
"JSDu, LBP RA    missing_entry    0.001",23
"JSDu, LBP RA    missing_entry    0.005",125
"JSDu, LBP RA    missing_entry    0.01",279
"JSDu, LBP RA    missing_entry    0.05",1400
"JSDu, LBP RA    missing_entry    0.1",2703
"JSDu, LBP RA    missing_entry    0.5",14440
"JSDu, LBP RA    missing_entry_combined    0.001",22016
"JSDu, LBP RA    missing_entry_combined    0.005",21765
"JSDu, LBP RA    missing_entry_combined    0.01",22308
"JSDu, LBP RA    missing_entry_combined    0.05",22870
"JSDu, LBP RA    missing_entry_combined    0.1",23588
"JSDu, LBP RA    missing_entry_combined    0.5",27620
"JSD, surgical_case_durations, SD=4    sigma    0.005",128
"JSD, surgical_case_durations, SD=4    sigma    0.01",2244
"JSD, surgical_case_durations, SD=4    sigma    0.02",7232
"JSD, surgical_case_durations, SD=4    sigma    0.05",15159
"JSD, surgical_case_durations, SD=4    sigma    0.1",20538
"JSD, surgical_case_durations, SD=4    sigma    0.2",24166
"JSD, surgical_case_durations, SD=4    missing_entry    0.001",34
"JSD, surgical_case_durations, SD=4    missing_entry    0.005",153
"JSD, surgical_case_durations, SD=4    missing_entry    0.01",322
"JSD, surgical_case_durations, SD=4    missing_entry    0.05",1637
"JSD, surgical_case_durations, SD=4    missing_entry    0.1",3297
"JSD, surgical_case_durations, SD=4    missing_entry    0.5",17917
"JSD, surgical_case_durations, SD=4    missing_entry_combined    0.001",7617
"JSD, surgical_case_durations, SD=4    missing_entry_combined    0.005",7937
"JSD, surgical_case_durations, SD=4    missing_entry_combined    0.01",8152
"JSD, surgical_case_durations, SD=4    missing_entry_combined    0.05",8867
"JSD, surgical_case_durations, SD=4    missing_entry_combined    0.1",10453
"JSD, surgical_case_durations, SD=4    missing_entry_combined    0.5",22533
"JSDu, surgical_case_durations, SD=4    sigma    0.005",432
"JSDu, surgical_case_durations, SD=4    sigma    0.01",6649
"JSDu, surgical_case_durations, SD=4    sigma    0.02",25245
"JSDu, surgical_case_durations, SD=4    sigma    0.05",48550
"JSDu, surgical_case_durations, SD=4    sigma    0.1",63069
"JSDu, surgical_case_durations, SD=4    sigma    0.2",70624
"JSDu, surgical_case_durations, SD=4    missing_entry    0.001",32
"JSDu, surgical_case_durations, SD=4    missing_entry    0.005",188
"JSDu, surgical_case_durations, SD=4    missing_entry    0.01",361
"JSDu, surgical_case_durations, SD=4    missing_entry    0.05",1872
"JSDu, surgical_case_durations, SD=4    missing_entry    0.1",3721
"JSDu, surgical_case_durations, SD=4    missing_entry    0.5",20135
"JSDu, surgical_case_durations, SD=4    missing_entry_combined    0.001",25604
"JSDu, surgical_case_durations, SD=4    missing_entry_combined    0.005",25665
"JSDu, surgical_case_durations, SD=4    missing_entry_combined    0.01",25721
"JSDu, surgical_case_durations, SD=4    missing_entry_combined    0.05",27445
