"JSDu, surgical_case_durations NO_ADDED_NOISE    sigma    0",272
"JSDu, LBP RA NO_ADDED_NOISE    sigma    0",90
"JSDu, surgical_case_durations NO_ADDED_NOISE SD=4    sigma    0",116
"JSDu, LBP RA NO_ADDED_NOISE SD=4    sigma    0",67
"JSDu, surgical_case_durations NO_ADDED_NOISE SD=100    sigma    0",531
"JSDu, LBP RA NO_ADDED_NOISE SD=100    sigma    0",211
"JSD, surgical_case_durations    sigma    0.005",4612
"JSD, surgical_case_durations    sigma    0.01",6130
"JSD, surgical_case_durations    sigma    0.02",6306
"JSD, surgical_case_durations    sigma    0.05",8047
"JSD, surgical_case_durations    sigma    0.1",7373
"JSD, surgical_case_durations    sigma    0.2",6436
"JSD, surgical_case_durations    missing_entry    0.001",2536
"JSD, surgical_case_durations    missing_entry    0.005",1662
"JSD, surgical_case_durations    missing_entry    0.01",2325
"JSD, surgical_case_durations    missing_entry    0.05",2023
"JSD, surgical_case_durations    missing_entry    0.1",2932
"JSD, surgical_case_durations    missing_entry    0.5",4817
"JSD, surgical_case_durations    missing_entry_combined    0.001",6343
"JSD, surgical_case_durations    missing_entry_combined    0.005",6140
"JSD, surgical_case_durations    missing_entry_combined    0.01",5789
"JSD, surgical_case_durations    missing_entry_combined    0.05",6383
"JSD, surgical_case_durations    missing_entry_combined    0.1",6423
"JSD, surgical_case_durations    missing_entry_combined    0.5",5323
"JSDu, surgical_case_durations    sigma    0.005",1399
"JSDu, surgical_case_durations    sigma    0.01",3422
"JSDu, surgical_case_durations    sigma    0.02",3555
"JSDu, surgical_case_durations    sigma    0.05",3985
"JSDu, surgical_case_durations    sigma    0.1",3917
"JSDu, surgical_case_durations    sigma    0.2",2861
"JSDu, surgical_case_durations    missing_entry    0.001",316
"JSDu, surgical_case_durations    missing_entry    0.005",308
"JSDu, surgical_case_durations    missing_entry    0.01",305
"JSDu, surgical_case_durations    missing_entry    0.05",282
"JSDu, surgical_case_durations    missing_entry    0.1",230
"JSDu, surgical_case_durations    missing_entry    0.5",131
"JSDu, surgical_case_durations    missing_entry_combined    0.001",3551
"JSDu, surgical_case_durations    missing_entry_combined    0.005",3812
"JSDu, surgical_case_durations    missing_entry_combined    0.01",3627
"JSDu, surgical_case_durations    missing_entry_combined    0.05",3388
"JSDu, surgical_case_durations    missing_entry_combined    0.1",3264
"JSDu, surgical_case_durations    missing_entry_combined    0.5",1887
"JSD, LBP RA    sigma    0.005",3195
"JSD, LBP RA    sigma    0.01",4848
"JSD, LBP RA    sigma    0.02",4918
"JSD, LBP RA    sigma    0.05",4464
"JSD, LBP RA    sigma    0.1",3825
"JSD, LBP RA    sigma    0.2",3564
"JSD, LBP RA    missing_entry    0.001",655
