"JSDu, surgical_case_durations NO_ADDED_NOISE    sigma    0",120242
"JSDu, LBP RA NO_ADDED_NOISE    sigma    0",52802
"JSDu, surgical_case_durations NO_ADDED_NOISE SD=4    sigma    0",120398
"JSDu, LBP RA NO_ADDED_NOISE SD=4    sigma    0",52825
"JSDu, surgical_case_durations NO_ADDED_NOISE SD=100    sigma    0",119983
"JSDu, LBP RA NO_ADDED_NOISE SD=100    sigma    0",52681
"JSD, surgical_case_durations    sigma    0.005",88181
"JSD, surgical_case_durations    sigma    0.01",78458
"JSD, surgical_case_durations    sigma    0.02",61123
"JSD, surgical_case_durations    sigma    0.05",38604
"JSD, surgical_case_durations    sigma    0.1",25499
"JSD, surgical_case_durations    sigma    0.2",19815
"JSD, surgical_case_durations    missing_entry    0.001",117852
"JSD, surgical_case_durations    missing_entry    0.005",118226
"JSD, surgical_case_durations    missing_entry    0.01",117006
"JSD, surgical_case_durations    missing_entry    0.05",112432
"JSD, surgical_case_durations    missing_entry    0.1",105501
"JSD, surgical_case_durations    missing_entry    0.5",55459
"JSD, surgical_case_durations    missing_entry_combined    0.001",61292
"JSD, surgical_case_durations    missing_entry_combined    0.005",60786
"JSD, surgical_case_durations    missing_entry_combined    0.01",60970
"JSD, surgical_case_durations    missing_entry_combined    0.05",57902
"JSD, surgical_case_durations    missing_entry_combined    0.1",54351
"JSD, surgical_case_durations    missing_entry_combined    0.5",28252
"JSDu, surgical_case_durations    sigma    0.005",91358
"JSDu, surgical_case_durations    sigma    0.01",81451
"JSDu, surgical_case_durations    sigma    0.02",63902
"JSDu, surgical_case_durations    sigma    0.05",42748
"JSDu, surgical_case_durations    sigma    0.1",28961
"JSDu, surgical_case_durations    sigma    0.2",23321
"JSDu, surgical_case_durations    missing_entry    0.001",120081
"JSDu, surgical_case_durations    missing_entry    0.005",119614
"JSDu, surgical_case_durations    missing_entry    0.01",118996
"JSDu, surgical_case_durations    missing_entry    0.05",114250
"JSDu, surgical_case_durations    missing_entry    0.1",108264
"JSDu, surgical_case_durations    missing_entry    0.5",60138
"JSDu, surgical_case_durations    missing_entry_combined    0.001",63972
"JSDu, surgical_case_durations    missing_entry_combined    0.005",63539
"JSDu, surgical_case_durations    missing_entry_combined    0.01",63055
"JSDu, surgical_case_durations    missing_entry_combined    0.05",60749
"JSDu, surgical_case_durations    missing_entry_combined    0.1",57480
"JSDu, surgical_case_durations    missing_entry_combined    0.5",31935
"JSD, LBP RA    sigma    0.005",37289
"JSD, LBP RA    sigma    0.01",28103
"JSD, LBP RA    sigma    0.02",18770
"JSD, LBP RA    sigma    0.05",10072
"JSD, LBP RA    sigma    0.1",7705
"JSD, LBP RA    sigma    0.2",6661
"JSD, LBP RA    missing_entry    0.001",52187
"JSD, LBP RA    missing_entry    0.005",52118
"JSD, LBP RA    missing_entry    0.01",51693
"JSD, LBP RA    missing_entry    0.05",49235
"JSD, LBP RA    missing_entry    0.1",46688
"JSD, LBP RA    missing_entry    0.5",23290
"JSD, LBP RA    missing_entry_combined    0.001",18551
"JSD, LBP RA    missing_entry_combined    0.005",18152
"JSD, LBP RA    missing_entry_combined    0.01",18257
"JSD, LBP RA    missing_entry_combined    0.05",17010
"JSD, LBP RA    missing_entry_combined    0.1",16491
"JSD, LBP RA    missing_entry_combined    0.5",7925
"JSDu, LBP RA    sigma    0.005",40071
"JSDu, LBP RA    sigma    0.01",31956
"JSDu, LBP RA    sigma    0.02",22170
"JSDu, LBP RA    sigma    0.05",12995
"JSDu, LBP RA    sigma    0.1",10065
"JSDu, LBP RA    sigma    0.2",8904
"JSDu, LBP RA    missing_entry    0.001",52760
"JSDu, LBP RA    missing_entry    0.005",52536
"JSDu, LBP RA    missing_entry    0.01",52276
"JSDu, LBP RA    missing_entry    0.05",50155
"JSDu, LBP RA    missing_entry    0.1",47502
"JSDu, LBP RA    missing_entry    0.5",26380
"JSDu, LBP RA    missing_entry_combined    0.001",22213
"JSDu, LBP RA    missing_entry_combined    0.005",22103
"JSDu, LBP RA    missing_entry_combined    0.01",21754
"JSDu, LBP RA    missing_entry_combined    0.05",20848
"JSDu, LBP RA    missing_entry_combined    0.1",19689
"JSDu, LBP RA    missing_entry_combined    0.5",11295
"JSD, surgical_case_durations, SD=4    sigma    0.005",112214
"JSD, surgical_case_durations, SD=4    sigma    0.01",96485
"JSD, surgical_case_durations, SD=4    sigma    0.02",72017
"JSD, surgical_case_durations, SD=4    sigma    0.05",44914
"JSD, surgical_case_durations, SD=4    sigma    0.1",29313
"JSD, surgical_case_durations, SD=4    sigma    0.2",21927
"JSD, surgical_case_durations, SD=4    missing_entry    0.001",119243
"JSD, surgical_case_durations, SD=4    missing_entry    0.005",118674
"JSD, surgical_case_durations, SD=4    missing_entry    0.01",117972
"JSD, surgical_case_durations, SD=4    missing_entry    0.05",112901
"JSD, surgical_case_durations, SD=4    missing_entry    0.1",105982
"JSD, surgical_case_durations, SD=4    missing_entry    0.5",54768
"JSD, surgical_case_durations, SD=4    missing_entry_combined    0.001",72115
"JSD, surgical_case_durations, SD=4    missing_entry_combined    0.005",71525
"JSD, surgical_case_durations, SD=4    missing_entry_combined    0.01",71467
"JSD, surgical_case_durations, SD=4    missing_entry_combined    0.05",68548
"JSD, surgical_case_durations, SD=4    missing_entry_combined    0.1",63625
"JSD, surgical_case_durations, SD=4    missing_entry_combined    0.5",33606
"JSDu, surgical_case_durations, SD=4    sigma    0.005",116303
"JSDu, surgical_case_durations, SD=4    sigma    0.01",102322
"JSDu, surgical_case_durations, SD=4    sigma    0.02",78585
"JSDu, surgical_case_durations, SD=4    sigma    0.05",51392
"JSDu, surgical_case_durations, SD=4    sigma    0.1",34958
"JSDu, surgical_case_durations, SD=4    sigma    0.2",27955
"JSDu, surgical_case_durations, SD=4    missing_entry    0.001",120235
"JSDu, surgical_case_durations, SD=4    missing_entry    0.005",119817
"JSDu, surgical_case_durations, SD=4    missing_entry    0.01",119228
"JSDu, surgical_case_durations, SD=4    missing_entry    0.05",114333
"JSDu, surgical_case_durations, SD=4    missing_entry    0.1",108292
"JSDu, surgical_case_durations, SD=4    missing_entry    0.5",60144
"JSDu, surgical_case_durations, SD=4    missing_entry_combined    0.001",78557
"JSDu, surgical_case_durations, SD=4    missing_entry_combined    0.005",78021
"JSDu, surgical_case_durations, SD=4    missing_entry_combined    0.01",77976
"JSDu, surgical_case_durations, SD=4    missing_entry_combined    0.05",74187
"JSDu, surgical_case_durations, SD=4    missing_entry_combined    0.1",70832
"JSDu, surgical_case_durations, SD=4    missing_entry_combined    0.5",39284
"JSD, LBP RA, SD=4    sigma    0.005",46794
"JSD, LBP RA, SD=4    sigma    0.01",37134
"JSD, LBP RA, SD=4    sigma    0.02",24085
"JSD, LBP RA, SD=4    sigma    0.05",13257
"JSD, LBP RA, SD=4    sigma    0.1",9936
"JSD, LBP RA, SD=4    sigma    0.2",8327
"JSD, LBP RA, SD=4    missing_entry    0.001",52343
"JSD, LBP RA, SD=4    missing_entry    0.005",51832
"JSD, LBP RA, SD=4    missing_entry    0.01",51664
"JSD, LBP RA, SD=4    missing_entry    0.05",49447
"JSD, LBP RA, SD=4    missing_entry    0.1",46585
"JSD, LBP RA, SD=4    missing_entry    0.5",23777
"JSD, LBP RA, SD=4    missing_entry_combined    0.001",24153
"JSD, LBP RA, SD=4    missing_entry_combined    0.005",24353
"JSD, LBP RA, SD=4    missing_entry_combined    0.01",24145
"JSD, LBP RA, SD=4    missing_entry_combined    0.05",22684
"JSD, LBP RA, SD=4    missing_entry_combined    0.1",22003
"JSD, LBP RA, SD=4    missing_entry_combined    0.5",11296
"JSDu, LBP RA, SD=4    sigma    0.005",50344
"JSDu, LBP RA, SD=4    sigma    0.01",42355
"JSDu, LBP RA, SD=4    sigma    0.02",30074
"JSDu, LBP RA, SD=4    sigma    0.05",17816
