"JSDu, surgical_case_durations NO_ADDED_NOISE    sigma    0",0
"JSDu, LBP RA NO_ADDED_NOISE    sigma    0",0
"JSDu, surgical_case_durations NO_ADDED_NOISE SD=4    sigma    0",0
"JSDu, LBP RA NO_ADDED_NOISE SD=4    sigma    0",0
"JSDu, surgical_case_durations NO_ADDED_NOISE SD=100    sigma    0",0
"JSDu, LBP RA NO_ADDED_NOISE SD=100    sigma    0",0
"JSD, surgical_case_durations    sigma    0.005",22279
"JSD, surgical_case_durations    sigma    0.01",26978
"JSD, surgical_case_durations    sigma    0.02",36323
"JSD, surgical_case_durations    sigma    0.05",48898
"JSD, surgical_case_durations    sigma    0.1",53262
"JSD, surgical_case_durations    sigma    0.2",52579
"JSD, surgical_case_durations    missing_entry    0.001",74
"JSD, surgical_case_durations    missing_entry    0.005",342
"JSD, surgical_case_durations    missing_entry    0.01",674
"JSD, surgical_case_durations    missing_entry    0.05",3481
"JSD, surgical_case_durations    missing_entry    0.1",6969
"JSD, surgical_case_durations    missing_entry    0.5",33634
"JSD, surgical_case_durations    missing_entry_combined    0.001",36132
"JSD, surgical_case_durations    missing_entry_combined    0.005",37356
"JSD, surgical_case_durations    missing_entry_combined    0.01",35501
"JSD, surgical_case_durations    missing_entry_combined    0.05",37550
"JSD, surgical_case_durations    missing_entry_combined    0.1",39242
"JSD, surgical_case_durations    missing_entry_combined    0.5",50032
"JSDu, surgical_case_durations    sigma    0.005",4936
"JSDu, surgical_case_durations    sigma    0.01",4527
"JSDu, surgical_case_durations    sigma    0.02",9609
"JSDu, surgical_case_durations    sigma    0.05",14670
"JSDu, surgical_case_durations    sigma    0.1",17483
"JSDu, surgical_case_durations    sigma    0.2",18207
"JSDu, surgical_case_durations    missing_entry    0.001",70
"JSDu, surgical_case_durations    missing_entry    0.005",307
"JSDu, surgical_case_durations    missing_entry    0.01",672
"JSDu, surgical_case_durations    missing_entry    0.05",3434
"JSDu, surgical_case_durations    missing_entry    0.1",6750
"JSDu, surgical_case_durations    missing_entry    0.5",32438
"JSDu, surgical_case_durations    missing_entry_combined    0.001",9461
"JSDu, surgical_case_durations    missing_entry_combined    0.005",9299
"JSDu, surgical_case_durations    missing_entry_combined    0.01",9652
"JSDu, surgical_case_durations    missing_entry_combined    0.05",11390
"JSDu, surgical_case_durations    missing_entry_combined    0.1",13695
"JSDu, surgical_case_durations    missing_entry_combined    0.5",30148
"JSD, LBP RA    sigma    0.005",11086
"JSD, LBP RA    sigma    0.01",15490
"JSD, LBP RA    sigma    0.02",19698
"JSD, LBP RA    sigma    0.05",20229
"JSD, LBP RA    sigma    0.1",19708
"JSD, LBP RA    sigma    0.2",19835
"JSD, LBP RA    missing_entry    0.001",26
"JSD, LBP RA    missing_entry    0.005",125
"JSD, LBP RA    missing_entry    0.01",276
"JSD, LBP RA    missing_entry    0.05",1369
"JSD, LBP RA    missing_entry    0.1",2627
"JSD, LBP RA    missing_entry    0.5",13438
"JSD, LBP RA    missing_entry_combined    0.001",19622
"JSD, LBP RA    missing_entry_combined    0.005",19728
"JSD, LBP RA    missing_entry_combined    0.01",19608
"JSD, LBP RA    missing_entry_combined    0.05",19792
"JSD, LBP RA    missing_entry_combined    0.1",19882
"JSD, LBP RA    missing_entry_combined    0.5",21667
"JSDu, LBP RA    sigma    0.005",9952
"JSDu, LBP RA    sigma    0.01",8743
"JSDu, LBP RA    sigma    0.02",7150
"JSDu, LBP RA    sigma    0.05",7107
"JSDu, LBP RA    sigma    0.1",7379
"JSDu, LBP RA    sigma    0.2",7294
"JSDu, LBP RA    missing_entry    0.001",29
"JSDu, LBP RA    missing_entry    0.005",139
"JSDu, LBP RA    missing_entry    0.01",245
"JSDu, LBP RA    missing_entry    0.05",1240
"JSDu, LBP RA    missing_entry    0.1",2580
"JSDu, LBP RA    missing_entry    0.5",12051
"JSDu, LBP RA    missing_entry_combined    0.001",7303
"JSDu, LBP RA    missing_entry_combined    0.005",7733
"JSDu, LBP RA    missing_entry_combined    0.01",7324
"JSDu, LBP RA    missing_entry_combined    0.05",7773
"JSDu, LBP RA    missing_entry_combined    0.1",8262
"JSDu, LBP RA    missing_entry_combined    0.5",13286
"JSD, surgical_case_durations, SD=4    sigma    0.005",3255
"JSD, surgical_case_durations, SD=4    sigma    0.01",14237
"JSD, surgical_case_durations, SD=4    sigma    0.02",32252
"JSD, surgical_case_durations, SD=4    sigma    0.05",50340
"JSD, surgical_case_durations, SD=4    sigma    0.1",61106
"JSD, surgical_case_durations, SD=4    sigma    0.2",64696
"JSD, surgical_case_durations, SD=4    missing_entry    0.001",92
"JSD, surgical_case_durations, SD=4    missing_entry    0.005",446
"JSD, surgical_case_durations, SD=4    missing_entry    0.01",888
"JSD, surgical_case_durations, SD=4    missing_entry    0.05",4387
"JSD, surgical_case_durations, SD=4    missing_entry    0.1",8729
"JSD, surgical_case_durations, SD=4    missing_entry    0.5",42472
"JSD, surgical_case_durations, SD=4    missing_entry_combined    0.001",31837
"JSD, surgical_case_durations, SD=4    missing_entry_combined    0.005",32054
"JSD, surgical_case_durations, SD=4    missing_entry_combined    0.01",32270
"JSD, surgical_case_durations, SD=4    missing_entry_combined    0.05",34582
"JSD, surgical_case_durations, SD=4    missing_entry_combined    0.1",37051
"JSD, surgical_case_durations, SD=4    missing_entry_combined    0.5",57359
"JSDu, surgical_case_durations, SD=4    sigma    0.005",2991
"JSDu, surgical_case_durations, SD=4    sigma    0.01",9811
"JSDu, surgical_case_durations, SD=4    sigma    0.02",14204
"JSDu, surgical_case_durations, SD=4    sigma    0.05",16894
"JSDu, surgical_case_durations, SD=4    sigma    0.1",18535
"JSDu, surgical_case_durations, SD=4    sigma    0.2",18249
"JSDu, surgical_case_durations, SD=4    missing_entry    0.001",93
"JSDu, surgical_case_durations, SD=4    missing_entry    0.005",422
"JSDu, surgical_case_durations, SD=4    missing_entry    0.01",833
"JSDu, surgical_case_durations, SD=4    missing_entry    0.05",4115
"JSDu, surgical_case_durations, SD=4    missing_entry    0.1",8371
"JSDu, surgical_case_durations, SD=4    missing_entry    0.5",40130
"JSDu, surgical_case_durations, SD=4    missing_entry_combined    0.001",14116
"JSDu, surgical_case_durations, SD=4    missing_entry_combined    0.005",14505
"JSDu, surgical_case_durations, SD=4    missing_entry_combined    0.01",14396
"JSDu, surgical_case_durations, SD=4    missing_entry_combined    0.05",16402
