"Wassersteinu, surgical_case_durations NO_ADDED_NOISE    sigma    0",0
"Wassersteinu, LBP RA NO_ADDED_NOISE    sigma    0",0
"Wassersteinu, surgical_case_durations NO_ADDED_NOISE SD=4    sigma    0",0
"Wassersteinu, LBP RA NO_ADDED_NOISE SD=4    sigma    0",0
"Wassersteinu, surgical_case_durations NO_ADDED_NOISE SD=100    sigma    0",0
"Wassersteinu, LBP RA NO_ADDED_NOISE SD=100    sigma    0",0
"Wasserstein, surgical_case_durations    sigma    0.005",8760
"Wasserstein, surgical_case_durations    sigma    0.01",12962
"Wasserstein, surgical_case_durations    sigma    0.02",21853
"Wasserstein, surgical_case_durations    sigma    0.05",31220
"Wasserstein, surgical_case_durations    sigma    0.1",40416
"Wasserstein, surgical_case_durations    sigma    0.2",43472
"Wasserstein, surgical_case_durations    missing_entry    0.001",64
"Wasserstein, surgical_case_durations    missing_entry    0.005",267
"Wasserstein, surgical_case_durations    missing_entry    0.01",544
"Wasserstein, surgical_case_durations    missing_entry    0.05",2606
"Wasserstein, surgical_case_durations    missing_entry    0.1",5241
"Wasserstein, surgical_case_durations    missing_entry    0.5",26442
"Wasserstein, surgical_case_durations    missing_entry_combined    0.001",21968
"Wasserstein, surgical_case_durations    missing_entry_combined    0.005",22211
"Wasserstein, surgical_case_durations    missing_entry_combined    0.01",22317
"Wasserstein, surgical_case_durations    missing_entry_combined    0.05",23423
"Wasserstein, surgical_case_durations    missing_entry_combined    0.1",25533
"Wasserstein, surgical_case_durations    missing_entry_combined    0.5",38121
"Wassersteinu, surgical_case_durations    sigma    0.005",25797
"Wassersteinu, surgical_case_durations    sigma    0.01",32212
"Wassersteinu, surgical_case_durations    sigma    0.02",44086
"Wassersteinu, surgical_case_durations    sigma    0.05",59619
"Wassersteinu, surgical_case_durations    sigma    0.1",70421
"Wassersteinu, surgical_case_durations    sigma    0.2",77528
"Wassersteinu, surgical_case_durations    missing_entry    0.001",42
"Wassersteinu, surgical_case_durations    missing_entry    0.005",241
"Wassersteinu, surgical_case_durations    missing_entry    0.01",523
"Wassersteinu, surgical_case_durations    missing_entry    0.05",2615
"Wassersteinu, surgical_case_durations    missing_entry    0.1",5199
"Wassersteinu, surgical_case_durations    missing_entry    0.5",28034
"Wassersteinu, surgical_case_durations    missing_entry_combined    0.001",44218
"Wassersteinu, surgical_case_durations    missing_entry_combined    0.005",43983
"Wassersteinu, surgical_case_durations    missing_entry_combined    0.01",44446
"Wassersteinu, surgical_case_durations    missing_entry_combined    0.05",45152
"Wassersteinu, surgical_case_durations    missing_entry_combined    0.1",46401
"Wassersteinu, surgical_case_durations    missing_entry_combined    0.5",55575
"Wasserstein, LBP RA    sigma    0.005",1971
"Wasserstein, LBP RA    sigma    0.01",4598
"Wasserstein, LBP RA    sigma    0.02",11057
"Wasserstein, LBP RA    sigma    0.05",19150
"Wasserstein, LBP RA    sigma    0.1",21746
"Wasserstein, LBP RA    sigma    0.2",22951
"Wasserstein, LBP RA    missing_entry    0.001",32
"Wasserstein, LBP RA    missing_entry    0.005",134
"Wasserstein, LBP RA    missing_entry    0.01",269
"Wasserstein, LBP RA    missing_entry    0.05",1391
"Wasserstein, LBP RA    missing_entry    0.1",2776
"Wasserstein, LBP RA    missing_entry    0.5",13379
"Wasserstein, LBP RA    missing_entry_combined    0.001",10848
"Wasserstein, LBP RA    missing_entry_combined    0.005",11073
"Wasserstein, LBP RA    missing_entry_combined    0.01",11025
"Wasserstein, LBP RA    missing_entry_combined    0.05",11607
"Wasserstein, LBP RA    missing_entry_combined    0.1",12405
"Wasserstein, LBP RA    missing_entry_combined    0.5",19020
"Wassersteinu, LBP RA    sigma    0.005",8298
"Wassersteinu, LBP RA    sigma    0.01",15738
"Wassersteinu, LBP RA    sigma    0.02",24285
"Wassersteinu, LBP RA    sigma    0.05",31842
"Wassersteinu, LBP RA    sigma    0.1",34453
"Wassersteinu, LBP RA    sigma    0.2",35322
"Wassersteinu, LBP RA    missing_entry    0.001",25
"Wassersteinu, LBP RA    missing_entry    0.005",140
"Wassersteinu, LBP RA    missing_entry    0.01",276
"Wassersteinu, LBP RA    missing_entry    0.05",1377
"Wassersteinu, LBP RA    missing_entry    0.1",2656
"Wassersteinu, LBP RA    missing_entry    0.5",14522
"Wassersteinu, LBP RA    missing_entry_combined    0.001",24107
"Wassersteinu, LBP RA    missing_entry_combined    0.005",24383
"Wassersteinu, LBP RA    missing_entry_combined    0.01",24051
"Wassersteinu, LBP RA    missing_entry_combined    0.05",24460
"Wassersteinu, LBP RA    missing_entry_combined    0.1",24889
"Wassersteinu, LBP RA    missing_entry_combined    0.5",29112
"Wasserstein, surgical_case_durations, SD=4    sigma    0.005",154
"Wasserstein, surgical_case_durations, SD=4    sigma    0.01",1987
"Wasserstein, surgical_case_durations, SD=4    sigma    0.02",7239
"Wasserstein, surgical_case_durations, SD=4    sigma    0.05",14609
"Wasserstein, surgical_case_durations, SD=4    sigma    0.1",20904
"Wasserstein, surgical_case_durations, SD=4    sigma    0.2",24460
"Wasserstein, surgical_case_durations, SD=4    missing_entry    0.001",30
"Wasserstein, surgical_case_durations, SD=4    missing_entry    0.005",162
