"Wassersteinu, surgical_case_durations NO_ADDED_NOISE    sigma    0",18217
"Wassersteinu, LBP RA NO_ADDED_NOISE    sigma    0",10181
"Wassersteinu, surgical_case_durations NO_ADDED_NOISE SD=4    sigma    0",939
"Wassersteinu, LBP RA NO_ADDED_NOISE SD=4    sigma    0",4205
"Wassersteinu, surgical_case_durations NO_ADDED_NOISE SD=100    sigma    0",24545
"Wassersteinu, LBP RA NO_ADDED_NOISE SD=100    sigma    0",13861
"Wasserstein, surgical_case_durations    sigma    0.005",3987
"Wasserstein, surgical_case_durations    sigma    0.01",5355
"Wasserstein, surgical_case_durations    sigma    0.02",5840
"Wasserstein, surgical_case_durations    sigma    0.05",8006
"Wasserstein, surgical_case_durations    sigma    0.1",8169
"Wasserstein, surgical_case_durations    sigma    0.2",6636
"Wasserstein, surgical_case_durations    missing_entry    0.001",19835
"Wasserstein, surgical_case_durations    missing_entry    0.005",18531
"Wasserstein, surgical_case_durations    missing_entry    0.01",18790
"Wasserstein, surgical_case_durations    missing_entry    0.05",18869
"Wasserstein, surgical_case_durations    missing_entry    0.1",17876
"Wasserstein, surgical_case_durations    missing_entry    0.5",11681
"Wasserstein, surgical_case_durations    missing_entry_combined    0.001",6097
"Wasserstein, surgical_case_durations    missing_entry_combined    0.005",5828
"Wasserstein, surgical_case_durations    missing_entry_combined    0.01",5845
"Wasserstein, surgical_case_durations    missing_entry_combined    0.05",5852
"Wasserstein, surgical_case_durations    missing_entry_combined    0.1",6242
"Wasserstein, surgical_case_durations    missing_entry_combined    0.5",5031
"Wassersteinu, surgical_case_durations    sigma    0.005",1475
"Wassersteinu, surgical_case_durations    sigma    0.01",2998
"Wassersteinu, surgical_case_durations    sigma    0.02",3180
"Wassersteinu, surgical_case_durations    sigma    0.05",4035
"Wassersteinu, surgical_case_durations    sigma    0.1",3733
"Wassersteinu, surgical_case_durations    sigma    0.2",2826
"Wassersteinu, surgical_case_durations    missing_entry    0.001",18093
"Wassersteinu, surgical_case_durations    missing_entry    0.005",16949
"Wassersteinu, surgical_case_durations    missing_entry    0.01",18438
"Wassersteinu, surgical_case_durations    missing_entry    0.05",16692
"Wassersteinu, surgical_case_durations    missing_entry    0.1",16338
"Wassersteinu, surgical_case_durations    missing_entry    0.5",8193
"Wassersteinu, surgical_case_durations    missing_entry_combined    0.001",3331
"Wassersteinu, surgical_case_durations    missing_entry_combined    0.005",3098
"Wassersteinu, surgical_case_durations    missing_entry_combined    0.01",3343
"Wassersteinu, surgical_case_durations    missing_entry_combined    0.05",3164
"Wassersteinu, surgical_case_durations    missing_entry_combined    0.1",2996
"Wassersteinu, surgical_case_durations    missing_entry_combined    0.5",1650
"Wasserstein, LBP RA    sigma    0.005",3802
"Wasserstein, LBP RA    sigma    0.01",4938
"Wasserstein, LBP RA    sigma    0.02",5248
"Wasserstein, LBP RA    sigma    0.05",4636
"Wasserstein, LBP RA    sigma    0.1",4169
"Wasserstein, LBP RA    sigma    0.2",3601
"Wasserstein, LBP RA    missing_entry    0.001",9866
"Wasserstein, LBP RA    missing_entry    0.005",9821
"Wasserstein, LBP RA    missing_entry    0.01",10555
"Wasserstein, LBP RA    missing_entry    0.05",10612
"Wasserstein, LBP RA    missing_entry    0.1",9724
"Wasserstein, LBP RA    missing_entry    0.5",5928
"Wasserstein, LBP RA    missing_entry_combined    0.001",5139
"Wasserstein, LBP RA    missing_entry_combined    0.005",5564
"Wasserstein, LBP RA    missing_entry_combined    0.01",5219
