"Wassersteinu, surgical_case_durations NO_ADDED_NOISE    sigma    0",102297
"Wassersteinu, LBP RA NO_ADDED_NOISE    sigma    0",42711
"Wassersteinu, surgical_case_durations NO_ADDED_NOISE SD=4    sigma    0",119575
"Wassersteinu, LBP RA NO_ADDED_NOISE SD=4    sigma    0",48687
"Wassersteinu, surgical_case_durations NO_ADDED_NOISE SD=100    sigma    0",95969
"Wassersteinu, LBP RA NO_ADDED_NOISE SD=100    sigma    0",39031
"Wasserstein, surgical_case_durations    sigma    0.005",88852
"Wasserstein, surgical_case_durations    sigma    0.01",79333
"Wasserstein, surgical_case_durations    sigma    0.02",61788
"Wasserstein, surgical_case_durations    sigma    0.05",38898
"Wasserstein, surgical_case_durations    sigma    0.1",24878
"Wasserstein, surgical_case_durations    sigma    0.2",19737
"Wasserstein, surgical_case_durations    missing_entry    0.001",100562
"Wasserstein, surgical_case_durations    missing_entry    0.005",101396
"Wasserstein, surgical_case_durations    missing_entry    0.01",100512
"Wasserstein, surgical_case_durations    missing_entry    0.05",95610
"Wasserstein, surgical_case_durations    missing_entry    0.1",90590
"Wasserstein, surgical_case_durations    missing_entry    0.5",48756
"Wasserstein, surgical_case_durations    missing_entry_combined    0.001",61283
"Wasserstein, surgical_case_durations    missing_entry_combined    0.005",61474
"Wasserstein, surgical_case_durations    missing_entry_combined    0.01",61095
"Wasserstein, surgical_case_durations    missing_entry_combined    0.05",58339
"Wasserstein, surgical_case_durations    missing_entry_combined    0.1",54649
"Wasserstein, surgical_case_durations    missing_entry_combined    0.5",28615
"Wassersteinu, surgical_case_durations    sigma    0.005",91261
"Wassersteinu, surgical_case_durations    sigma    0.01",81856
"Wassersteinu, surgical_case_durations    sigma    0.02",64321
"Wassersteinu, surgical_case_durations    sigma    0.05",42818
"Wassersteinu, surgical_case_durations    sigma    0.1",29137
"Wassersteinu, surgical_case_durations    sigma    0.2",23551
"Wassersteinu, surgical_case_durations    missing_entry    0.001",102296
"Wassersteinu, surgical_case_durations    missing_entry    0.005",102951
