"Wassersteinu, surgical_case_durations NO_ADDED_NOISE    sigma    0",0
"Wassersteinu, LBP RA NO_ADDED_NOISE    sigma    0",0
"Wassersteinu, surgical_case_durations NO_ADDED_NOISE SD=4    sigma    0",0
"Wassersteinu, LBP RA NO_ADDED_NOISE SD=4    sigma    0",0
"Wassersteinu, surgical_case_durations NO_ADDED_NOISE SD=100    sigma    0",0
"Wassersteinu, LBP RA NO_ADDED_NOISE SD=100    sigma    0",0
"Wasserstein, surgical_case_durations    sigma    0.005",18915
"Wasserstein, surgical_case_durations    sigma    0.01",22864
"Wasserstein, surgical_case_durations    sigma    0.02",31033
"Wasserstein, surgical_case_durations    sigma    0.05",42390
"Wasserstein, surgical_case_durations    sigma    0.1",47051
"Wasserstein, surgical_case_durations    sigma    0.2",50669
"Wasserstein, surgical_case_durations    missing_entry    0.001",53
"Wasserstein, surgical_case_durations    missing_entry    0.005",320
"Wasserstein, surgical_case_durations    missing_entry    0.01",668
"Wasserstein, surgical_case_durations    missing_entry    0.05",3429
"Wasserstein, surgical_case_durations    missing_entry    0.1",6807
"Wasserstein, surgical_case_durations    missing_entry    0.5",33635
"Wasserstein, surgical_case_durations    missing_entry_combined    0.001",31166
"Wasserstein, surgical_case_durations    missing_entry_combined    0.005",31001
"Wasserstein, surgical_case_durations    missing_entry_combined    0.01",31257
"Wasserstein, surgical_case_durations    missing_entry_combined    0.05",32900
"Wasserstein, surgical_case_durations    missing_entry_combined    0.1",34090
"Wasserstein, surgical_case_durations    missing_entry_combined    0.5",48747
"Wassersteinu, surgical_case_durations    sigma    0.005",1981
"Wassersteinu, surgical_case_durations    sigma    0.01",3448
"Wassersteinu, surgical_case_durations    sigma    0.02",8927
"Wassersteinu, surgical_case_durations    sigma    0.05",14042
"Wassersteinu, surgical_case_durations    sigma    0.1",17223
"Wassersteinu, surgical_case_durations    sigma    0.2",16609
"Wassersteinu, surgical_case_durations    missing_entry    0.001",83
"Wassersteinu, surgical_case_durations    missing_entry    0.005",373
"Wassersteinu, surgical_case_durations    missing_entry    0.01",686
"Wassersteinu, surgical_case_durations    missing_entry    0.05",3382
"Wassersteinu, surgical_case_durations    missing_entry    0.1",6840
"Wassersteinu, surgical_case_durations    missing_entry    0.5",32281
"Wassersteinu, surgical_case_durations    missing_entry_combined    0.001",9052
"Wassersteinu, surgical_case_durations    missing_entry_combined    0.005",9389
"Wassersteinu, surgical_case_durations    missing_entry_combined    0.01",9293
"Wassersteinu, surgical_case_durations    missing_entry_combined    0.05",11271
"Wassersteinu, surgical_case_durations    missing_entry_combined    0.1",13422
"Wassersteinu, surgical_case_durations    missing_entry_combined    0.5",30967
"Wasserstein, LBP RA    sigma    0.005",10459
"Wasserstein, LBP RA    sigma    0.01",15162
"Wasserstein, LBP RA    sigma    0.02",18284
"Wasserstein, LBP RA    sigma    0.05",19082
"Wasserstein, LBP RA    sigma    0.1",19630
"Wasserstein, LBP RA    sigma    0.2",19934
"Wasserstein, LBP RA    missing_entry    0.001",24
"Wasserstein, LBP RA    missing_entry    0.005",128
"Wasserstein, LBP RA    missing_entry    0.01",261
"Wasserstein, LBP RA    missing_entry    0.05",1283
"Wasserstein, LBP RA    missing_entry    0.1",2554
"Wasserstein, LBP RA    missing_entry    0.5",13085
"Wasserstein, LBP RA    missing_entry_combined    0.001",18512
"Wasserstein, LBP RA    missing_entry_combined    0.005",18282
"Wasserstein, LBP RA    missing_entry_combined    0.01",18548
"Wasserstein, LBP RA    missing_entry_combined    0.05",18988
"Wasserstein, LBP RA    missing_entry_combined    0.1",19263
"Wasserstein, LBP RA    missing_entry_combined    0.5",22192
"Wassersteinu, LBP RA    sigma    0.005",4105
"Wassersteinu, LBP RA    sigma    0.01",4044
"Wassersteinu, LBP RA    sigma    0.02",4976
"Wassersteinu, LBP RA    sigma    0.05",6585
"Wassersteinu, LBP RA    sigma    0.1",6984
"Wassersteinu, LBP RA    sigma    0.2",7470
"Wassersteinu, LBP RA    missing_entry    0.001",26
"Wassersteinu, LBP RA    missing_entry    0.005",133
"Wassersteinu, LBP RA    missing_entry    0.01",249
"Wassersteinu, LBP RA    missing_entry    0.05",1263
"Wassersteinu, LBP RA    missing_entry    0.1",2637
"Wassersteinu, LBP RA    missing_entry    0.5",11912
"Wassersteinu, LBP RA    missing_entry_combined    0.001",5236
"Wassersteinu, LBP RA    missing_entry_combined    0.005",5160
"Wassersteinu, LBP RA    missing_entry_combined    0.01",5545
"Wassersteinu, LBP RA    missing_entry_combined    0.05",5852
"Wassersteinu, LBP RA    missing_entry_combined    0.1",6652
"Wassersteinu, LBP RA    missing_entry_combined    0.5",11967
"Wasserstein, surgical_case_durations, SD=4    sigma    0.005",3248
"Wasserstein, surgical_case_durations, SD=4    sigma    0.01",14458
"Wasserstein, surgical_case_durations, SD=4    sigma    0.02",32331
"Wasserstein, surgical_case_durations, SD=4    sigma    0.05",51084
"Wasserstein, surgical_case_durations, SD=4    sigma    0.1",60722
"Wasserstein, surgical_case_durations, SD=4    sigma    0.2",64401
"Wasserstein, surgical_case_durations, SD=4    missing_entry    0.001",92
"Wasserstein, surgical_case_durations, SD=4    missing_entry    0.005",424
